date;btc
01-01-2017;998,325012
02-01-2017;1021,75
03-01-2017;1043,839966
04-01-2017;1154,72998
05-01-2017;1013,380005
06-01-2017;902,200989
07-01-2017;908,585022
08-01-2017;911,198975
09-01-2017;902,828003
10-01-2017;907,679016
11-01-2017;777,757019
12-01-2017;804,833984
13-01-2017;823,984009
14-01-2017;818,411987
15-01-2017;821,797974
16-01-2017;831,533997
17-01-2017;907,937988
18-01-2017;886,617981
19-01-2017;899,072998
20-01-2017;895,026001
21-01-2017;921,789001
22-01-2017;924,672974
23-01-2017;921,012024
24-01-2017;892,687012
25-01-2017;901,541992
26-01-2017;917,585999
27-01-2017;919,75
28-01-2017;921,590027
29-01-2017;919,495972
30-01-2017;920,382019
31-01-2017;970,403015
01-02-2017;989,02301
02-02-2017;1011,799988
03-02-2017;1029,910034
04-02-2017;1042,900024
05-02-2017;1027,339966
06-02-2017;1038,150024
07-02-2017;1061,349976
08-02-2017;1063,069946
09-02-2017;994,382996
10-02-2017;988,674011
11-02-2017;1004,450012
12-02-2017;999,18103
13-02-2017;990,642029
14-02-2017;1004,549988
15-02-2017;1007,47998
16-02-2017;1027,439941
17-02-2017;1046,209961
18-02-2017;1054,420044
19-02-2017;1047,869995
20-02-2017;1079,97998
21-02-2017;1115,300049
22-02-2017;1117,439941
23-02-2017;1166,719971
24-02-2017;1173,680054
25-02-2017;1143,839966
26-02-2017;1165,199951
27-02-2017;1179,969971
28-02-2017;1179,969971
01-03-2017;1222,5
02-03-2017;1251,01001
03-03-2017;1274,98999
04-03-2017;1255,150024
05-03-2017;1267,119995
06-03-2017;1272,829956
07-03-2017;1223,540039
08-03-2017;1150
09-03-2017;1188,48999
10-03-2017;1116,719971
11-03-2017;1175,829956
12-03-2017;1221,380005
13-03-2017;1231,920044
14-03-2017;1240
15-03-2017;1249,609985
16-03-2017;1187,810059
17-03-2017;1100,22998
18-03-2017;973,817993
19-03-2017;1036,73999
20-03-2017;1054,22998
21-03-2017;1120,540039
22-03-2017;1049,140015
23-03-2017;1038,589966
24-03-2017;937,52002
25-03-2017;972,778992
26-03-2017;966,724976
27-03-2017;1045,77002
28-03-2017;1047,150024
29-03-2017;1039,969971
30-03-2017;1026,430054
31-03-2017;1071,790039
01-04-2017;1080,5
02-04-2017;1102,170044
03-04-2017;1143,810059
04-04-2017;1133,25
05-04-2017;1124,780029
06-04-2017;1182,680054
07-04-2017;1176,900024
08-04-2017;1175,949951
09-04-2017;1187,869995
10-04-2017;1187,130005
11-04-2017;1205,01001
12-04-2017;1200,369995
13-04-2017;1169,280029
14-04-2017;1167,540039
15-04-2017;1172,52002
16-04-2017;1182,939941
17-04-2017;1193,910034
18-04-2017;1211,670044
19-04-2017;1210,290039
20-04-2017;1229,079956
21-04-2017;1222,050049
22-04-2017;1231,709961
23-04-2017;1207,209961
24-04-2017;1250,150024
25-04-2017;1265,48999
26-04-2017;1281,079956
27-04-2017;1317,72998
28-04-2017;1316,47998
29-04-2017;1321,790039
30-04-2017;1347,890015
01-05-2017;1421,599976
02-05-2017;1452,819946
03-05-2017;1490,089966
04-05-2017;1537,670044
05-05-2017;1555,449951
06-05-2017;1578,800049
07-05-2017;1596,709961
08-05-2017;1723,349976
09-05-2017;1755,359985
10-05-2017;1787,130005
11-05-2017;1848,569946
12-05-2017;1724,23999
13-05-2017;1804,910034
14-05-2017;1808,910034
15-05-2017;1738,430054
16-05-2017;1734,449951
17-05-2017;1839,089966
18-05-2017;1888,650024
19-05-2017;1987,709961
20-05-2017;2084,72998
21-05-2017;2041,199951
22-05-2017;2173,399902
23-05-2017;2320,419922
24-05-2017;2443,639893
25-05-2017;2304,97998
26-05-2017;2202,419922
27-05-2017;2038,869995
28-05-2017;2155,800049
29-05-2017;2255,610107
30-05-2017;2175,469971
31-05-2017;2286,409912
01-06-2017;2407,879883
02-06-2017;2488,550049
03-06-2017;2515,350098
04-06-2017;2511,810059
05-06-2017;2686,810059
06-06-2017;2863,199951
07-06-2017;2732,159912
08-06-2017;2805,620117
09-06-2017;2823,810059
10-06-2017;2947,709961
11-06-2017;2958,110107
12-06-2017;2659,629883
13-06-2017;2717,02002
14-06-2017;2506,370117
15-06-2017;2464,580078
16-06-2017;2518,560059
17-06-2017;2655,879883
18-06-2017;2548,290039
19-06-2017;2589,600098
20-06-2017;2721,790039
21-06-2017;2689,100098
22-06-2017;2705,409912
23-06-2017;2744,909912
24-06-2017;2608,719971
25-06-2017;2589,409912
26-06-2017;2478,449951
27-06-2017;2552,449951
28-06-2017;2574,790039
29-06-2017;2539,320068
30-06-2017;2480,840088
01-07-2017;2434,550049
02-07-2017;2506,469971
03-07-2017;2564,060059
04-07-2017;2601,639893
05-07-2017;2601,98999
06-07-2017;2608,560059
07-07-2017;2518,659912
08-07-2017;2571,340088
09-07-2017;2518,439941
10-07-2017;2372,560059
11-07-2017;2337,790039
12-07-2017;2398,840088
13-07-2017;2357,899902
14-07-2017;2233,340088
15-07-2017;1998,859985
16-07-2017;1929,819946
17-07-2017;2228,409912
18-07-2017;2318,879883
19-07-2017;2273,429932
20-07-2017;2817,600098
21-07-2017;2667,76001
22-07-2017;2810,120117
