date;crypto;savings
01-01-2016;0;0
02-01-2016;0;0
03-01-2016;0;0
04-01-2016;0;0
05-01-2016;50;50
06-01-2016;49.67;50
07-01-2016;53.02;50
08-01-2016;52.46;50
09-01-2016;51.81;50
10-01-2016;51.86;50
11-01-2016;51.91;50
12-01-2016;100.43;100
13-01-2016;99.67;100
14-01-2016;99.19;100
15-01-2016;83.98;100
16-01-2016;89.33;100
17-01-2016;88.12;100
18-01-2016;89.25;100
19-01-2016;137.63;150
20-01-2016;152.14;150
21-01-2016;148.53;150
22-01-2016;138.48;150
23-01-2016;140.29;150
24-01-2016;145.89;150
25-01-2016;141.82;150
26-01-2016;191.97;200
27-01-2016;193.35;200
28-01-2016;186.17;200
29-01-2016;185.77;200
30-01-2016;185.17;200
31-01-2016;180.53;200
01-02-2016;182.63;200
02-02-2016;233.31;250
03-02-2016;230.5;250
04-02-2016;242.74;250
05-02-2016;240.85;250
06-02-2016;234.6;250
07-02-2016;234.66;250
08-02-2016;232.68;250
09-02-2016;284.29;300
10-02-2016;288.54;300
11-02-2016;287.03;300
12-02-2016;290.52;300
13-02-2016;296.26;300
14-02-2016;307.88;300
15-02-2016;302.56;300
16-02-2016;358.08;350
17-02-2016;365.84;350
18-02-2016;371.16;350
19-02-2016;369.76;350
20-02-2016;384.15;350
21-02-2016;385.59;350
22-02-2016;384.67;350
23-02-2016;419.72;400
24-02-2016;423.93;400
25-02-2016;423.52;400
26-02-2016;431.11;400
27-02-2016;431.47;400
28-02-2016;432.46;400
29-02-2016;436.64;400
01-03-2016;484.07;450
02-03-2016;471.68;450
03-03-2016;469.08;450
04-03-2016;457.17;450
05-03-2016;445.63;450
06-03-2016;453.57;450
07-03-2016;460.93;450
08-03-2016;510.54;500
09-03-2016;511.64;500
10-03-2016;514.44;500
11-03-2016;520.06;500
12-03-2016;507.64;500
13-03-2016;510.65;500
14-03-2016;513.58;500
15-03-2016;564.06;550
16-03-2016;564.31;550
17-03-2016;569.2;550
18-03-2016;554.21;550
19-03-2016;555.42;550
20-03-2016;559.9;550
21-03-2016;559.3;550
22-03-2016;615.77;600
23-03-2016;615.7;600
24-03-2016;613.27;600
25-03-2016;614.43;600
26-03-2016;615.56;600
27-03-2016;628.55;600
28-03-2016;624.81;600
29-03-2016;663.45;650
30-03-2016;660.74;650
31-03-2016;663.79;650
01-04-2016;665.75;650
02-04-2016;670.39;650
03-04-2016;670.44;650
04-04-2016;671.3;650
05-04-2016;725.42;700
06-04-2016;724.37;700
07-04-2016;723.22;700
08-04-2016;719.12;700
09-04-2016;717.52;700
10-04-2016;721.2;700
11-04-2016;722.77;700
12-04-2016;777.41;750
13-04-2016;774.74;750
14-04-2016;775.75;750
15-04-2016;785.67;750
16-04-2016;787.25;750
17-04-2016;781.44;750
18-04-2016;783.62;750
19-04-2016;846.27;800
20-04-2016;857.7;800
21-04-2016;873.31;800
22-04-2016;866.15;800
23-04-2016;874.98;800
24-04-2016;891.05;800
25-04-2016;896.63;800
26-04-2016;955.69;850
27-04-2016;911.81;850
28-04-2016;920.68;850
29-04-2016;933.16;850
30-04-2016;919.26;850
01-05-2016;926.55;850
02-05-2016;911.77;850
03-05-2016;973.33;900
04-05-2016;965.59;900
05-05-2016;968.3;900
06-05-2016;993.43;900
07-05-2016;991.12;900
08-05-2016;991.15;900
09-05-2016;995.33;900
10-05-2016;1024.61;950
11-05-2016;1028.77;950
12-05-2016;1033.4;950
13-05-2016;1035.46;950
14-05-2016;1035.46;950
15-05-2016;1039.77;950
16-05-2016;1032.03;950
17-05-2016;1081.17;1000
18-05-2016;1083.16;1000
19-05-2016;1045.27;1000
20-05-2016;1054.71;1000
21-05-2016;1055.92;1000
22-05-2016;1046.72;1000
23-05-2016;1058.23;1000
24-05-2016;1112.58;1050
25-05-2016;1121.61;1050
26-05-2016;1131.05;1050
27-05-2016;1181.14;1050
28-05-2016;1322.28;1050
29-05-2016;1312.78;1050
30-05-2016;1331.82;1050
31-05-2016;1375.64;1100
01-06-2016;1389.96;1100
02-06-2016;1392.69;1100
03-06-2016;1473.51;1100
04-06-2016;1482.66;1100
05-06-2016;1488.48;1100
06-06-2016;1515.82;1100
07-06-2016;1542.68;1150
08-06-2016;1556.18;1150
09-06-2016;1537.42;1150
10-06-2016;1545.01;1150
11-06-2016;1623.29;1150
12-06-2016;1800.03;1150
13-06-2016;1884.55;1150
14-06-2016;1884.21;1200
15-06-2016;1908.69;1200
16-06-2016;2106.14;1200
17-06-2016;2058.32;1200
18-06-2016;2078.43;1200
19-06-2016;2099.19;1200
20-06-2016;2026.21;1200
21-06-2016;1882.24;1250
22-06-2016;1683.09;1250
23-06-2016;1761.75;1250
24-06-2016;1878.42;1250
25-06-2016;1877.92;1250
26-06-2016;1776.97;1250
27-06-2016;1850.12;1250
28-06-2016;1876.76;1300
29-06-2016;1856.13;1300
30-06-2016;1953.15;1300
01-07-2016;1961.73;1300
02-07-2016;2041.23;1300
03-07-2016;1910.59;1300
04-07-2016;1983.1;1300
05-07-2016;1995.29;1350
06-07-2016;2015.24;1350
07-07-2016;1905.84;1350
08-07-2016;1983.08;1350
09-07-2016;1936.78;1350
10-07-2016;1932.01;1350
11-07-2016;1926.95;1350
12-07-2016;2027.21;1400
13-07-2016;1996.45;1400
14-07-2016;2007.47;1400
15-07-2016;2023.26;1400
16-07-2016;2015.67;1400
17-07-2016;2072.69;1400
18-07-2016;2053.31;1400
19-07-2016;2102.57;1450
20-07-2016;2080.14;1450
21-07-2016;2078.03;1450
22-07-2016;2033.06;1450
23-07-2016;2048.49;1450
24-07-2016;2066.39;1450
25-07-2016;2043.93;1450
26-07-2016;2086.7;1500
27-07-2016;2094.92;1500
28-07-2016;2097.11;1500
29-07-2016;2103.37;1500
30-07-2016;2097.15;1500
31-07-2016;1999.93;1500
01-08-2016;1940.99;1500
02-08-2016;1802.72;1550
03-08-2016;1864.92;1550
04-08-2016;1904.22;1550
05-08-2016;1893.53;1550
06-08-2016;1935.47;1550
07-08-2016;1951.64;1550
08-08-2016;1946.25;1550
09-08-2016;1985.54;1600
10-08-2016;2000.07;1600
11-08-2016;1990;1600
12-08-2016;1984.72;1600
13-08-2016;1978.07;1600
14-08-2016;1927.01;1600
15-08-2016;1916.09;1600
16-08-2016;2000.54;1650
17-08-2016;1985.91;1650
18-08-2016;1989.73;1650
19-08-2016;1994.27;1650
20-08-2016;2015.29;1650
21-08-2016;2013.94;1650
