date;crypto investment;savings
01-01-2018;0;0
02-01-2018;50;50
03-01-2018;50.73;50
04-01-2018;52.06;50
05-01-2018;58.17;50
06-01-2018;58.49;50
07-01-2018;54.99;50
08-01-2018;50.63;50
09-01-2018;98.71;100
10-01-2018;101.27;100
11-01-2018;90.66;100
12-01-2018;94.55;100
13-01-2018;97.12;100
14-01-2018;93.14;100
15-01-2018;93.46;100
16-01-2018;127.71;150
17-01-2018;124.36;150
18-01-2018;127.54;150
19-01-2018;129.01;150
20-01-2018;143.37;150
21-01-2018;128.93;150
22-01-2018;121.5;150
23-01-2018;170.8;200
24-01-2018;178.51;200
25-01-2018;176.94;200
26-01-2018;175.56;200
27-01-2018;179.79;200
28-01-2018;185.22;200
29-01-2018;177.52;200
30-01-2018;208.82;250
31-01-2018;211.19;250
01-02-2018;189.49;250
02-02-2018;182.46;250
03-02-2018;189.58;250
04-02-2018;171.02;250
05-02-2018;143.71;250
06-02-2018;210.22;300
07-02-2018;206.62;300
08-02-2018;224.09;300
09-02-2018;236.87;300
10-02-2018;233.75;300
11-02-2018;220.41;300
12-02-2018;242.01;300
13-02-2018;283.11;350
14-02-2018;312.62;350
15-02-2018;334.74;350
16-02-2018;336.96;350
17-02-2018;365.89;350
18-02-2018;347.43;350
19-02-2018;369.6;350
20-02-2018;425.48;400
21-02-2018;398.86;400
22-02-2018;373.29;400
23-02-2018;384.34;400
24-02-2018;366.13;400
25-02-2018;360.59;400
26-02-2018;386.78;400
27-02-2018;450.18;450
28-02-2018;436.42;450
01-03-2018;459.64;450
02-03-2018;465.32;450
03-03-2018;482.25;450
04-03-2018;483.21;450
05-03-2018;485.76;450
06-03-2018;502.45;500
07-03-2018;464.5;500
08-03-2018;437.9;500
09-03-2018;435.23;500
10-03-2018;413.25;500
11-03-2018;446.46;500
12-03-2018;429.05;500
13-03-2018;478.57;550
14-03-2018;430.43;550
15-03-2018;432.04;550
16-03-2018;434;550
17-03-2018;412.06;550
18-03-2018;428.03;550
19-03-2018;449.21;550
20-03-2018;513.93;600
21-03-2018;514.84;600
22-03-2018;503.26;600
23-03-2018;511.98;600
24-03-2018;499.78;600
25-03-2018;489.85;600
26-03-2018;473.33;600
27-03-2018;501.63;650
28-03-2018;509.41;650
29-03-2018;458.9;650
30-03-2018;441.27;650
31-03-2018;446.59;650
01-04-2018;438.31;650
02-04-2018;453.65;650
03-04-2018;527.5;700
04-04-2018;484.89;700
05-04-2018;481.89;700
06-04-2018;469.5;700
07-04-2018;488.94;700
08-04-2018;496.89;700
09-04-2018;479.01;700
10-04-2018;533.54;750
11-04-2018;543.96;750
12-04-2018;615.85;750
13-04-2018;616.38;750
14-04-2018;623.42;750
15-04-2018;650.19;750
16-04-2018;629.08;750
17-04-2018;666.86;800
18-04-2018;688.91;800
19-04-2018;699.95;800
