date;crypto;savings
01-01-2015;0;0
02-01-2015;0;0
03-01-2015;0;0
04-01-2015;0;0
05-01-2015;0;0
06-01-2015;0.17470972;0.17470972
07-01-2015;0.17470972;0.16987331
08-01-2015;0.17470972;0.17646083
09-01-2015;0.17470972;0.17217157
10-01-2015;0.17470972;0.18195316
11-01-2015;0.17470972;0.18821049
12-01-2015;0.17470972;0.18670929
13-01-2015;0.39608482;0.4427502
14-01-2015;0.39608482;0.56147287
15-01-2015;0.39608482;0.47654449
16-01-2015;0.39608482;0.48054513
17-01-2015;0.39608482;0.50185688
18-01-2015;0.39608482;0.475423
19-01-2015;0.39608482;0.46541719
20-01-2015;0.63269841;0.70984075
21-01-2015;0.63269841;0.66109291
22-01-2015;0.63269841;0.64265698
23-01-2015;0.63269841;0.64411133
24-01-2015;0.63269841;0.60521209
25-01-2015;0.63269841;0.59120756
26-01-2015;0.63269841;0.54850023
27-01-2015;0.82246973;0.75908528
28-01-2015;0.82246973;0.85501146
29-01-2015;0.82246973;0.85648336
30-01-2015;0.82246973;0.88329468
31-01-2015;0.82246973;0.91969243
01-02-2015;0.82246973;0.88116596
02-02-2015;0.82246973;0.83952834
03-02-2015;1.0424743;1.10002286
04-02-2015;1.0424743;1.10203525
05-02-2015;1.0424743;1.15148477
06-02-2015;1.0424743;1.12477839
07-02-2015;1.0424743;1.09767557
08-02-2015;1.0424743;1.11900881
09-02-2015;1.0424743;1.13579573
10-02-2015;1.26991347;1.364635
11-02-2015;1.26991347;1.36870681
12-02-2015;1.26991347;1.3527894
13-02-2015;1.26991347;1.27428034
14-02-2015;1.26991347;1.16585892
15-02-2015;1.26991347;1.27754713
16-02-2015;1.26991347;1.28291203
17-02-2015;1.47515956;1.43672262
18-02-2015;1.47515956;1.48100503
19-02-2015;1.47515956;1.45661571
20-02-2015;1.47515956;1.43572658
21-02-2015;1.47515956;1.43129383
22-02-2015;1.47515956;1.48319536
23-02-2015;1.47515956;1.46509721
24-02-2015;1.6845968;1.67549793
25-02-2015;1.6845968;1.68442329
26-02-2015;1.6845968;1.69186134
27-02-2015;1.6845968;1.57587026
28-02-2015;1.6845968;1.57317423
01-03-2015;1.6845968;1.53726722
02-03-2015;1.6845968;1.4510102
03-03-2015;1.86208933;1.59743277
04-03-2015;1.86208933;1.64779629
05-03-2015;1.86208933;1.62938389
06-03-2015;1.86208933;1.6500259
07-03-2015;1.86208933;1.6288945
08-03-2015;1.86208933;1.64021663
09-03-2015;1.86208933;1.55382987
10-03-2015;2.03346305;1.71373726
11-03-2015;2.03346305;1.68702912
12-03-2015;2.03346305;1.69863495
13-03-2015;2.03346305;1.75231389
14-03-2015;2.03346305;1.77377293
15-03-2015;2.03346305;1.7458527
16-03-2015;2.03346305;1.72061964
17-03-2015;2.20859133;1.92641106
18-03-2015;2.20859133;2.14593103
19-03-2015;2.20859133;2.1078611
20-03-2015;2.20859133;2.10124973
21-03-2015;2.20859133;2.11518128
22-03-2015;2.20859133;2.05254522
23-03-2015;2.20859133;2.06193305
24-03-2015;2.41217854;2.44304647
