date;crypto investment;savings
01-01-2020;0;0
02-01-2020;0;0
03-01-2020;0;0
04-01-2020;0;0
05-01-2020;0;0
06-01-2020;0;0
07-01-2020;0.00612468;0.00612468
08-01-2020;0.00612468;0.00618822
09-01-2020;0.00612468;0.00634593
10-01-2020;0.00612468;0.00612253
11-01-2020;0.00612468;0.00622081
12-01-2020;0.00612468;0.00610315
13-01-2020;0.00612468;0.00613934
14-01-2020;0.01178863;0.0113279
15-01-2020;0.01178863;0.01135459
16-01-2020;0.01178863;0.01146291
17-01-2020;0.01178863;0.01119941
18-01-2020;0.01178863;0.01118217
19-01-2020;0.01178863;0.01148601
20-01-2020;0.01178863;0.01155049
21-01-2020;0.0175056;0.0171509
22-01-2020;0.0175056;0.01727936
23-01-2020;0.0175056;0.0178433
24-01-2020;0.0175056;0.01776108
25-01-2020;0.0175056;0.01792576
26-01-2020;0.0175056;0.01744829
27-01-2020;0.0175056;0.01683536
28-01-2020;0.02284828;0.02137074
29-01-2020;0.02284828;0.02146699
30-01-2020;0.02284828;0.02103272
31-01-2020;0.02284828;0.02138916
01-02-2020;0.02284828;0.02129274
02-02-2020;0.02284828;0.02140327
03-02-2020;0.02284828;0.02152037
04-02-2020;0.02829433;0.02723026
05-02-2020;0.02829433;0.0260053
06-02-2020;0.02829433;0.02569425
07-02-2020;0.02829433;0.02552077
08-02-2020;0.02829433;0.02534181
09-02-2020;0.02829433;0.02471168
10-02-2020;0.02829433;0.02536369
11-02-2020;0.03319234;0.02938803
12-02-2020;0.03319234;0.02905272
13-02-2020;0.03319234;0.02937036
14-02-2020;0.03319234;0.02909199
15-02-2020;0.03319234;0.03033543
16-02-2020;0.03319234;0.030198
17-02-2020;0.03319234;0.0309593
18-02-2020;0.03812233;0.03450997
19-02-2020;0.03812233;0.03633198
20-02-2020;0.03812233;0.03642617
21-02-2020;0.03812233;0.03613298
22-02-2020;0.03812233;0.03621995
23-02-2020;0.03812233;0.0352662
24-02-2020;0.03812233;0.03626877
25-02-2020;0.04347468;0.04281874
26-02-2020;0.04347468;0.04534879
27-02-2020;0.04347468;0.04553478
28-02-2020;0.04347468;0.04612304
29-02-2020;0.04347468;0.04651428
01-03-2020;0.04347468;0.04671558
02-03-2020;0.04347468;0.04509751
03-03-2020;0.04916439;0.05120744
04-03-2020;0.04916439;0.05139776
05-03-2020;0.04916439;0.04956623
06-03-2020;0.04916439;0.04932833
07-03-2020;0.04916439;0.05050531
08-03-2020;0.04916439;0.05549994
09-03-2020;0.04916439;0.05679205
10-03-2020;0.05548572;0.06321329
11-03-2020;0.05548572;0.0631997
12-03-2020;0.05548572;0.10058767
