date;dva (no withdraw);dva (crypto ptf + cash);savings;dva (crypto ptf);no withdraw;full adjustment
01-01-2018;0;0;0;0;0;0
02-01-2018;50;50;50;50;0.00333732;0.00333732
03-01-2018;50.73;50.73;50;50.73;0.00333732;0.00333732
04-01-2018;52.06;52.06;50;52.06;0.00333732;0.00333732
05-01-2018;58.17;58.17;50;58.17;0.00333732;0.00333732
06-01-2018;58.49;58.49;50;58.49;0.00333732;0.00333732
07-01-2018;54.99;54.99;50;54.99;0.00333732;0.00333732
08-01-2018;50.63;50.63;50;50.63;0.00333732;0.00333732
09-01-2018;100;100;100;100;0.00685147;0.00685147
10-01-2018;102.59;102.59;100;102.59;0.00685147;0.00685147
11-01-2018;91.85;91.85;100;91.85;0.00685147;0.00685147
12-01-2018;95.79;95.79;100;95.79;0.00685147;0.00685147
13-01-2018;98.39;98.39;100;98.39;0.00685147;0.00685147
14-01-2018;94.36;94.36;100;94.36;0.00685147;0.00685147
15-01-2018;94.69;94.69;100;94.69;0.00685147;0.00685147
16-01-2018;150;150;150;150;0.01305426;0.01305426
17-01-2018;146.06;146.06;150;146.06;0.01305426;0.01305426
18-01-2018;149.8;149.8;150;149.8;0.01305426;0.01305426
19-01-2018;151.53;151.53;150;151.53;0.01305426;0.01305426
20-01-2018;168.39;168.39;150;168.39;0.01305426;0.01305426
21-01-2018;151.43;151.43;150;151.43;0.01305426;0.01305426
22-01-2018;142.7;142.7;150;142.7;0.01305426;0.01305426
23-01-2018;200;200;200;200;0.01840197;0.01840197
24-01-2018;209.04;209.04;200;209.04;0.01840197;0.01840197
25-01-2018;207.2;207.2;200;207.2;0.01840197;0.01840197
26-01-2018;205.58;205.58;200;205.58;0.01840197;0.01840197
27-01-2018;210.53;210.53;200;210.53;0.01840197;0.01840197
28-01-2018;216.89;216.89;200;216.89;0.01840197;0.01840197
29-01-2018;207.88;207.88;200;207.88;0.01840197;0.01840197
30-01-2018;250;250;250;250;0.02473705;0.02473705
31-01-2018;252.84;252.84;250;252.84;0.02473705;0.02473705
01-02-2018;226.85;226.85;250;226.85;0.02473705;0.02473705
02-02-2018;218.45;218.45;250;218.45;0.02473705;0.02473705
03-02-2018;226.96;226.96;250;226.96;0.02473705;0.02473705
04-02-2018;204.75;204.75;250;204.75;0.02473705;0.02473705
05-02-2018;172.05;172.05;250;172.05;0.02473705;0.02473705
06-02-2018;300;300;300;300;0.03868971;0.03868971
07-02-2018;294.87;294.87;300;294.87;0.03868971;0.03868971
08-02-2018;319.79;319.79;300;319.79;0.03868971;0.03868971
