date;dva1 crypto;dva2 crypto + cash;dva2 crypto;dva1 expenses;dva2 expenses;savings;no withdraw (dva1);full adjustment (dva2)
01-01-2020;0;0;0;0;0;0;0;0
02-01-2020;0;0;0;0;0;0;0;0
03-01-2020;0;0;0;0;0;0;0;0
04-01-2020;0;0;0;0;0;0;0;0
05-01-2020;0;0;0;0;0;0;0;0
06-01-2020;0;0;0;0;0;0;0;0
07-01-2020;50;50;50;50;50;50;0,01;0,01
08-01-2020;49,49;49,49;49,49;50;50;50;0,01;0,01
09-01-2020;48,26;48,26;48,26;50;50;50;0,01;0,01
10-01-2020;50,02;50,02;50,02;50;50;50;0,01;0,01
11-01-2020;49,23;49,23;49,23;50;50;50;0,01;0,01
12-01-2020;50,18;50,18;50,18;50;50;50;0,01;0,01
13-01-2020;49,88;49,88;49,88;50;50;50;0,01;0,01
14-01-2020;100;100;100;95,93;95,93;100;0,01;0,01
15-01-2020;99,76;99,76;99,76;95,93;95,93;100;0,01;0,01
16-01-2020;98,82;98,82;98,82;95,93;95,93;100;0,01;0,01
17-01-2020;101,15;101,15;101,15;95,93;95,93;100;0,01;0,01
18-01-2020;101,3;101,3;101,3;95,93;95,93;100;0,01;0,01
19-01-2020;98,62;98,62;98,62;95,93;95,93;100;0,01;0,01
20-01-2020;98,07;98,07;98,07;95,93;95,93;100;0,01;0,01
21-01-2020;150;150;150;146,86;146,86;150;0,02;0,02
22-01-2020;148,88;148,88;148,88;146,86;146,86;150;0,02;0,02
23-01-2020;144,18;144,18;144,18;146,86;146,86;150;0,02;0,02
24-01-2020;144,85;144,85;144,85;146,86;146,86;150;0,02;0,02
25-01-2020;143,52;143,52;143,52;146,86;146,86;150;0,02;0,02
26-01-2020;147,44;147,44;147,44;146,86;146,86;150;0,02;0,02
27-01-2020;152,81;152,81;152,81;146,86;146,86;150;0,02;0,02
28-01-2020;200;200;200;186,35;186,35;200;0,02;0,02
29-01-2020;199,1;199,1;199,1;186,35;186,35;200;0,02;0,02
30-01-2020;203,21;203,21;203,21;186,35;186,35;200;0,02;0,02
31-01-2020;199,83;199,83;199,83;186,35;186,35;200;0,02;0,02
01-02-2020;200,73;200,73;200,73;186,35;186,35;200;0,02;0,02
02-02-2020;199,7;199,7;199,7;186,35;186,35;200;0,02;0,02
03-02-2020;198,61;198,61;198,61;186,35;186,35;200;0,02;0,02
04-02-2020;250;250;250;240,15;240,15;250;0,03;0,03
05-02-2020;261,78;261,78;261,78;240,15;240,15;250;0,03;0,03
06-02-2020;264,95;264,95;264,95;240,15;240,15;250;0,03;0,03
07-02-2020;266,75;266,75;266,75;240,15;240,15;250;0,03;0,03
08-02-2020;268,63;268,63;268,63;240,15;240,15;250;0,03;0,03
09-02-2020;275,48;275,48;275,48;240,15;240,15;250;0,03;0,03
10-02-2020;268,4;268,4;268,4;240,15;240,15;250;0,03;0,03
11-02-2020;300;300;300;262,18;262,18;300;0,03;0,03
12-02-2020;303,46;303,46;303,46;262,18;262,18;300;0,03;0,03
13-02-2020;300,18;300,18;300,18;262,18;262,18;300;0,03;0,03
14-02-2020;303,05;303,05;303,05;262,18;262,18;300;0,03;0,03
15-02-2020;290,63;290,63;290,63;262,18;262,18;300;0,03;0,03
16-02-2020;291,95;291,95;291,95;262,18;262,18;300;0,03;0,03
17-02-2020;284,77;284,77;284,77;262,18;262,18;300;0,03;0,03
18-02-2020;350;350;350;314,12;314,12;350;0,03;0,03
19-02-2020;332,45;332,45;332,45;314,12;314,12;350;0,03;0,03
20-02-2020;331,59;331,59;331,59;314,12;314,12;350;0,03;0,03
21-02-2020;334,28;334,28;334,28;314,12;314,12;350;0,03;0,03
22-02-2020;333,48;333,48;333,48;314,12;314,12;350;0,03;0,03
23-02-2020;342,49;342,49;342,49;314,12;314,12;350;0,03;0,03
24-02-2020;333,03;333,03;333,03;314,12;314,12;350;0,03;0,03
25-02-2020;400;400;400;391,74;391,74;400;0,04;0,04
26-02-2020;377,68;377,68;377,68;391,74;391,74;400;0,04;0,04
27-02-2020;376,14;376,14;376,14;391,74;391,74;400;0,04;0,04
28-02-2020;371,34;371,34;371,34;391,74;391,74;400;0,04;0,04
29-02-2020;368,22;368,22;368,22;391,74;391,74;400;0,04;0,04
01-03-2020;366,63;366,63;366,63;391,74;391,74;400;0,04;0,04
02-03-2020;379,79;379,79;379,79;391,74;391,74;400;0,04;0,04
03-03-2020;450;450;450;465,46;465,46;450;0,05;0,05
04-03-2020;448,33;448,33;448,33;465,46;465,46;450;0,05;0,05
05-03-2020;464,9;464,9;464,9;465,46;465,46;450;0,05;0,05
06-03-2020;467,14;467,14;467,14;465,46;465,46;450;0,05;0,05
07-03-2020;456,26;456,26;456,26;465,46;465,46;450;0,05;0,05
08-03-2020;415,2;415,2;415,2;465,46;465,46;450;0,05;0,05
09-03-2020;405,75;405,75;405,75;465,46;465,46;450;0,05;0,05
10-03-2020;500;500;500;560,42;560,42;500;0,06;0,06
11-03-2020;500,11;500,11;500,11;560,42;560,42;500;0,06;0,06
12-03-2020;314,22;314,22;314,22;560,42;560,42;500;0,06;0,06
13-03-2020;351,7;351,7;351,7;560,42;560,42;500;0,06;0,06
14-03-2020;328,73;328,73;328,73;560,42;560,42;500;0,06;0,06
15-03-2020;340,87;340,87;340,87;560,42;560,42;500;0,06;0,06
16-03-2020;316,98;316,98;316,98;560,42;560,42;500;0,06;0,06
17-03-2020;550;550;550;780,09;780,09;550;0,11;0,11
18-03-2020;551,35;551,35;551,35;780,09;780,09;550;0,11;0,11
19-03-2020;651,63;651,63;651,63;780,09;780,09;550;0,11;0,11
20-03-2020;652,42;652,42;652,42;780,09;780,09;550;0,11;0,11
21-03-2020;650,98;650,98;650,98;780,09;780,09;550;0,11;0,11
22-03-2020;613,64;613,64;613,64;780,09;780,09;550;0,11;0,11
23-03-2020;675,32;675,32;675,32;780,09;780,09;550;0,11;0,11
24-03-2020;708,84;708,84;600;780,09;780,09;600;0,11;0,09
25-03-2020;703,19;704,05;595,21;780,09;780,09;600;0,11;0,09
26-03-2020;706,91;707,21;598,36;780,09;780,09;600;0,11;0,09
27-03-2020;680,95;685,23;576,39;780,09;780,09;600;0,11;0,09
28-03-2020;656,99;664,95;556,11;780,09;780,09;600;0,11;0,09
29-03-2020;623,3;636,43;527,59;780,09;780,09;600;0,11;0,09
30-03-2020;676,74;681,67;572,83;780,09;780,09;600;0,11;0,09
31-03-2020;677,67;758,84;650;780,09;856,48;650;0,11;0,1
01-04-2020;695,37;775,81;666,97;780,09;856,48;650;0,11;0,1
02-04-2020;715,03;794,68;685,84;780,09;856,48;650;0,11;0,1
03-04-2020;708,69;788,6;679,76;780,09;856,48;650;0,11;0,1
04-04-2020;722,81;802,14;693,3;780,09;856,48;650;0,11;0,1
05-04-2020;714,77;794,43;685,58;780,09;856,48;650;0,11;0,1
06-04-2020;765,36;842,95;734,11;780,09;856,48;650;0,11;0,1
07-04-2020;755,32;833,32;700;780,09;856,48;700;0,11;0,1
08-04-2020;771,92;848,7;715,38;780,09;856,48;700;0,11;0,1
09-04-2020;768,55;845,58;712,26;780,09;856,48;700;0,11;0,1
10-04-2020;722,6;802,99;669,67;780,09;856,48;700;0,11;0,1
11-04-2020;721,92;802,37;669,05;780,09;856,48;700;0,11;0,1
12-04-2020;733,71;813,29;679,97;780,09;856,48;700;0,11;0,1
13-04-2020;720,44;801;667,68;780,09;856,48;700;0,11;0,1
14-04-2020;750;883,32;750;809,92;939,05;750;0,11;0,11
15-04-2020;728,04;861,36;728,04;809,92;939,05;750;0,11;0,11
16-04-2020;780,07;913,4;780,07;809,92;939,05;750;0,11;0,11
17-04-2020;777,81;911,14;777,81;809,92;939,05;750;0,11;0,11
18-04-2020;795,51;928,84;795,51;809,92;939,05;750;0,11;0,11
19-04-2020;788,03;921,36;788,03;809,92;939,05;750;0,11;0,11
20-04-2020;754,33;887,65;754,33;809,92;939,05;750;0,11;0,11
21-04-2020;800;933,32;800;855,77;984,9;800;0,12;0,12
22-04-2020;827,54;960,86;827,54;855,77;984,9;800;0,12;0,12
23-04-2020;863,88;997,2;863,88;855,77;984,9;800;0,12;0,12
24-04-2020;877,97;1011,29;877,97;855,77;984,9;800;0,12;0,12
25-04-2020;880,18;1013,51;880,18;855,77;984,9;800;0,12;0,12
26-04-2020;892,97;1026,29;892,97;855,77;984,9;800;0,12;0,12
27-04-2020;906,42;1039,74;906,42;855,77;984,9;800;0,12;0,12
28-04-2020;907,75;1041,08;850;855,77;984,9;850;0,12;0,11
29-04-2020;1023,33;1149,3;958,22;855,77;984,9;850;0,12;0,11
30-04-2020;1006,76;1133,78;942,71;855,77;984,9;850;0,12;0,11
01-05-2020;1030,74;1156,24;965,16;855,77;984,9;850;0,12;0,11
02-05-2020;1045,14;1169,72;978,64;855,77;984,9;850;0,12;0,11
03-05-2020;1034,54;1159,8;968,72;855,77;984,9;850;0,12;0,11
04-05-2020;1036,31;1161,45;970,37;855,77;984,9;850;0,12;0,11
05-05-2020;1046,82;1171,29;900;855,77;984,9;900;0,12;0,1
06-05-2020;1077,71;1197,85;926,56;855,77;984,9;900;0,12;0,1
07-05-2020;1157,1;1266,11;994,81;855,77;984,9;900;0,12;0,1
08-05-2020;1144,44;1255,22;983,93;855,77;984,9;900;0,12;0,1
09-05-2020;1115,52;1230,36;959,06;855,77;984,9;900;0,12;0,1
10-05-2020;1018,14;1146,64;875,34;855,77;984,9;900;0,12;0,1
11-05-2020;1000,16;1131,18;859,89;855,77;984,9;900;0,12;0,1
12-05-2020;1023,73;1221,29;950;855,77;1054,75;950;0,12;0,11
13-05-2020;1077,85;1271,52;1000,23;855,77;1054,75;950;0,12;0,11
14-05-2020;1131,77;1321,56;1050,27;855,77;1054,75;950;0,12;0,11
15-05-2020;1084,62;1277,8;1006,51;855,77;1054,75;950;0,12;0,11
16-05-2020;1090,3;1283,07;1011,78;855,77;1054,75;950;0,12;0,11
17-05-2020;1124,45;1314,76;1043,47;855,77;1054,75;950;0,12;0,11
18-05-2020;1130,94;1320,79;1049,49;855,77;1054,75;950;0,12;0,11
19-05-2020;1131,23;1321,05;1000;855,77;1054,75;1000;0,12;0,1
20-05-2020;1107,27;1299,87;978,82;855,77;1054,75;1000;0,12;0,1
21-05-2020;1055,97;1254,52;933,47;855,77;1054,75;1000;0,12;0,1
22-05-2020;1067,69;1264,88;943,83;855,77;1054,75;1000;0,12;0,1
23-05-2020;1070,8;1267,63;946,58;855,77;1054,75;1000;0,12;0,1
24-05-2020;1022,09;1224,57;903,52;855,77;1054,75;1000;0,12;0,1
25-05-2020;1035,64;1236,55;915,5;855,77;1054,75;1000;0,12;0,1
26-05-2020;1050;1371,05;1050;878,49;1196,64;1050;0,12;0,12
27-05-2020;1091,12;1412,17;1091,12;878,49;1196,64;1050;0,12;0,12
28-05-2020;1132,09;1453,14;1132,09;878,49;1196,64;1050;0,12;0,12
29-05-2020;1121,79;1442,84;1121,79;878,49;1196,64;1050;0,12;0,12
30-05-2020;1152,84;1473,9;1152,84;878,49;1196,64;1050;0,12;0,12
31-05-2020;1124,4;1445,45;1124,4;878,49;1196,64;1050;0,12;0,12
01-06-2020;1208,33;1529,38;1208,33;878,49;1196,64;1050;0,12;0,12
