date;lumpsum1 crypto;lumpsum2 crypto;savings1;savings2
01-01-2019;2600;0;2600;0
02-01-2019;2667.57;0;2600;0
03-01-2019;2595.41;0;2600;0
04-01-2019;2609.6;0;2600;0
05-01-2019;2601.13;0;2600;0
06-01-2019;2757.69;0;2600;0
07-01-2019;2722.93;0;2600;0
08-01-2019;2726.72;0;2600;0
09-01-2019;2729.73;0;2600;0
10-01-2019;2488.66;0;2600;0
11-01-2019;2494.37;0;2600;0
12-01-2019;2476.74;0;2600;0
13-01-2019;2403.44;0;2600;0
14-01-2019;2507.01;0;2600;0
15-01-2019;2456.02;0;2600;0
16-01-2019;2472.48;0;2600;0
17-01-2019;2488.41;0;2600;0
18-01-2019;2474.39;0;2600;0
19-01-2019;2522.24;0;2600;0
20-01-2019;2435.95;0;2600;0
21-01-2019;2419.05;0;2600;0
22-01-2019;2438.36;0;2600;0
23-01-2019;2425.2;0;2600;0
24-01-2019;2435.85;0;2600;0
25-01-2019;2435.11;0;2600;0
26-01-2019;2436.93;0;2600;0
27-01-2019;2424.42;0;2600;0
28-01-2019;2347.63;0;2600;0
29-01-2019;2332.52;0;2600;0
30-01-2019;2358.27;0;2600;0
31-01-2019;2339.07;0;2600;0
01-02-2019;2359.47;0;2600;0
02-02-2019;2381.87;0;2600;0
03-02-2019;2343.28;0;2600;0
04-02-2019;2339.99;0;2600;0
05-02-2019;2344.86;0;2600;0
06-02-2019;2309.29;0;2600;0
07-02-2019;2299.62;0;2600;0
08-02-2019;2480.44;0;2600;0
09-02-2019;2483.43;0;2600;0
10-02-2019;2496.28;0;2600;0
11-02-2019;2468.03;0;2600;0
12-02-2019;2471.48;0;2600;0
13-02-2019;2456.96;0;2600;0
14-02-2019;2446.69;0;2600;0
15-02-2019;2449.35;0;2600;0
16-02-2019;2455.42;0;2600;0
17-02-2019;2485.22;0;2600;0
18-02-2019;2648.84;0;2600;0
19-02-2019;2670.06;0;2600;0
20-02-2019;2705.73;0;2600;0
21-02-2019;2674.82;0;2600;0
22-02-2019;2709.59;0;2600;0
23-02-2019;2802.27;0;2600;0
24-02-2019;2577.61;0;2600;0
25-02-2019;2626.5;0;2600;0
26-02-2019;2607.33;0;2600;0
27-02-2019;2605.09;0;2600;0
28-02-2019;2607.62;0;2600;0
01-03-2019;2610.87;0;2600;0
02-03-2019;2614.13;0;2600;0
03-03-2019;2602.47;0;2600;0
04-03-2019;2544.56;0;2600;0
05-03-2019;2635.75;0;2600;0
06-03-2019;2640.87;0;2600;0
07-03-2019;2645.98;0;2600;0
08-03-2019;2638.97;0;2600;0
09-03-2019;2681.04;0;2600;0
10-03-2019;2673.11;0;2600;0
11-03-2019;2641.74;0;2600;0
12-03-2019;2644.4;0;2600;0
13-03-2019;2642.75;0;2600;0
14-03-2019;2654.69;0;2600;0
15-03-2019;2679.41;0;2600;0
16-03-2019;2738.81;0;2600;0
17-03-2019;2722.92;0;2600;0
18-03-2019;2727.84;0;2600;0
19-03-2019;2754.01;0;2600;0
20-03-2019;2765.03;0;2600;0
21-03-2019;2725.69;0;2600;0
22-03-2019;2722.07;0;2600;0
23-03-2019;2730.09;0;2600;0
24-03-2019;2720.85;0;2600;0
25-03-2019;2680.87;0;2600;0
26-03-2019;2695.76;0;2600;0
27-03-2019;2764.75;0;2600;0
28-03-2019;2752.6;0;2600;0
29-03-2019;2772.4;0;2600;0
30-03-2019;2778;0;2600;0
