date;crypto investment;savings
01-01-2020;0;0
02-01-2020;0;0
03-01-2020;0;0
04-01-2020;0;0
05-01-2020;0;0
06-01-2020;0;0
07-01-2020;2600;2600
08-01-2020;2573,3;2600
09-01-2020;2509,35;2600
10-01-2020;2600,91;2600
11-01-2020;2559,82;2600
12-01-2020;2609,17;2600
13-01-2020;2593,79;2600
14-01-2020;2811,5;2600
15-01-2020;2804,89;2600
16-01-2020;2778,38;2600
17-01-2020;2843,75;2600
18-01-2020;2848,14;2600
19-01-2020;2772,79;2600
20-01-2020;2757,31;2600
21-01-2020;2785,42;2600
22-01-2020;2764,71;2600
23-01-2020;2677,34;2600
24-01-2020;2689,73;2600
25-01-2020;2665,02;2600
26-01-2020;2737,95;2600
27-01-2020;2837,63;2600
28-01-2020;2980,55;2600
29-01-2020;2967,19;2600
30-01-2020;3028,46;2600
31-01-2020;2977,99;2600
01-02-2020;2991,47;2600
02-02-2020;2976,02;2600
03-02-2020;2959,83;2600
04-02-2020;2923,98;2600
05-02-2020;3061,72;2600
06-02-2020;3098,78;2600
07-02-2020;3119,84;2600
08-02-2020;3141,88;2600
09-02-2020;3221,99;2600
10-02-2020;3139,17;2600
11-02-2020;3251,15;2600
12-02-2020;3288,68;2600
13-02-2020;3253,11;2600
14-02-2020;3284,24;2600
15-02-2020;3149,62;2600
16-02-2020;3163,95;2600
17-02-2020;3086,15;2600
18-02-2020;3230,06;2600
19-02-2020;3068,07;2600
20-02-2020;3060,14;2600
21-02-2020;3084,97;2600
22-02-2020;3077,56;2600
23-02-2020;3160,79;2600
24-02-2020;3073,42;2600
25-02-2020;2975,18;2600
26-02-2020;2809,19;2600
27-02-2020;2797,72;2600
28-02-2020;2762,03;2600
29-02-2020;2738,8;2600
01-03-2020;2727;2600
02-03-2020;2824,84;2600
03-03-2020;2798,76;2600
04-03-2020;2788,4;2600
05-03-2020;2891,43;2600
06-03-2020;2905,38;2600
07-03-2020;2837,67;2600
08-03-2020;2582,3;2600
09-03-2020;2523,55;2600
10-03-2020;2519,12;2600
11-03-2020;2519,66;2600
12-03-2020;1583,11;2600
13-03-2020;1771,95;2600
14-03-2020;1656,23;2600
15-03-2020;1717,36;2600
16-03-2020;1597,03;2600
17-03-2020;1664,28;2600
18-03-2020;1668,36;2600
19-03-2020;1971,79;2600
20-03-2020;1974,21;2600
21-03-2020;1969,84;2600
22-03-2020;1856,84;2600
23-03-2020;2043,49;2600
24-03-2020;2144,92;2600
25-03-2020;2127,81;2600
26-03-2020;2139,07;2600
27-03-2020;2060,52;2600
28-03-2020;1988,03;2600
29-03-2020;1886,07;2600
30-03-2020;2047,8;2600
