date;dca;dva (no withdraw);dva (full);lump-sum;lump-sum mid-year
01-01-2017;0;0;0;0;0
02-01-2017;0;0;0;0;0
03-01-2017;50;50;50;2600;0
04-01-2017;55;55;55;2876;0
05-01-2017;49;49;49;2524;0
06-01-2017;43;43;43;2247;0
07-01-2017;44;44;44;2263;0
08-01-2017;44;44;44;2270;0
09-01-2017;43;43;43;2249;0
10-01-2017;93;100;100;2261;0
11-01-2017;80;86;86;1937;0
12-01-2017;83;89;89;2005;0
13-01-2017;85;91;91;2052;0
14-01-2017;84;90;90;2039;0
15-01-2017;85;91;91;2047;0
16-01-2017;86;92;92;2071;0
17-01-2017;144;150;150;2261;0
18-01-2017;140;146;146;2208;0
19-01-2017;142;149;149;2239;0
20-01-2017;141;148;148;2229;0
21-01-2017;146;152;152;2296;0
22-01-2017;146;153;153;2303;0
23-01-2017;146;152;152;2294;0
24-01-2017;191;200;200;2224;0
25-01-2017;193;202;202;2246;0
26-01-2017;196;206;206;2286;0
27-01-2017;197;206;206;2291;0
28-01-2017;197;206;206;2295;0
29-01-2017;197;206;206;2290;0
30-01-2017;197;206;206;2292;0
31-01-2017;258;250;250;2417;0
01-02-2017;263;255;255;2463;0
02-02-2017;269;261;261;2520;0
03-02-2017;274;265;265;2565;0
04-02-2017;277;269;269;2598;0
05-02-2017;273;265;265;2559;0
06-02-2017;276;267;267;2586;0
07-02-2017;332;300;300;2644;0
08-02-2017;332;300;300;2648;0
09-02-2017;311;281;281;2477;0
10-02-2017;309;279;279;2463;0
11-02-2017;314;284;284;2502;0
12-02-2017;312;282;282;2489;0
13-02-2017;310;280;280;2467;0
14-02-2017;364;350;350;2502;0
15-02-2017;365;351;351;2509;0
16-02-2017;372;358;358;2559;0
17-02-2017;379;365;365;2606;0
18-02-2017;382;367;367;2626;0
19-02-2017;380;365;365;2610;0
20-02-2017;391;376;376;2690;0
21-02-2017;454;400;400;2778;0
22-02-2017;455;401;401;2783;0
23-02-2017;475;418;418;2906;0
24-02-2017;478;421;421;2923;0
25-02-2017;466;410;410;2849;0
26-02-2017;475;418;418;2902;0
27-02-2017;481;423;423;2939;0
28-02-2017;531;450;450;2939;0
01-03-2017;550;466;466;3045;0
02-03-2017;563;477;477;3116;0
03-03-2017;573;486;486;3176;0
04-03-2017;564;479;479;3126;0
05-03-2017;570;483;483;3156;0
06-03-2017;572;485;485;3170;0
07-03-2017;600;500;500;3048;0
08-03-2017;564;470;470;2864;0
09-03-2017;583;486;486;2960;0
10-03-2017;548;456;456;2782;0
11-03-2017;577;481;481;2929;0
12-03-2017;599;499;499;3042;0
13-03-2017;604;503;503;3068;0
14-03-2017;658;550;550;3089;0
15-03-2017;663;554;554;3113;0
16-03-2017;631;527;527;2959;0
17-03-2017;584;488;488;2740;0
18-03-2017;517;432;432;2426;0
19-03-2017;550;460;460;2582;0
20-03-2017;560;468;468;2626;0
21-03-2017;645;600;600;2791;0
22-03-2017;604;562;562;2613;0
23-03-2017;598;556;556;2587;0
24-03-2017;540;502;502;2335;0
25-03-2017;560;521;521;2423;0
26-03-2017;556;518;518;2408;0
27-03-2017;602;560;560;2605;0
28-03-2017;653;650;650;2608;0
29-03-2017;648;646;646;2590;0
30-03-2017;640;637;637;2557;0
31-03-2017;668;665;665;2670;0
01-04-2017;673;671;671;2691;0
02-04-2017;687;684;684;2745;0
03-04-2017;713;710;710;2849;0
04-04-2017;756;703;703;2823;0
05-04-2017;751;698;698;2802;0
06-04-2017;789;734;734;2946;0
07-04-2017;785;731;730;2931;0
08-04-2017;785;730;730;2929;0
09-04-2017;793;737;737;2959;0
10-04-2017;792;737;737;2957;0
11-04-2017;854;750;753;3001;0
12-04-2017;851;747;751;2990;0
13-04-2017;829;728;731;2912;0
14-04-2017;828;727;730;2908;0
15-04-2017;831;730;733;2921;0
16-04-2017;839;736;740;2946;0
17-04-2017;846;743;747;2974;0
18-04-2017;909;800;803;3018;0
19-04-2017;908;799;803;3015;0
20-04-2017;922;811;815;3061;0
21-04-2017;917;807;810;3044;0
22-04-2017;924;813;817;3068;0
23-04-2017;906;797;801;3007;0
24-04-2017;938;825;829;3114;0
25-04-2017;999;850;853;3152;0
26-04-2017;1012;860;864;3191;0
27-04-2017;1041;885;889;3282;0
28-04-2017;1040;884;888;3279;0
29-04-2017;1044;888;891;3292;0
30-04-2017;1064;905;909;3357;0
01-05-2017;1123;955;958;3541;0
02-05-2017;1197;976;979;3619;0
03-05-2017;1228;1001;1002;3712;0
04-05-2017;1267;1033;1032;3830;0
05-05-2017;1282;1045;1043;3874;0
06-05-2017;1301;1060;1057;3932;0
07-05-2017;1316;1072;1068;3977;0
08-05-2017;1420;1158;1147;4293;0
09-05-2017;1496;1179;1167;4372;0
10-05-2017;1524;1200;1184;4451;0
11-05-2017;1576;1242;1217;4604;0
12-05-2017;1470;1158;1150;4295;0
13-05-2017;1539;1212;1194;4496;0
14-05-2017;1542;1215;1196;4506;0
15-05-2017;1482;1168;1158;4330;0
16-05-2017;1529;1165;1217;4320;0
17-05-2017;1621;1235;1277;4581;0
18-05-2017;1665;1269;1306;4704;0
19-05-2017;1752;1335;1363;4951;0
20-05-2017;1837;1400;1419;5193;0
21-05-2017;1799;1371;1394;5084;0
22-05-2017;1916;1460;1470;5414;0
23-05-2017;2095;1559;1555;5780;0
24-05-2017;2206;1641;1610;6087;0
25-05-2017;2081;1548;1548;5741;0
26-05-2017;1989;1479;1501;5486;0
27-05-2017;1841;1369;1427;5078;0
28-05-2017;1946;1448;1480;5370;0
29-05-2017;2037;1515;1525;5618;0
30-05-2017;2014;1461;1605;5419;0
31-05-2017;2117;1536;1661;5695;0
01-06-2017;2229;1617;1722;5998;0
02-06-2017;2304;1672;1763;6198;0
03-06-2017;2329;1690;1776;6265;0
04-06-2017;2326;1687;1775;6256;0
05-06-2017;2488;1805;1863;6692;0
06-06-2017;2701;1923;1952;7132;0
07-06-2017;2577;1835;1900;6805;0
08-06-2017;2647;1884;1929;6988;0
09-06-2017;2664;1897;1936;7034;0
10-06-2017;2781;1980;1986;7342;0
11-06-2017;2791;1987;1990;7368;0
12-06-2017;2509;1786;1871;6625;0
13-06-2017;2613;1825;2002;6768;0
14-06-2017;2411;1683;1909;6243;0
15-06-2017;2370;1655;1891;6139;0
16-06-2017;2422;1692;1915;6273;0
17-06-2017;2554;1784;1975;6615;0
18-06-2017;2451;1712;1928;6347;0
19-06-2017;2491;1739;1946;6450;0
20-06-2017;2668;1828;2052;6779;0
21-06-2017;2636;1806;2037;6698;0
22-06-2017;2652;1817;2045;6739;0
23-06-2017;2690;1844;2063;6837;0
24-06-2017;2557;1752;2000;6498;0
25-06-2017;2538;1739;1991;6450;0
26-06-2017;2429;1665;1941;6173;0
27-06-2017;2552;1714;2102;6358;0
28-06-2017;2574;1729;2114;6413;0
29-06-2017;2539;1706;2096;6325;0
30-06-2017;2480;1666;2066;6179;0
01-07-2017;2434;1635;2042;6064;0
02-07-2017;2506;1684;2079;6243;0
03-07-2017;2563;1722;2108;6387;0
04-07-2017;2651;1747;2152;6480;2600
05-07-2017;2651;1748;2152;6481;2600
06-07-2017;2658;1752;2156;6497;2607
07-07-2017;2566;1692;2109;6273;2517
08-07-2017;2620;1727;2137;6405;2570
09-07-2017;2566;1692;2109;6273;2517
10-07-2017;2417;1594;2033;5910;2371
11-07-2017;2432;1570;2202;5823;2336
12-07-2017;2496;1611;2239;5975;2397
13-07-2017;2453;1584;2214;5873;2356
14-07-2017;2323;1500;2140;5563;2232
15-07-2017;2079;1343;1999;4979;1998
16-07-2017;2008;1296;1958;4807;1929
17-07-2017;2318;1497;2137;5551;2227
18-07-2017;2462;1558;2252;5776;2317
19-07-2017;2414;1527;2224;5663;2272
20-07-2017;2992;1893;2564;7018;2816
21-07-2017;2833;1792;2470;6645;2666
22-07-2017;2984;1887;2559;6999;2808
23-07-2017;2899;1834;2510;6801;2729
24-07-2017;2925;1850;2525;6862;2753
25-07-2017;2786;1731;2413;6418;2575
26-07-2017;2735;1699;2386;6300;2528
27-07-2017;2889;1795;2469;6655;2670
28-07-2017;3037;1887;2549;6997;2807
29-07-2017;2948;1831;2501;6791;2725
30-07-2017;2981;1852;2519;6868;2755
31-07-2017;3109;1931;2587;7162;2874
01-08-2017;2989;1826;2496;6771;2717
02-08-2017;2981;1821;2492;6752;2709
03-08-2017;3084;1884;2545;6986;2803
04-08-2017;3185;1945;2597;7213;2894
05-08-2017;3577;2185;2801;8102;3251
06-08-2017;3534;2159;2779;8005;3212
07-08-2017;3716;2270;2873;8416;3377
08-08-2017;3811;2297;2896;8518;3418
09-08-2017;3725;2245;2860;8325;3340
10-08-2017;3768;2271;2878;8422;3379
11-08-2017;4068;2452;3004;9093;3648
12-08-2017;4329;2609;3113;9676;3882
13-08-2017;4539;2736;3202;10146;4071
14-08-2017;4819;2905;3319;10773;4322
15-08-2017;4710;2809;3252;10416;4179
16-08-2017;4929;2940;3329;10901;4374
17-08-2017;4879;2909;3312;10789;4329
18-08-2017;4686;2795;3244;10363;4158
19-08-2017;4723;2817;3257;10446;4191
20-08-2017;4604;2746;3215;10182;4085
21-08-2017;4507;2688;3181;9968;3999
22-08-2017;4668;2754;3302;10214;4098
23-08-2017;4726;2788;3324;10341;4149
24-08-2017;4935;2912;3400;10797;4332
25-08-2017;4977;2936;3415;10889;4369
26-08-2017;4955;2923;3407;10841;4350
27-08-2017;4990;2944;3420;10917;4380
28-08-2017;4989;2944;3419;10916;4380
29-08-2017;5263;3076;3501;11405;4576
30-08-2017;5247;3066;3496;11371;4562
31-08-2017;5406;3159;3548;11715;4700
01-09-2017;5623;3286;3620;12185;4889
02-09-2017;5263;3075;3501;11405;4576
03-09-2017;5268;3078;3502;11415;4580
04-09-2017;4869;2845;3370;10552;4234
05-09-2017;5080;2940;3551;10901;4374
06-09-2017;5336;3088;3642;11451;4594
07-09-2017;5340;3090;3643;11457;4597
08-09-2017;4909;2840;3490;10533;4226
09-09-2017;4906;2839;3489;10526;4223
10-09-2017;4786;2769;3447;10269;4120
11-09-2017;4830;2795;3462;10365;4159
12-09-2017;4845;2775;3601;10289;4128
13-09-2017;4554;2608;3490;9671;3880
14-09-2017;3700;2119;3164;7858;3153
15-09-2017;4266;2443;3380;9060;3635
16-09-2017;4252;2435;3374;9029;3623
17-09-2017;4202;2407;3355;8924;3581
18-09-2017;4768;2730;3571;10126;4063
19-09-2017;4654;2636;3651;9776;3922
20-09-2017;4631;2624;3642;9729;3903
21-09-2017;4305;2439;3509;9044;3629
22-09-2017;4305;2439;3508;9043;3628
23-09-2017;4496;2547;3587;9446;3790
24-09-2017;4367;2474;3534;9173;3681
25-09-2017;4655;2637;3651;9779;3924
26-09-2017;4665;2614;3701;9695;3890
27-09-2017;5034;2821;3855;10463;4198
28-09-2017;5003;2804;3842;10398;4172
29-09-2017;4989;2796;3837;10369;4160
30-09-2017;5200;2914;3924;10807;4336
01-10-2017;5278;2958;3957;10969;4401
02-10-2017;5284;2962;3960;10983;4407
03-10-2017;5224;2900;3914;10754;4315
04-10-2017;5118;2841;3873;10535;4227
05-10-2017;5238;2907;3919;10781;4326
06-10-2017;5289;2936;3939;10887;4368
07-10-2017;5357;2973;3965;11027;4424
08-10-2017;5579;3097;4050;11484;4608
09-10-2017;5774;3205;4124;11886;4769
10-10-2017;5837;3212;4129;11911;4779
11-10-2017;5891;3242;4148;12022;4823
12-10-2017;6648;3659;4414;13567;5443
13-10-2017;6893;3793;4500;14066;5644
14-10-2017;7118;3917;4579;14526;5828
15-10-2017;6930;3814;4513;14143;5675
16-10-2017;6988;3846;4534;14261;5722
17-10-2017;6892;3765;4482;13962;5602
18-10-2017;6873;3755;4477;13925;5587
19-10-2017;7018;3834;4521;14219;5705
20-10-2017;7391;4038;4634;14973;6008
21-10-2017;7415;4051;4642;15024;6028
22-10-2017;7387;4036;4633;14966;6005
23-10-2017;7291;3983;4604;14771;5927
24-10-2017;6845;3712;4532;13766;5523
25-10-2017;7122;3863;4619;14324;5747
26-10-2017;7313;3966;4679;14708;5901
27-10-2017;7160;3883;4631;14399;5777
28-10-2017;7125;3864;4620;14330;5749
29-10-2017;7621;4133;4776;15328;6150
30-10-2017;7593;4118;4767;15270;6127
31-10-2017;8061;4345;4898;16112;6464
01-11-2017;8434;4545;5000;16856;6763
02-11-2017;8821;4754;5106;17631;7074
03-11-2017;8982;4841;5150;17953;7203
04-11-2017;9197;4957;5208;18382;7375
05-11-2017;9231;4975;5218;18450;7403
06-11-2017;8752;4717;5087;17492;7018
07-11-2017;8953;4799;5128;17795;7140
08-11-2017;9349;5010;5228;18581;7455
09-11-2017;8952;4798;5128;17793;7139
10-11-2017;8294;4445;4963;16484;6614
11-11-2017;7967;4270;4881;15836;6354
12-11-2017;7457;3997;4752;14820;5946
13-11-2017;8220;4406;4944;16338;6555
14-11-2017;8366;4457;5178;16528;6632
15-11-2017;9223;4914;5414;18222;7311
16-11-2017;9924;5287;5607;19607;7867
17-11-2017;9719;5178;5550;19202;7704
18-11-2017;9821;5232;5578;19404;7785
19-11-2017;10132;5398;5664;20017;8031
20-11-2017;10339;5508;5721;20426;8195
21-11-2017;10226;5421;5676;20104;8066
22-11-2017;10457;5544;5729;20558;8248
23-11-2017;10185;5399;5666;20023;8034
24-11-2017;10457;5544;5729;20558;8248
25-11-2017;11138;5905;5885;21896;8785
26-11-2017;11821;6267;6043;23241;9325
27-11-2017;12439;6595;6185;24456;9812
28-11-2017;12794;6756;6255;25054;10052
29-11-2017;12577;6642;6214;24631;9882
30-11-2017;13016;6874;6296;25490;10227
01-12-2017;13960;7372;6473;27338;10969
02-12-2017;14086;7439;6497;27585;11068
03-12-2017;14402;7606;6556;28204;11316
04-12-2017;14827;7830;6636;29036;11650
05-12-2017;15207;8004;6698;29682;11909
