drawdown;strategy;x;y;value
2015;dca;0;5;-892
2015;dva (crypto ptf + cash);2;5;-253
2015;dva (no withdraw);1;5;-904
2015;lump-sum;3;5;-1056
2015;lump-sum2;4;5;-981
2016;dca;0;4;-653
2016;dva (crypto ptf + cash);2;4;-274
2016;dva (no withdraw);1;4;-677
2016;lump-sum;3;4;-1317
2016;lump-sum2;4;4;-512
2017;dca;0;3;-8395
2017;dva (crypto ptf + cash);2;3;-863
2017;dva (no withdraw);1;3;-4496
2017;lump-sum;3;3;-16303
2017;lump-sum2;4;3;-6541
2018;dca;0;2;-1405
2018;dva (crypto ptf + cash);2;2;-647
2018;dva (no withdraw);1;2;-901
2018;lump-sum;3;2;-2480
2018;lump-sum2;4;2;-2066
2019;dca;0;1;-2048
2019;dva (crypto ptf + cash);2;1;-415
2019;dva (no withdraw);1;1;-1221
2019;lump-sum;3;1;-4313
2019;lump-sum2;4;1;-1227
2020;dca;0;0;-494
2020;dva (crypto ptf + cash);2;0;-310
2020;dva (no withdraw);1;0;-496
2020;lump-sum;3;0;-1706
2020;lump-sum2;4;0;-597
