sharpe;strategy;x;y;value
2015;dca;0;5;0,95
2015;dva (crypto ptf + cash);2;5;1,58
2015;dva (no withdraw);1;5;0,89
2015;lump-sum;3;5;0,95
2015;lump-sum2;4;5;1,31
2016;dca;0;4;1,91
2016;dva (crypto ptf + cash);2;4;1,53
2016;dva (no withdraw);1;4;0,76
2016;lump-sum;3;4;1,91
2016;lump-sum2;4;4;1,6
2017;dca;0;3;3,21
2017;dva (crypto ptf + cash);2;3;2,59
2017;dva (no withdraw);1;3;2,15
2017;lump-sum;3;3;3,21
2017;lump-sum2;4;3;2,51
2018;dca;0;2;-1,32
2018;dva (crypto ptf + cash);2;2;1,19
2018;dva (no withdraw);1;2;0,6
2018;lump-sum;3;2;-1,32
2018;lump-sum2;4;2;-0,98
2019;dca;0;1;1,26
2019;dva (crypto ptf + cash);2;1;2,21
2019;dva (no withdraw);1;1;0,61
2019;lump-sum;3;1;1,26
2019;lump-sum2;4;1;-1,04
2020;dca;0;0;2,16
2020;dva (crypto ptf + cash);2;0;1,67
2020;dva (no withdraw);1;0;1,37
2020;lump-sum;3;0;2,16
2020;lump-sum2;4;0;3,17
