S,call delta,gamma,vega,call theta,call rho
50,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
51,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
52,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
53,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
54,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
55,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
56,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
57,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
58,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
59,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
60,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
61,0.000000000,0.000000001,0.000000000,0.000000000,0.000000000
62,0.000000001,0.000000002,0.000000002,-0.000000001,0.000000000
63,0.000000005,0.000000006,0.000000006,-0.000000002,0.000000000
64,0.000000015,0.000000017,0.000000017,-0.000000006,0.000000001
65,0.000000045,0.000000048,0.000000051,-0.000000018,0.000000003
66,0.000000128,0.000000131,0.000000143,-0.000000050,0.000000008
67,0.000000347,0.000000338,0.000000379,-0.000000133,0.000000023
68,0.000000896,0.000000829,0.000000958,-0.000000336,0.000000060
69,0.000002207,0.000001939,0.000002308,-0.000000811,0.000000150
70,0.000005196,0.000004335,0.000005310,-0.000001868,0.000000358
71,0.000011715,0.000009276,0.000011690,-0.000004116,0.000000818
72,0.000025336,0.000019031,0.000024664,-0.000008692,0.000001793
73,0.000052651,0.000037491,0.000049948,-0.000017623,0.000003774
74,0.000105305,0.000071030,0.000097241,-0.000034349,0.000007647
75,0.000203003,0.000129606,0.000182258,-0.000064463,0.000014931
76,0.000377744,0.000228073,0.000329337,-0.000116640,0.000028132
77,0.000679411,0.000387580,0.000574491,-0.000203760,0.000051223
78,0.001182729,0.000636844,0.000968640,-0.000344089,0.000090250
79,0.001995300,0.001012996,0.001580527,-0.000562382,0.000154068
80,0.003266135,0.001561644,0.002498630,-0.000890647,0.000255146
81,0.005193691,0.002335772,0.003831250,-0.001368288,0.000410378
82,0.008032096,0.003393179,0.005703935,-0.002041320,0.000641796
83,0.012094013,0.004792314,0.008253562,-0.002960401,0.000977021
84,0.017748570,0.006586596,0.011618756,-0.004177564,0.001449326
85,0.025413003,0.008817634,0.015926851,-0.005741683,0.002097156
86,0.035537232,0.011507987,0.021278268,-0.007692969,0.002963002
87,0.048581349,0.014654407,0.027729801,-0.010056998,0.004091580
88,0.064986998,0.018222540,0.035278838,-0.012838968,0.005527372
89,0.085144606,0.022144066,0.043850787,-0.016018988,0.007311647
90,0.109359263,0.026316980,0.053291884,-0.019549167,0.009479207
91,0.137818649,0.030609378,0.063369065,-0.023353124,0.012055140
92,0.170566452,0.034866640,0.073777810,-0.027328280,0.015051919
93,0.207484442,0.038921406,0.084157809,-0.031350917,0.018467171
94,0.248285536,0.042605374,0.094115272,-0.035283638,0.022282380
95,0.292519038,0.045761660,0.103249746,-0.038984531,0.026462709
96,0.339587968,0.048256377,0.111182693,-0.042317087,0.030958000
97,0.388777060,0.049988218,0.117584785,-0.045159843,0.035704892
98,0.439288939,0.050895092,0.122199116,-0.047414749,0.040629876
99,0.490285205,0.050957260,0.124858027,-0.049013436,0.045653013
100,0.540928839,0.050196847,0.125492118,-0.049920861,0.050691991
101,0.590424413,0.048674035,0.124130958,-0.050136105,0.055666170
102,0.638053103,0.046480583,0.120895996,-0.049690450,0.060500299
103,0.683200219,0.043731521,0.115986927,-0.048643146,0.065127649
104,0.725373933,0.040555988,0.109663391,-0.047075457,0.069492363
105,0.764214785,0.037088110,0.102224103,-0.045083726,0.073550943
106,0.799496432,0.033458721,0.093985548,-0.042772154,0.077272854
107,0.831118784,0.029788485,0.085262091,-0.040245967,0.080640329
108,0.859095118,0.026182773,0.076348966,-0.037605466,0.083647484
109,0.883535005,0.022728415,0.067509074,-0.034941316,0.086298924
110,0.904624898,0.019492239,0.058964022,-0.032331240,0.088607997
111,0.922608062,0.016521179,0.050889363,-0.029838123,0.090594889
112,0.937765274,0.013843627,0.043413614,-0.027509415,0.092284695
113,0.950397329,0.011471660,0.036620408,-0.025377620,0.093705604
114,0.960810084,0.009403809,0.030552974,-0.023461605,0.094887279
115,0.969302384,0.007628015,0.025220126,-0.021768468,0.095859500
116,0.976156948,0.006124557,0.020603009,-0.020295698,0.096651077
117,0.981634064,0.004868712,0.016661950,-0.019033415,0.097289056
118,0.985967782,0.003833072,0.013342925,-0.017966506,0.097798182
119,0.989364197,0.002989420,0.010583294,-0.017076551,0.098200587
120,0.992001403,0.002310169,0.008316608,-0.016343452,0.098515676
121,0.994030667,0.001769391,0.006476415,-0.015746739,0.098760157
122,0.995578444,0.001343478,0.004999083,-0.015266560,0.098948177
123,0.996748902,0.001011496,0.003825730,-0.014884364,0.099091530
124,0.997626669,0.000755303,0.002903384,-0.014583339,0.099199913
125,0.998279608,0.000559495,0.002185526,-0.014348630,0.099281188
126,0.998761478,0.000411225,0.001632152,-0.014167401,0.099341650
127,0.999114370,0.000299958,0.001209505,-0.014028773,0.099386282
128,0.999370872,0.000217182,0.000889579,-0.013923689,0.099418979
129,0.999555956,0.000156119,0.000649493,-0.013844725,0.099442757
130,0.999688558,0.000111438,0.000470826,-0.013785889,0.099459925
131,0.999782903,0.000079002,0.000338938,-0.013742408,0.099472235
132,0.999849576,0.000055635,0.000242344,-0.013710529,0.099481000
133,0.999896384,0.000038925,0.000172136,-0.013687334,0.099487201
134,0.999929036,0.000027062,0.000121481,-0.013670584,0.099491559
135,0.999951671,0.000018699,0.000085195,-0.013658574,0.099494603
136,0.999967266,0.000012842,0.000059383,-0.013650024,0.099496715
137,0.999977947,0.000008769,0.000041145,-0.013643977,0.099498173
138,0.999985221,0.000005953,0.000028342,-0.013639730,0.099499173
139,0.999990146,0.000004019,0.000019413,-0.013636765,0.099499855
140,0.999993463,0.000002699,0.000013223,-0.013634709,0.099500317
141,0.999995684,0.000001802,0.000008959,-0.013633291,0.099500629
142,0.999997164,0.000001198,0.000006037,-0.013632319,0.099500839
143,0.999998145,0.000000792,0.000004048,-0.013631657,0.099500978
144,0.999998793,0.000000521,0.000002701,-0.013631209,0.099501071
145,0.999999217,0.000000341,0.000001793,-0.013630906,0.099501133
146,0.999999495,0.000000222,0.000001185,-0.013630703,0.099501173
147,0.999999675,0.000000144,0.000000779,-0.013630568,0.099501199
148,0.999999792,0.000000093,0.000000510,-0.013630478,0.099501217
149,0.999999868,0.000000060,0.000000332,-0.013630419,0.099501228
150,0.999999916,0.000000038,0.000000216,-0.013630380,0.099501235
