S,call delta,gamma,vega,call theta,call rho
50,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
51,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
52,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
53,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
54,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
55,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
56,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
57,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
58,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
59,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
60,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
61,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
62,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
63,0.000000000,0.000000001,0.000000001,0.000000000,0.000000000
64,0.000000002,0.000000002,0.000000004,0.000000000,0.000000001
65,0.000000006,0.000000008,0.000000016,0.000000000,0.000000002
66,0.000000020,0.000000025,0.000000054,-0.000000002,0.000000007
67,0.000000066,0.000000077,0.000000172,-0.000000005,0.000000022
68,0.000000204,0.000000223,0.000000515,-0.000000016,0.000000068
69,0.000000591,0.000000611,0.000001455,-0.000000045,0.000000201
70,0.000001618,0.000001587,0.000003887,-0.000000122,0.000000558
71,0.000004202,0.000003901,0.000009832,-0.000000310,0.000001470
72,0.000010367,0.000009104,0.000023598,-0.000000747,0.000003676
73,0.000024351,0.000020212,0.000053855,-0.000001715,0.000008750
74,0.000054561,0.000042764,0.000117087,-0.000003752,0.000019862
75,0.000116832,0.000086381,0.000242947,-0.000007836,0.000043076
76,0.000239517,0.000166870,0.000481921,-0.000015653,0.000089423
77,0.000470920,0.000308787,0.000915400,-0.000029956,0.000177993
78,0.000889432,0.000548194,0.001667607,-0.000055010,0.000340266
79,0.001616295,0.000935077,0.002917908,-0.000097086,0.000625721
80,0.002830321,0.001534660,0.004910912,-0.000164917,0.001108545
81,0.004782975,0.002426698,0.007960784,-0.000270018,0.001894859
82,0.007811376,0.003701854,0.012445634,-0.000426715,0.003129464
83,0.012345938,0.005454557,0.018788220,-0.000651751,0.005000700
84,0.018909064,0.007772306,0.027420695,-0.000963355,0.007741770
85,0.028101645,0.010722164,0.038733819,-0.001379745,0.011626865
86,0.040575270,0.014336011,0.053014568,-0.001917135,0.016960845
87,0.056989989,0.018596834,0.070379718,-0.002587444,0.024061987
88,0.077959983,0.023428660,0.090715773,-0.003396004,0.033238373
89,0.103991996,0.028692536,0.113636788,-0.004339631,0.044759734
90,0.135423528,0.034190224,0.138470409,-0.005405426,0.058827637
91,0.172368831,0.039676110,0.164278932,-0.006570592,0.075547674
92,0.214680587,0.044876372,0.189916808,-0.007803405,0.094907471
93,0.261933515,0.049513195,0.214119812,-0.009065307,0.116763885
94,0.313433379,0.053330788,0.235615423,-0.010313893,0.140841663
95,0.368251451,0.056119674,0.253240030,-0.011506422,0.166744365
96,0.425280980,0.057735930,0.266047166,-0.012603392,0.193976639
97,0.483309332,0.058112963,0.273392436,-0.013571724,0.221975476
98,0.541097603,0.057264615,0.274984684,-0.014387167,0.250146904
99,0.597459020,0.055279741,0.270898373,-0.015035683,0.277904074
100,0.651328168,0.052309617,0.261548087,-0.015513721,0.304702736
101,0.701814943,0.048550388,0.247631253,-0.015827453,0.330070772
102,0.748239557,0.044223166,0.230048908,-0.015991188,0.353629460
103,0.790147550,0.039554353,0.209816065,-0.016025244,0.375105359
104,0.827306148,0.034758327,0.187973033,-0.015953588,0.394332934
105,0.859685149,0.030023973,0.165507151,-0.015801538,0.411248988
106,0.887426589,0.025505797,0.143291570,-0.015593761,0.425880714
107,0.910807860,0.021319662,0.122044406,-0.015352710,0.438329496
108,0.930202677,0.017542619,0.102308554,-0.015097567,0.448752637
109,0.946043568,0.014215966,0.084449945,-0.014843695,0.457344934
110,0.958788603,0.011350491,0.068670473,-0.014602524,0.464321647
111,0.968894032,0.008932880,0.055031008,-0.014381778,0.469903889
112,0.976793527,0.006932390,0.043479953,-0.014185945,0.474307024
113,0.982883950,0.005307127,0.033883353,-0.014016865,0.477732210
114,0.987516993,0.004009458,0.026053456,-0.013874367,0.480360922
115,0.990995696,0.002990341,0.019773633,-0.013756868,0.482352055
116,0.993574728,0.002202516,0.014818529,-0.013661908,0.483841118
117,0.995463312,0.001602617,0.010969115,-0.013586578,0.484940969
118,0.996829789,0.001152385,0.008022902,-0.013527849,0.485743586
119,0.997807018,0.000819147,0.005799971,-0.013482806,0.486322456
120,0.998497983,0.000575783,0.004145636,-0.013448790,0.486735206
121,0.998981170,0.000400331,0.002930621,-0.013423476,0.487026253
122,0.999315443,0.000275404,0.002049555,-0.013404899,0.487229272
123,0.999544288,0.000187515,0.001418454,-0.013391448,0.487369403
124,0.999699367,0.000126396,0.000971734,-0.013381832,0.487465139
125,0.999803422,0.000084369,0.000659131,-0.013375042,0.487529896
126,0.999872568,0.000055782,0.000442795,-0.013370303,0.487573273
127,0.999918087,0.000036540,0.000294680,-0.013367034,0.487602056
128,0.999947780,0.000023721,0.000194321,-0.013364803,0.487620980
129,0.999966976,0.000015264,0.000127004,-0.013363296,0.487633310
130,0.999979280,0.000009738,0.000082289,-0.013362289,0.487641274
131,0.999987099,0.000006161,0.000052867,-0.013361623,0.487646375
132,0.999992028,0.000003867,0.000033686,-0.013361186,0.487649614
133,0.999995109,0.000002407,0.000021293,-0.013360903,0.487651655
134,0.999997021,0.000001487,0.000013354,-0.013360720,0.487652931
135,0.999998198,0.000000912,0.000008311,-0.013360604,0.487653722
136,0.999998918,0.000000555,0.000005135,-0.013360530,0.487654210
137,0.999999354,0.000000336,0.000003149,-0.013360484,0.487654507
138,0.999999617,0.000000201,0.000001918,-0.013360455,0.487654688
139,0.999999774,0.000000120,0.000001160,-0.013360437,0.487654797
140,0.999999868,0.000000071,0.000000697,-0.013360426,0.487654862
141,0.999999923,0.000000042,0.000000416,-0.013360420,0.487654901
142,0.999999956,0.000000024,0.000000247,-0.013360416,0.487654924
143,0.999999974,0.000000014,0.000000145,-0.013360413,0.487654937
144,0.999999985,0.000000008,0.000000085,-0.013360412,0.487654945
145,0.999999992,0.000000005,0.000000050,-0.013360411,0.487654950
146,0.999999995,0.000000003,0.000000029,-0.013360410,0.487654953
147,0.999999997,0.000000002,0.000000017,-0.013360410,0.487654954
148,0.999999999,0.000000001,0.000000009,-0.013360410,0.487654955
149,0.999999999,0.000000000,0.000000005,-0.013360410,0.487654955
150,1.000000000,0.000000000,0.000000003,-0.013360410,0.487654956
