S,ir=5%,ir=1%,ir=10%
50,0.000111589,7.10857E-05,0.000192761
51,0.000172322,0.0001111,0.000293251
52,0.000260853,0.000170165,0.00043746
53,0.000387456,0.000255673,0.000640544
54,0.000565237,0.000377204,0.000921459
55,0.000810595,0.000546926,0.001303464
56,0.001143677,0.000780022,0.001814572
57,0.001588792,0.001095093,0.00248792
58,0.002174768,0.001514548,0.003362019
59,0.002935218,0.002064928,0.004480867
60,0.003908699,0.002777162,0.005893881
61,0.005138716,0.003686724,0.007655644
62,0.006673585,0.004833672,0.009825443
63,0.008566116,0.006262543,0.012466597
64,0.010873115,0.008022101,0.01564559
65,0.013654708,0.010164934,0.019431001
66,0.016973503,0.012746877,0.023892288
67,0.020893585,0.015826294,0.029098427
68,0.025479389,0.019463212,0.035116473
69,0.030794475,0.023718333,0.042010062
70,0.036900229,0.028651952,0.049837928
71,0.043854546,0.034322804,0.058652458
72,0.051710522,0.040786866,0.068498351
73,0.060515201,0.048096176,0.079411411
74,0.070308412,0.056297667,0.091417515
75,0.08112174,0.065432077,0.104531793
76,0.09297764,0.075532958,0.118758031
77,0.105888751,0.086625809,0.134088321
78,0.119857391,0.098727367,0.150502961
79,0.134875278,0.111845057,0.167970601
80,0.150923459,0.125976638,0.186448629
81,0.167972451,0.141110027,0.205883774
82,0.18598259,0.157223319,0.226212908
83,0.204904566,0.174284996,0.247364022
84,0.224680132,0.192254304,0.269257338
85,0.245242953,0.211081801,0.291806527
86,0.266519587,0.230710044,0.314920007
87,0.288430553,0.251074401,0.338502273
88,0.310891467,0.272103961,0.362455246
89,0.333814218,0.293722524,0.386679587
90,0.357108154,0.315849644,0.411075983
91,0.380681252,0.33840169,0.43554634
92,0.40444126,0.361292927,0.459994908
93,0.428296769,0.384436564,0.484329282
94,0.452158225,0.40774578,0.508461298
95,0.475938844,0.431134688,0.532307801
96,0.499555431,0.454519232,0.555791278
97,0.522929099,0.477818012,0.578840374
98,0.545985867,0.500953012,0.601390268
99,0.568657158,0.523850237,0.623382933
100,0.590880178,0.546440256,0.64476728
101,0.612598191,0.56865864,0.665499191
102,0.63376069,0.590446308,0.685541462
103,0.654323474,0.611749769,0.704863651
104,0.674248637,0.632521282,0.723441854
105,0.693504473,0.652718926,0.741258421
106,0.712065317,0.672306594,0.758301616
107,0.729911322,0.691253913,0.774565233
108,0.747028188,0.709536104,0.790048186
109,0.763406845,0.727133786,0.804754074
110,0.779043104,0.744032734,0.818690736
111,0.793937293,0.760223602,0.831869804
112,0.808093863,0.775701608,0.844306247
113,0.821520998,0.790466209,0.856017942
114,0.834230215,0.804520747,0.867025244
115,0.84623597,0.817872095,0.877350581
116,0.857555276,0.8305303,0.887018069
117,0.868207327,0.84250822,0.896053153
118,0.878213145,0.853821179,0.904482275
119,0.887595244,0.864486621,0.912332564
120,0.89637731,0.874523787,0.919631556
121,0.904583914,0.8839534,0.926406951
122,0.912240238,0.892797378,0.932686382
123,0.919371833,0.901078555,0.938497222
124,0.926004394,0.908820431,0.943866416
125,0.932163567,0.916046945,0.94882033
126,0.937874773,0.922782255,0.953384634
127,0.943163054,0.929050562,0.957584196
128,0.948052947,0.934875931,0.961443005
129,0.952568369,0.940282151,0.964984103
130,0.956732525,0.945292603,0.968229542
131,0.960567837,0.949930154,0.971200351
132,0.964095882,0.954217058,0.973916515
133,0.96733735,0.958174886,0.976396972
134,0.970312009,0.961824459,0.978659609
135,0.973038689,0.965185806,0.980721279
136,0.97553527,0.96827812,0.982597816
137,0.977818684,0.971119742,0.984304061
138,0.979904919,0.973728138,0.985853891
139,0.981809036,0.976119901,0.987260252
140,0.983545187,0.978310745,0.988535196
141,0.985126639,0.980315519,0.98968992
142,0.986565804,0.982148218,0.990734805
143,0.987874268,0.983822003,0.99167946
144,0.989062825,0.985349224,0.99253276
145,0.990141513,0.986741442,0.993302891
146,0.991119647,0.988009465,0.993997389
147,0.99200586,0.989163371,0.994623183
148,0.992808135,0.990212543,0.99518663
149,0.993533848,0.991165703,0.995693559
150,0.994189797,0.992030944,0.996149303
