S,vol=25%,vol=10%,vol=50%
50,0.0001115892,0.0000000000,0.0433536102
51,0.0001723223,0.0000000000,0.0487578548
52,0.0002608528,0.0000000000,0.0545671929
53,0.0003874556,0.0000000000,0.0607847226
54,0.0005652365,0.0000000000,0.0674115328
55,0.0008105951,0.0000000000,0.0744467309
56,0.0011436773,0.0000000000,0.0818874899
57,0.0015887921,0.0000000000,0.0897291130
58,0.0021747675,0.0000000000,0.0979651139
59,0.0029352184,0.0000000000,0.1065873093
60,0.0039086987,0.0000000000,0.1155859239
61,0.0051387156,0.0000000000,0.1249497025
62,0.0066735852,0.0000000001,0.1346660307
63,0.0085661163,0.0000000004,0.1447210588
64,0.0108731146,0.0000000016,0.1550998304
65,0.0136547081,0.0000000059,0.1657864118
66,0.0169735030,0.0000000204,0.1767640206
67,0.0208935846,0.0000000665,0.1880151547
68,0.0254793892,0.0000002040,0.1995217174
69,0.0307944752,0.0000005907,0.2112651392
70,0.0369002294,0.0000016180,0.2232264960
71,0.0438545463,0.0000042018,0.2353866209
72,0.0517105221,0.0000103668,0.2477262113
73,0.0605152005,0.0000243507,0.2602259293
74,0.0703084122,0.0000545606,0.2728664959
75,0.0811217397,0.0001168320,0.2856287778
76,0.0929776404,0.0002395168,0.2984938682
77,0.1058887509,0.0004709204,0.3114431598
78,0.1198573909,0.0008894318,0.3244584114
79,0.1348752780,0.0016162954,0.3375218072
80,0.1509234588,0.0028303205,0.3506160100
81,0.1679724508,0.0047829746,0.3637242072
82,0.1859825898,0.0078113764,0.3768301510
83,0.2049045663,0.0123459383,0.3899181923
84,0.2246801317,0.0189090639,0.4029733093
85,0.2452429526,0.0281016455,0.4159811300
86,0.2665195866,0.0405752702,0.4289279504
87,0.2884305525,0.0569899894,0.4418007473
88,0.3108914667,0.0779599826,0.4545871874
89,0.3338142179,0.1039919962,0.4672756313
90,0.3571081536,0.1354235284,0.4798551348
91,0.3806812523,0.1723688309,0.4923154464
92,0.4044412600,0.2146805871,0.5046470016
93,0.4282967693,0.2619335152,0.5168409143
94,0.4521582253,0.3134333794,0.5288889663
95,0.4759388437,0.3682514510,0.5407835942
96,0.4995554311,0.4252809803,0.5525178744
97,0.5229290986,0.4833093317,0.5640855062
98,0.5459858668,0.5410976034,0.5754807946
99,0.5686571580,0.5974590204,0.5866986300
100,0.5908801780,0.6513281679,0.5977344689
101,0.6125981908,0.7018149429,0.6085843126
102,0.6337606898,0.7482395572,0.6192446854
103,0.6543234743,0.7901475496,0.6297126129
104,0.6742486369,0.8273061482,0.6399855998
105,0.6935044726,0.8596851493,0.6500616068
106,0.7120653165,0.8874265886,0.6599390288
107,0.7299113222,0.9108078598,0.6696166722
108,0.7470281884,0.9302026772,0.6790937325
109,0.7634068446,0.9460435682,0.6883697730
110,0.7790431041,0.9587886032,0.6974447022
111,0.7939372928,0.9688940318,0.7063187534
112,0.8080938630,0.9767935267,0.7149924639
113,0.8215209980,0.9828839504,0.7234666545
114,0.8342302147,0.9875169930,0.7317424100
115,0.8462359698,0.9909956956,0.7398210604
116,0.8575552755,0.9935747283,0.7477041621
117,0.8682073265,0.9954633124,0.7553934808
118,0.8782131450,0.9968297890,0.7628909736
119,0.8875952437,0.9978070181,0.7701987735
120,0.8963773102,0.9984979834,0.7773191730
121,0.9045839142,0.9989811701,0.7842546095
122,0.9122402383,0.9993154432,0.7910076507
123,0.9193718326,0.9995442879,0.7975809812
124,0.9260043936,0.9996993674,0.8039773896
125,0.9321635669,0.9998034215,0.8101997557
126,0.9378747727,0.9998725680,0.8162510395
127,0.9431630544,0.9999180873,0.8221342698
128,0.9480529474,0.9999477798,0.8278525340
129,0.9525683687,0.9999669764,0.8334089683
130,0.9567325248,0.9999792799,0.8388067485
131,0.9605678369,0.9999870991,0.8440490814
132,0.9640958824,0.9999920276,0.8491391968
133,0.9673373501,0.9999951093,0.8540803399
134,0.9703120091,0.9999970211,0.8588757645
135,0.9730386891,0.9999981982,0.8635287264
136,0.9755352704,0.9999989176,0.8680424774
137,0.9778186842,0.9999993541,0.8724202594
138,0.9799049192,0.9999996170,0.8766652999
139,0.9818090360,0.9999997744,0.8807808068
140,0.9835451868,0.9999998679,0.8847699642
141,0.9851266390,0.9999999231,0.8886359285
142,0.9865658041,0.9999999555,0.8923818245
143,0.9878742681,0.9999999744,0.8960107428
144,0.9890628253,0.9999999854,0.8995257361
145,0.9901415128,0.9999999917,0.9029298169
146,0.9911196469,0.9999999953,0.9062259552
147,0.9920058596,0.9999999973,0.9094170763
148,0.9928081354,0.9999999985,0.9125060590
149,0.9935338482,0.9999999992,0.9154957338
150,0.9941897971,0.9999999995,0.9183888817
