S,vol=25%,vol=10%,vol=50%
50,0.000026756,0.000000000,0.009454052
51,0.000042101,0.000000000,0.010818792
52,0.000064911,0.000000000,0.012314866
53,0.000098162,0.000000000,0.013947138
54,0.000145743,0.000000000,0.015719980
55,0.000212635,0.000000000,0.017637241
56,0.000305107,0.000000000,0.019702220
57,0.000430904,0.000000000,0.021917644
58,0.000599437,0.000000000,0.024285657
59,0.000821950,0.000000000,0.026807808
60,0.001111658,0.000000000,0.029485051
61,0.001483854,0.000000000,0.032317744
62,0.001955964,0.000000000,0.035305659
63,0.002547541,0.000000000,0.038447993
64,0.003280198,0.000000001,0.041743385
65,0.004177472,0.000000002,0.045189932
66,0.005264615,0.000000007,0.048785216
67,0.006568306,0.000000022,0.052526329
68,0.008116306,0.000000068,0.056409896
69,0.009937040,0.000000201,0.060432113
70,0.012059131,0.000000558,0.064588771
71,0.014510893,0.000001470,0.068875294
72,0.017319790,0.000003676,0.073286768
73,0.020511890,0.000008750,0.077817979
74,0.024111315,0.000019862,0.082463442
75,0.028139710,0.000043076,0.087217439
76,0.032615750,0.000089423,0.092074049
77,0.037554691,0.000177993,0.097027184
78,0.042967978,0.000340266,0.102070618
79,0.048862933,0.000625721,0.107198017
80,0.055242509,0.001108545,0.112402972
81,0.062105138,0.001894859,0.117679024
82,0.069444660,0.003129464,0.123019692
83,0.077250344,0.005000700,0.128418498
84,0.085506985,0.007741770,0.133868993
85,0.094195090,0.011626865,0.139364775
86,0.103291132,0.016960845,0.144899512
87,0.112767872,0.024061987,0.150466963
88,0.122594733,0.033238373,0.156060992
89,0.132738224,0.044759734,0.161675586
90,0.143162396,0.058827637,0.167304866
91,0.153829320,0.075547674,0.172943105
92,0.164699583,0.094907471,0.178584736
93,0.175732777,0.116763885,0.184224362
94,0.186887991,0.140841663,0.189856764
95,0.198124282,0.166744365,0.195476910
96,0.209401118,0.193976639,0.201079960
97,0.220678795,0.221975476,0.206661272
98,0.231918823,0.250146904,0.212216402
99,0.243084260,0.277904074,0.217741111
100,0.254140013,0.304702736,0.223231364
101,0.265053093,0.330070772,0.228683333
102,0.275792820,0.353629460,0.234093392
103,0.286330989,0.375105359,0.239458124
104,0.296641988,0.394332934,0.244774313
105,0.306702877,0.411248988,0.250038945
106,0.316493428,0.425880714,0.255249202
107,0.325996125,0.438329496,0.260402463
108,0.335196135,0.448752637,0.265496300
109,0.344081247,0.457344934,0.270528468
110,0.352641789,0.464321647,0.275496908
111,0.360870520,0.469903889,0.280399737
112,0.368762502,0.474307024,0.285235248
113,0.376314964,0.477732210,0.290001897
114,0.383527148,0.480360922,0.294698306
115,0.390400153,0.482352055,0.299323251
116,0.396936770,0.483841118,0.303875661
117,0.403141316,0.484940969,0.308354609
118,0.409019469,0.485743586,0.312759307
119,0.414578108,0.486322456,0.317089100
120,0.419825147,0.486735206,0.321343461
121,0.424769392,0.487026253,0.325521985
122,0.429420385,0.487229272,0.329624382
123,0.433788273,0.487369403,0.333650472
124,0.437883677,0.487465139,0.337600181
125,0.441717570,0.487529896,0.341473532
126,0.445301170,0.487573273,0.345270642
127,0.448645838,0.487602056,0.348991716
128,0.451762983,0.487620980,0.352637041
129,0.454663990,0.487633310,0.356206984
130,0.457360140,0.487641274,0.359701981
131,0.459862549,0.487646375,0.363122539
132,0.462182115,0.487649614,0.366469227
133,0.464329472,0.487651655,0.369742673
134,0.466314950,0.487652931,0.372943559
135,0.468148542,0.487653722,0.376072617
136,0.469839884,0.487654210,0.379130626
137,0.471398229,0.487654507,0.382118406
138,0.472832436,0.487654688,0.385036817
139,0.474150964,0.487654797,0.387886752
140,0.475361862,0.487654862,0.390669138
141,0.476472771,0.487654901,0.393384927
142,0.477490923,0.487654924,0.396035099
143,0.478423152,0.487654937,0.398620655
144,0.479275894,0.487654945,0.401142616
145,0.480055201,0.487654950,0.403602019
146,0.480766754,0.487654953,0.405999915
147,0.481415868,0.487654954,0.408337368
148,0.482007513,0.487654955,0.410615451
149,0.482546324,0.487654955,0.412835244
150,0.483036619,0.487654956,0.414997832
