S,T=0.5,T=0.1,T=1
50,0.000049643,0.000000000,0.001596387
51,0.000073132,0.000000000,0.001893975
52,0.000105634,0.000000000,0.002225988
53,0.000149748,0.000000000,0.002592921
54,0.000208539,0.000000000,0.002994789
55,0.000285529,0.000000000,0.003431100
56,0.000384681,0.000000000,0.003900852
57,0.000510349,0.000000000,0.004402535
58,0.000667202,0.000000000,0.004934145
59,0.000860125,0.000000000,0.005493213
60,0.001094089,0.000000000,0.006076840
61,0.001374003,0.000000001,0.006681745
62,0.001704546,0.000000002,0.007304313
63,0.002089995,0.000000006,0.007940656
64,0.002534037,0.000000017,0.008586673
65,0.003039601,0.000000048,0.009238114
66,0.003608689,0.000000131,0.009890644
67,0.004242235,0.000000338,0.010539905
68,0.004939989,0.000000829,0.011181579
69,0.005700436,0.000001939,0.011811443
70,0.006520743,0.000004335,0.012425424
71,0.007396761,0.000009276,0.013019643
72,0.008323051,0.000019031,0.013590464
73,0.009292962,0.000037491,0.014134524
74,0.010298740,0.000071030,0.014648763
75,0.011331670,0.000129606,0.015130452
76,0.012382246,0.000228073,0.015577203
77,0.013440366,0.000387580,0.015986987
78,0.014495534,0.000636844,0.016358132
79,0.015537079,0.001012996,0.016689331
80,0.016554363,0.001561644,0.016979627
81,0.017537001,0.002335772,0.017228414
82,0.018475047,0.003393179,0.017435413
83,0.019359183,0.004792314,0.017600666
84,0.020180875,0.006586596,0.017724509
85,0.020932508,0.008817634,0.017807554
86,0.021607494,0.011507987,0.017850664
87,0.022200354,0.014654407,0.017854932
88,0.022706769,0.018222540,0.017821654
89,0.023123605,0.022144066,0.017752301
90,0.023448911,0.026316980,0.017648502
91,0.023681893,0.030609378,0.017512010
92,0.023822871,0.034866640,0.017344686
93,0.023873207,0.038921406,0.017148470
94,0.023835228,0.042605374,0.016925364
95,0.023712132,0.045761660,0.016677408
96,0.023507885,0.048256377,0.016406663
97,0.023227112,0.049988218,0.016115193
98,0.022874988,0.050895092,0.015805049
99,0.022457124,0.050957260,0.015478255
100,0.021979457,0.050196847,0.015136793
101,0.021448149,0.048674035,0.014782597
102,0.020869482,0.046480583,0.014417536
103,0.020249770,0.043731521,0.014043412
104,0.019595274,0.040555988,0.013661951
105,0.018912124,0.037088110,0.013274796
106,0.018206261,0.033458721,0.012883505
107,0.017483372,0.029788485,0.012489546
108,0.016748854,0.026182773,0.012094297
109,0.016007767,0.022728415,0.011699042
110,0.015264813,0.019492239,0.011304974
111,0.014524313,0.016521179,0.010913191
112,0.013790198,0.013843627,0.010524705
113,0.013065998,0.011471660,0.010140433
114,0.012354851,0.009403809,0.009761208
115,0.011659501,0.007628015,0.009387779
116,0.010982315,0.006124557,0.009020813
117,0.010325296,0.004868712,0.008660898
118,0.009690098,0.003833072,0.008308549
119,0.009078052,0.002989420,0.007964210
120,0.008490181,0.002310169,0.007628259
121,0.007927229,0.001769391,0.007301009
122,0.007389682,0.001343478,0.006982717
123,0.006877793,0.001011496,0.006673583
124,0.006391606,0.000755303,0.006373756
125,0.005930980,0.000559495,0.006083340
126,0.005495608,0.000411225,0.005802393
127,0.005085046,0.000299958,0.005530935
128,0.004698727,0.000217182,0.005268950
129,0.004335984,0.000156119,0.005016387
130,0.003996066,0.000111438,0.004773170
131,0.003678155,0.000079002,0.004539191
132,0.003381384,0.000055635,0.004314323
133,0.003104846,0.000038925,0.004098416
134,0.002847610,0.000027062,0.003891304
135,0.002608730,0.000018699,0.003692803
136,0.002387255,0.000012842,0.003502717
137,0.002182238,0.000008769,0.003320838
138,0.001992742,0.000005953,0.003146951
139,0.001817850,0.000004019,0.002980831
140,0.001656663,0.000002699,0.002822248
141,0.001508310,0.000001802,0.002670968
142,0.001371951,0.000001198,0.002526755
143,0.001246776,0.000000792,0.002389369
144,0.001132011,0.000000521,0.002258571
145,0.001026916,0.000000341,0.002134124
146,0.000930790,0.000000222,0.002015791
147,0.000842966,0.000000144,0.001903336
148,0.000762814,0.000000093,0.001796527
149,0.000689744,0.000000060,0.001695138
150,0.000623197,0.000000038,0.001598943
