S,put delta,gamma,vega,put theta,put rho
50,-0.999807239,0.000082837,0.000258865,0.026040820,-0.475568555
51,-0.999706749,0.000120115,0.000390522,0.026030412,-0.475543165
52,-0.999562540,0.000170821,0.000577376,0.026015578,-0.475506010
53,-0.999359456,0.000238498,0.000837425,0.025994843,-0.475452673
54,-0.999078541,0.000327201,0.001192648,0.025966393,-0.475377491
55,-0.998696536,0.000441471,0.001669313,0.025928039,-0.475273347
56,-0.998185428,0.000586263,0.002298152,0.025877193,-0.475131454
57,-0.997512080,0.000766849,0.003114364,0.025810860,-0.474941158
58,-0.996637981,0.000988684,0.004157416,0.025725643,-0.474689762
59,-0.995519133,0.001257253,0.005470620,0.025617760,-0.474362387
60,-0.994106119,0.001577881,0.007100463,0.025483085,-0.473941882
61,-0.992344356,0.001955538,0.009095695,0.025317215,-0.473408792
62,-0.990174557,0.002394627,0.011506184,0.025115543,-0.472741396
63,-0.987533403,0.002898780,0.014381572,0.024873362,-0.471915825
64,-0.984354410,0.003470655,0.017769755,0.024585976,-0.470906256
65,-0.980568999,0.004111766,0.021715263,0.024248828,-0.469685194
66,-0.976107712,0.004822328,0.026257576,0.023857636,-0.468223827
67,-0.970901573,0.005601152,0.031429462,0.023408528,-0.466492461
68,-0.964883527,0.006445571,0.037255398,0.022898179,-0.464461019
69,-0.957989938,0.007351421,0.043750142,0.022323940,-0.462099587
70,-0.950162073,0.008313065,0.050917521,0.021683951,-0.459379003
71,-0.941347542,0.009323466,0.058749489,0.020977238,-0.456271460
72,-0.931501649,0.010374305,0.067225499,0.020203794,-0.452751115
73,-0.920588589,0.011456141,0.076312220,0.019364625,-0.448794680
74,-0.908582485,0.012558599,0.085963611,0.018461779,-0.444381977
75,-0.895468207,0.013670594,0.096121363,0.017498342,-0.439496445
76,-0.881241969,0.014780565,0.106715682,0.016478410,-0.434125578
77,-0.865911679,0.015876728,0.117666401,0.015407029,-0.428261285
78,-0.849497039,0.016947320,0.128884370,0.014290121,-0.421900166
79,-0.832029399,0.017980848,0.140273091,0.013134374,-0.415043687
80,-0.813551371,0.018966316,0.151730527,0.011947129,-0.407698260
81,-0.794116227,0.019893436,0.163151039,0.010736243,-0.399875228
82,-0.773787092,0.020752812,0.174427387,0.009509946,-0.391590747
83,-0.752635978,0.021536099,0.185452735,0.008276694,-0.382865586
84,-0.730742662,0.022236122,0.196122600,0.007045018,-0.373724835
85,-0.708193473,0.022846970,0.206336698,0.005823380,-0.364197548
86,-0.685079993,0.023364050,0.216000642,0.004620028,-0.354316320
87,-0.661497727,0.023784114,0.225027452,0.003442877,-0.344116815
88,-0.637544754,0.024105253,0.233338848,0.002299381,-0.333637256
89,-0.613320413,0.024326858,0.240866302,0.001196439,-0.322917892
90,-0.588924017,0.024449566,0.247551851,0.000140309,-0.312000454
91,-0.564453660,0.024475174,0.253348645,-0.000863463,-0.300927607
92,-0.540005092,0.024406546,0.258221254,-0.001810091,-0.289742416
93,-0.515670718,0.024247495,0.262145733,-0.002695580,-0.278487834
