S,call delta,gamma,vega,call theta,call rho
50,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
51,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
52,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
53,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
54,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
55,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
56,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
57,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
58,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
59,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
60,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
61,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
62,-1.000000000,0.000000000,0.000000000,0.013360410,-0.487654956
63,-1.000000000,0.000000001,0.000000001,0.013360410,-0.487654956
64,-0.999999998,0.000000002,0.000000004,0.013360410,-0.487654956
65,-0.999999994,0.000000008,0.000000016,0.013360409,-0.487654954
66,-0.999999980,0.000000025,0.000000054,0.013360408,-0.487654949
67,-0.999999934,0.000000077,0.000000172,0.013360404,-0.487654934
68,-0.999999796,0.000000223,0.000000515,0.013360394,-0.487654888
69,-0.999999409,0.000000611,0.000001455,0.013360364,-0.487654755
70,-0.999998382,0.000001587,0.000003887,0.013360288,-0.487654398
71,-0.999995798,0.000003901,0.000009832,0.013360100,-0.487653486
72,-0.999989633,0.000009104,0.000023598,0.013359663,-0.487651280
73,-0.999975649,0.000020212,0.000053855,0.013358695,-0.487646206
74,-0.999945439,0.000042764,0.000117087,0.013356658,-0.487635094
75,-0.999883168,0.000086381,0.000242947,0.013352574,-0.487611880
76,-0.999760483,0.000166870,0.000481921,0.013344756,-0.487565533
77,-0.999529080,0.000308787,0.000915400,0.013330454,-0.487476963
78,-0.999110568,0.000548194,0.001667607,0.013305400,-0.487314690
79,-0.998383705,0.000935077,0.002917908,0.013263324,-0.487029235
80,-0.997169679,0.001534660,0.004910912,0.013195493,-0.486546411
81,-0.995217025,0.002426698,0.007960784,0.013090392,-0.485760097
82,-0.992188624,0.003701854,0.012445634,0.012933695,-0.484525492
83,-0.987654062,0.005454557,0.018788220,0.012708659,-0.482654256
84,-0.981090936,0.007772306,0.027420695,0.012397055,-0.479913186
85,-0.971898355,0.010722164,0.038733819,0.011980665,-0.476028091
86,-0.959424730,0.014336011,0.053014568,0.011443275,-0.470694111
87,-0.943010011,0.018596834,0.070379718,0.010772966,-0.463592969
88,-0.922040017,0.023428660,0.090715773,0.009964406,-0.454416583
89,-0.896008004,0.028692536,0.113636788,0.009020779,-0.442895222
90,-0.864576472,0.034190224,0.138470409,0.007954984,-0.428827319
91,-0.827631169,0.039676110,0.164278932,0.006789818,-0.412107282
92,-0.785319413,0.044876372,0.189916808,0.005557005,-0.392747485
93,-0.738066485,0.049513195,0.214119812,0.004295103,-0.370891071
94,-0.686566621,0.053330788,0.235615423,0.003046517,-0.346813293
95,-0.631748549,0.056119674,0.253240030,0.001853988,-0.320910591
96,-0.574719020,0.057735930,0.266047166,0.000757018,-0.293678317
97,-0.516690668,0.058112963,0.273392436,-0.000211314,-0.265679480
98,-0.458902397,0.057264615,0.274984684,-0.001026757,-0.237508052
99,-0.402540980,0.055279741,0.270898373,-0.001675274,-0.209750882
100,-0.348671832,0.052309617,0.261548087,-0.002153311,-0.182952220
101,-0.298185057,0.048550388,0.247631253,-0.002467043,-0.157584184
102,-0.251760443,0.044223166,0.230048908,-0.002630778,-0.134025496
