S,ir=5%,ir=1%,ir=10%
50,-0.999888411,-0.999928914,-0.999807239
51,-0.999827678,-0.999888900,-0.999706749
52,-0.999739147,-0.999829835,-0.999562540
53,-0.999612544,-0.999744327,-0.999359456
54,-0.999434764,-0.999622796,-0.999078541
55,-0.999189405,-0.999453074,-0.998696536
56,-0.998856323,-0.999219978,-0.998185428
57,-0.998411208,-0.998904907,-0.997512080
58,-0.997825232,-0.998485452,-0.996637981
59,-0.997064782,-0.997935072,-0.995519133
60,-0.996091301,-0.997222838,-0.994106119
61,-0.994861284,-0.996313276,-0.992344356
62,-0.993326415,-0.995166328,-0.990174557
63,-0.991433884,-0.993737457,-0.987533403
64,-0.989126885,-0.991977899,-0.984354410
65,-0.986345292,-0.989835066,-0.980568999
66,-0.983026497,-0.987253123,-0.976107712
67,-0.979106415,-0.984173706,-0.970901573
68,-0.974520611,-0.980536788,-0.964883527
69,-0.969205525,-0.976281667,-0.957989938
70,-0.963099771,-0.971348048,-0.950162073
71,-0.956145454,-0.965677197,-0.941347542
72,-0.948289478,-0.959213134,-0.931501649
73,-0.939484799,-0.951903824,-0.920588589
74,-0.929691588,-0.943702333,-0.908582485
75,-0.918878260,-0.934567923,-0.895468207
76,-0.907022360,-0.924467042,-0.881241969
77,-0.894111249,-0.913374191,-0.865911679
78,-0.880142609,-0.901272633,-0.849497039
79,-0.865124722,-0.888154943,-0.832029399
80,-0.849076541,-0.874023362,-0.813551371
81,-0.832027549,-0.858889973,-0.794116227
82,-0.814017410,-0.842776681,-0.773787092
83,-0.795095434,-0.825715004,-0.752635978
84,-0.775319868,-0.807745696,-0.730742662
85,-0.754757047,-0.788918199,-0.708193473
86,-0.733480413,-0.769289956,-0.685079993
87,-0.711569447,-0.748925599,-0.661497727
88,-0.689108533,-0.727896039,-0.637544754
89,-0.666185782,-0.706277476,-0.613320413
90,-0.642891846,-0.684150357,-0.588924017
91,-0.619318748,-0.661598310,-0.564453660
92,-0.595558740,-0.638707074,-0.540005092
93,-0.571703231,-0.615563436,-0.515670718
94,-0.547841775,-0.592254220,-0.491538702
95,-0.524061156,-0.568865312,-0.467692200
96,-0.500444569,-0.545480768,-0.444208722
97,-0.477070901,-0.522181988,-0.421159626
98,-0.454014133,-0.499046988,-0.398609732
99,-0.431342842,-0.476149763,-0.376617067
100,-0.409119822,-0.453559745,-0.355232720
101,-0.387401809,-0.431341360,-0.334500809
102,-0.366239310,-0.409553692,-0.314458538
103,-0.345676526,-0.388250231,-0.295136349
104,-0.325751363,-0.367478718,-0.276558146
105,-0.306495527,-0.347281074,-0.258741579
106,-0.287934683,-0.327693406,-0.241698384
107,-0.270088678,-0.308746087,-0.225434767
108,-0.252971812,-0.290463896,-0.209951814
109,-0.236593155,-0.272866214,-0.195245926
110,-0.220956896,-0.255967266,-0.181309264
111,-0.206062707,-0.239776398,-0.168130196
112,-0.191906137,-0.224298392,-0.155693753
113,-0.178479002,-0.209533791,-0.143982058
114,-0.165769785,-0.195479254,-0.132974756
115,-0.153764030,-0.182127905,-0.122649419
116,-0.142444725,-0.169469700,-0.112981931
117,-0.131792674,-0.157491780,-0.103946847
118,-0.121786855,-0.146178821,-0.095517725
119,-0.112404756,-0.135513379,-0.087667437
120,-0.103622690,-0.125476213,-0.080368444
121,-0.095416086,-0.116046600,-0.073593049
122,-0.087759762,-0.107202622,-0.067313618
123,-0.080628167,-0.098921445,-0.061502778
124,-0.073995606,-0.091179569,-0.056133585
125,-0.067836433,-0.083953056,-0.051179670
126,-0.062125227,-0.077217745,-0.046615366
127,-0.056836946,-0.070949438,-0.042415804
128,-0.051947053,-0.065124070,-0.038556995
129,-0.047431631,-0.059717849,-0.035015897
130,-0.043267475,-0.054707397,-0.031770458
131,-0.039432163,-0.050069846,-0.028799649
132,-0.035904118,-0.045782942,-0.026083485
133,-0.032662650,-0.041825114,-0.023603028
134,-0.029687991,-0.038175541,-0.021340391
135,-0.026961311,-0.034814194,-0.019278721
136,-0.024464730,-0.031721880,-0.017402184
137,-0.022181316,-0.028880258,-0.015695939
138,-0.020095081,-0.026271862,-0.014146109
139,-0.018190964,-0.023880099,-0.012739748
140,-0.016454813,-0.021689255,-0.011464804
141,-0.014873361,-0.019684481,-0.010310080
142,-0.013434196,-0.017851782,-0.009265195
143,-0.012125732,-0.016177997,-0.008320540
144,-0.010937175,-0.014650777,-0.007467240
145,-0.009858487,-0.013258558,-0.006697109
146,-0.008880353,-0.011990535,-0.006002611
147,-0.007994140,-0.010836629,-0.005376817
148,-0.007191865,-0.009787457,-0.004813370
149,-0.006466152,-0.008834297,-0.004306441
150,-0.005810203,-0.007969056,-0.003850697
