S;T=0.5;T=0.1;T=1
50;-0.999888411;-1.000000000;-0.992809214
51;-0.999827678;-1.000000000;-0.991066869
52;-0.999739147;-1.000000000;-0.989009785
53;-0.999612544;-1.000000000;-0.986603248
54;-0.999434764;-1.000000000;-0.983812292
55;-0.999189405;-1.000000000;-0.980602184
56;-0.998856323;-1.000000000;-0.976938939
57;-0.998411208;-1.000000000;-0.972789831
58;-0.997825232;-1.000000000;-0.968123889
59;-0.997064782;-1.000000000;-0.962912384
60;-0.996091301;-1.000000000;-0.957129273
61;-0.994861284;-1.000000000;-0.950751608
62;-0.993326415;-0.999999999;-0.943759893
63;-0.991433884;-0.999999995;-0.936138388
64;-0.989126885;-0.999999985;-0.927875355
65;-0.986345292;-0.999999955;-0.918963234
66;-0.983026497;-0.999999872;-0.909398764
67;-0.979106415;-0.999999653;-0.899183035
68;-0.974520611;-0.999999104;-0.888321483
69;-0.969205525;-0.999997793;-0.876823815
70;-0.963099771;-0.999994804;-0.864703893
71;-0.956145454;-0.999988285;-0.851979557
72;-0.948289478;-0.999974664;-0.838672409
73;-0.939484799;-0.999947349;-0.824807552
74;-0.929691588;-0.999894695;-0.810413305
75;-0.918878260;-0.999796997;-0.795520880
76;-0.907022360;-0.999622256;-0.780164051
77;-0.894111249;-0.999320589;-0.764378800
78;-0.880142609;-0.998817271;-0.748202961
79;-0.865124722;-0.998004700;-0.731675855
80;-0.849076541;-0.996733865;-0.714837937
81;-0.832027549;-0.994806309;-0.697730441
82;-0.814017410;-0.991967904;-0.680395042
83;-0.795095434;-0.987905987;-0.662873533
84;-0.775319868;-0.982251430;-0.645207516
85;-0.754757047;-0.974586997;-0.627438117
86;-0.733480413;-0.964462768;-0.609605722
87;-0.711569447;-0.951418651;-0.591749738
88;-0.689108533;-0.935013002;-0.573908375
89;-0.666185782;-0.914855394;-0.556118457
90;-0.642891846;-0.890640737;-0.538415257
91;-0.619318748;-0.862181351;-0.520832352
92;-0.595558740;-0.829433548;-0.503401515
93;-0.571703231;-0.792515558;-0.486152611
94;-0.547841775;-0.751714464;-0.469113538
95;-0.524061156;-0.707480962;-0.452310167
96;-0.500444569;-0.660412032;-0.435766319
97;-0.477070901;-0.611222940;-0.419503749
98;-0.454014133;-0.560711061;-0.403542157
99;-0.431342842;-0.509714795;-0.387899201
100;-0.409119822;-0.459071161;-0.372590536
101;-0.387401809;-0.409575587;-0.357629859
102;-0.366239310;-0.361946897;-0.343028963
103;-0.345676526;-0.316799781;-0.328797807
104;-0.325751363;-0.274626067;-0.314944584
105;-0.306495527;-0.235785215;-0.301475802
106;-0.287934683;-0.200503568;-0.288396370
107;-0.270088678;-0.168881216;-0.275709681
108;-0.252971812;-0.140904882;-0.263417706
109;-0.236593155;-0.116464995;-0.251521088
110;-0.220956896;-0.095375102;-0.240019226
111;-0.206062707;-0.077391938;-0.228910377
112;-0.191906137;-0.062234726;-0.218191744
113;-0.178479002;-0.049602671;-0.207859562
114;-0.165769785;-0.039189916;-0.197909195
115;-0.153764030;-0.030697616;-0.188335213
116;-0.142444725;-0.023843052;-0.179131482
117;-0.131792674;-0.018365936;-0.170291237
118;-0.121786855;-0.014032218;-0.161807163
119;-0.112404756;-0.010635803;-0.153671468
120;-0.103622690;-0.007998597;-0.145875946
121;-0.095416086;-0.005969333;-0.138412049
122;-0.087759762;-0.004421556;-0.131270941
123;-0.080628167;-0.003251098;-0.124443561
124;-0.073995606;-0.002373331;-0.117920672
125;-0.067836433;-0.001720392;-0.111692911
126;-0.062125227;-0.001238522;-0.105750835
127;-0.056836946;-0.000885630;-0.100084961
128;-0.051947053;-0.000629128;-0.094685806
129;-0.047431631;-0.000444044;-0.089543920
130;-0.043267475;-0.000311442;-0.084649916
131;-0.039432163;-0.000217097;-0.079994501
132;-0.035904118;-0.000150424;-0.075568498
133;-0.032662650;-0.000103616;-0.071362868
134;-0.029687991;-0.000070964;-0.067368734
135;-0.026961311;-0.000048329;-0.063577390
136;-0.024464730;-0.000032734;-0.059980323
137;-0.022181316;-0.000022053;-0.056569220
138;-0.020095081;-0.000014779;-0.053335982
139;-0.018190964;-0.000009854;-0.050272729
140;-0.016454813;-0.000006537;-0.047371808
141;-0.014873361;-0.000004316;-0.044625798
142;-0.013434196;-0.000002836;-0.042027516
143;-0.012125732;-0.000001855;-0.039570013
144;-0.010937175;-0.000001207;-0.037246582
145;-0.009858487;-0.000000783;-0.035050754
146;-0.008880353;-0.000000505;-0.032976296
147;-0.007994140;-0.000000325;-0.031017213
148;-0.007191865;-0.000000208;-0.029167742
149;-0.006466152;-0.000000132;-0.027422352
150;-0.005810203;-0.000000084;-0.025775735
