S,ir=5%,ir=1%,ir=10%
50,-0.487628200,-0.497489178,-0.475568555
51,-0.487612855,-0.497479068,-0.475543165
52,-0.487590045,-0.497463850,-0.475506010
53,-0.487556794,-0.497441391,-0.475452673
54,-0.487509213,-0.497408864,-0.475377491
55,-0.487442321,-0.497362592,-0.475273347
56,-0.487349849,-0.497297878,-0.475131454
57,-0.487224052,-0.497208832,-0.474941158
58,-0.487055519,-0.497088190,-0.474689762
59,-0.486833006,-0.496927143,-0.474362387
60,-0.486543298,-0.496715179,-0.473941882
61,-0.486171102,-0.496439946,-0.473408792
62,-0.485698992,-0.496087152,-0.472741396
63,-0.485107415,-0.495640502,-0.471915825
64,-0.484374758,-0.495081694,-0.470906256
65,-0.483477484,-0.494390459,-0.469685194
66,-0.482390341,-0.493544678,-0.468223827
67,-0.481086650,-0.492520552,-0.466492461
68,-0.479538650,-0.491292847,-0.464461019
69,-0.477717916,-0.489835198,-0.462099587
70,-0.475595825,-0.488120470,-0.459379003
71,-0.473144063,-0.486121176,-0.456271460
72,-0.470335166,-0.483809932,-0.452751115
73,-0.467143066,-0.481159945,-0.448794680
74,-0.463543641,-0.478145516,-0.444381977
75,-0.459515246,-0.474742552,-0.439496445
76,-0.455039206,-0.470929061,-0.434125578
77,-0.450100265,-0.466685628,-0.428261285
78,-0.444686978,-0.461995852,-0.421900166
79,-0.438792023,-0.456846735,-0.415043687
80,-0.432412447,-0.451229011,-0.407698260
81,-0.425549818,-0.445137408,-0.399875228
82,-0.418210296,-0.438570839,-0.391590747
83,-0.410404612,-0.431532510,-0.382865586
84,-0.402147971,-0.424029955,-0.373724835
85,-0.393459866,-0.416074992,-0.364197548
86,-0.384363824,-0.407683597,-0.354316320
87,-0.374887084,-0.398875720,-0.344116815
88,-0.365060223,-0.389675026,-0.333637256
89,-0.354916732,-0.380108583,-0.322917892
90,-0.344492560,-0.370206502,-0.312000454
91,-0.333825636,-0.360001542,-0.300927607
92,-0.322955374,-0.349528678,-0.289742416
93,-0.311922180,-0.338824659,-0.278487834
94,-0.300766965,-0.327927549,-0.267206218
95,-0.289530674,-0.316876275,-0.255938882
96,-0.278253838,-0.305710174,-0.244725688
97,-0.266976161,-0.294468565,-0.233604694
98,-0.255736133,-0.283190336,-0.222611841
99,-0.244570696,-0.271913567,-0.211780697
100,-0.233514943,-0.260675174,-0.201142248
101,-0.222601863,-0.249510604,-0.190724742
102,-0.211862136,-0.238453553,-0.180553584
103,-0.201323967,-0.227535742,-0.170651268
104,-0.191012968,-0.216786715,-0.161037362
105,-0.180952079,-0.206233693,-0.151728526
106,-0.171161528,-0.195901459,-0.142738564
107,-0.161658831,-0.185812283,-0.134078514
108,-0.152458821,-0.175985888,-0.125756752
109,-0.143573709,-0.166439434,-0.117779130
110,-0.135013167,-0.157187553,-0.110149125
111,-0.126784436,-0.148242395,-0.102868003
112,-0.118892454,-0.139613704,-0.095934992
113,-0.111339992,-0.131308913,-0.089347461
114,-0.104127808,-0.123333257,-0.083101107
115,-0.097254803,-0.115689902,-0.077190131
116,-0.090718186,-0.108380075,-0.071607425
117,-0.084513640,-0.101403216,-0.066344746
118,-0.078635487,-0.094757127,-0.061392884
119,-0.073076848,-0.088438118,-0.056741824
120,-0.067829809,-0.082441169,-0.052380900
121,-0.062885564,-0.076760076,-0.048298937
122,-0.058234571,-0.071387599,-0.044484384
123,-0.053866683,-0.066315608,-0.040925433
124,-0.049771279,-0.061535218,-0.037610135
125,-0.045937386,-0.057036924,-0.034526491
126,-0.042353786,-0.052810716,-0.031662547
127,-0.039009118,-0.048846202,-0.029006471
128,-0.035891973,-0.045132709,-0.026546618
129,-0.032990966,-0.041659382,-0.024271590
130,-0.030294816,-0.038415274,-0.022170287
131,-0.027792407,-0.035389423,-0.020231944
132,-0.025472841,-0.032570925,-0.018446168
133,-0.023325484,-0.029948997,-0.016802960
134,-0.021340006,-0.027513031,-0.015292737
135,-0.019506414,-0.025252641,-0.013906344
136,-0.017815072,-0.023157706,-0.012635064
137,-0.016256727,-0.021218400,-0.011470620
138,-0.014822520,-0.019425221,-0.010405174
139,-0.013503992,-0.017769013,-0.009431327
140,-0.012293094,-0.016240980,-0.008542105
141,-0.011182185,-0.014832700,-0.007730960
142,-0.010164033,-0.013536135,-0.006991747
143,-0.009231804,-0.012343626,-0.006318721
144,-0.008379063,-0.011247904,-0.005706514
145,-0.007599755,-0.010242080,-0.005150127
146,-0.006888202,-0.009319643,-0.004644910
147,-0.006239088,-0.008474453,-0.004186543
148,-0.005647443,-0.007700730,-0.003771025
149,-0.005108632,-0.006993047,-0.003394653
150,-0.004618337,-0.006346315,-0.003054005
