S,vol=25%,vol=10%,vol=50%
50,-0.487628200,-0.487654956,-0.478200904
51,-0.487612855,-0.487654956,-0.476836164
52,-0.487590045,-0.487654956,-0.475340090
53,-0.487556794,-0.487654956,-0.473707818
54,-0.487509213,-0.487654956,-0.471934976
55,-0.487442321,-0.487654956,-0.470017715
56,-0.487349849,-0.487654956,-0.467952736
57,-0.487224052,-0.487654956,-0.465737312
58,-0.487055519,-0.487654956,-0.463369299
59,-0.486833006,-0.487654956,-0.460847148
60,-0.486543298,-0.487654956,-0.458169905
61,-0.486171102,-0.487654956,-0.455337212
62,-0.485698992,-0.487654956,-0.452349297
63,-0.485107415,-0.487654956,-0.449206963
64,-0.484374758,-0.487654956,-0.445911571
65,-0.483477484,-0.487654954,-0.442465024
66,-0.482390341,-0.487654949,-0.438869740
67,-0.481086650,-0.487654934,-0.435128627
68,-0.479538650,-0.487654888,-0.431245060
69,-0.477717916,-0.487654755,-0.427222843
70,-0.475595825,-0.487654398,-0.423066185
71,-0.473144063,-0.487653486,-0.418779662
72,-0.470335166,-0.487651280,-0.414368188
73,-0.467143066,-0.487646206,-0.409836977
74,-0.463543641,-0.487635094,-0.405191514
75,-0.459515246,-0.487611880,-0.400437517
76,-0.455039206,-0.487565533,-0.395580907
77,-0.450100265,-0.487476963,-0.390627772
78,-0.444686978,-0.487314690,-0.385584338
79,-0.438792023,-0.487029235,-0.380456939
80,-0.432412447,-0.486546411,-0.375251984
81,-0.425549818,-0.485760097,-0.369975932
82,-0.418210296,-0.484525492,-0.364635264
83,-0.410404612,-0.482654256,-0.359236458
84,-0.402147971,-0.479913186,-0.353785963
85,-0.393459866,-0.476028091,-0.348290181
86,-0.384363824,-0.470694111,-0.342755444
87,-0.374887084,-0.463592969,-0.337187993
88,-0.365060223,-0.454416583,-0.331593964
89,-0.354916732,-0.442895222,-0.325979370
90,-0.344492560,-0.428827319,-0.320350090
91,-0.333825636,-0.412107282,-0.314711851
92,-0.322955374,-0.392747485,-0.309070220
93,-0.311922180,-0.370891071,-0.303430594
94,-0.300766965,-0.346813293,-0.297798192
95,-0.289530674,-0.320910591,-0.292178046
96,-0.278253838,-0.293678317,-0.286574996
97,-0.266976161,-0.265679480,-0.280993684
98,-0.255736133,-0.237508052,-0.275438554
99,-0.244570696,-0.209750882,-0.269913845
100,-0.233514943,-0.182952220,-0.264423592
101,-0.222601863,-0.157584184,-0.258971623
102,-0.211862136,-0.134025496,-0.253561564
103,-0.201323967,-0.112549597,-0.248196832
104,-0.191012968,-0.093322022,-0.242880643
105,-0.180952079,-0.076405968,-0.237616011
106,-0.171161528,-0.061774242,-0.232405754
107,-0.161658831,-0.049325460,-0.227252493
108,-0.152458821,-0.038902319,-0.222158656
109,-0.143573709,-0.030310022,-0.217126488
110,-0.135013167,-0.023333309,-0.212158048
111,-0.126784436,-0.017751067,-0.207255219
112,-0.118892454,-0.013347932,-0.202419708
113,-0.111339992,-0.009922746,-0.197653059
114,-0.104127808,-0.007294034,-0.192956650
115,-0.097254803,-0.005302901,-0.188331705
116,-0.090718186,-0.003813838,-0.183779295
117,-0.084513640,-0.002713987,-0.179300347
118,-0.078635487,-0.001911370,-0.174895649
119,-0.073076848,-0.001332500,-0.170565856
120,-0.067829809,-0.000919750,-0.166311495
121,-0.062885564,-0.000628703,-0.162132971
122,-0.058234571,-0.000425684,-0.158030574
123,-0.053866683,-0.000285553,-0.154004484
124,-0.049771279,-0.000189817,-0.150054775
125,-0.045937386,-0.000125060,-0.146181424
126,-0.042353786,-0.000081683,-0.142384314
127,-0.039009118,-0.000052900,-0.138663240
128,-0.035891973,-0.000033976,-0.135017915
129,-0.032990966,-0.000021646,-0.131447972
130,-0.030294816,-0.000013682,-0.127952975
131,-0.027792407,-0.000008581,-0.124532417
132,-0.025472841,-0.000005342,-0.121185729
133,-0.023325484,-0.000003301,-0.117912283
134,-0.021340006,-0.000002025,-0.114711397
135,-0.019506414,-0.000001234,-0.111582339
136,-0.017815072,-0.000000746,-0.108524330
137,-0.016256727,-0.000000449,-0.105536550
138,-0.014822520,-0.000000268,-0.102618139
139,-0.013503992,-0.000000159,-0.099768204
140,-0.012293094,-0.000000094,-0.096985818
141,-0.011182185,-0.000000055,-0.094270029
142,-0.010164033,-0.000000032,-0.091619857
143,-0.009231804,-0.000000019,-0.089034301
144,-0.008379063,-0.000000011,-0.086512340
145,-0.007599755,-0.000000006,-0.084052937
146,-0.006888202,-0.000000003,-0.081655041
147,-0.006239088,-0.000000002,-0.079317588
148,-0.005647443,-0.000000001,-0.077039505
149,-0.005108632,-0.000000001,-0.074819712
150,-0.004618337,0.000000000,-0.072657124
