S,T=0.5,T=0.1,T=1
50,0.013349051,0.013630308,0.012643343
51,0.013342971,0.013630308,0.012551212
52,0.013334176,0.013630308,0.012443131
53,0.013321706,0.013630308,0.012317562
54,0.013304353,0.013630308,0.012173020
55,0.013280635,0.013630308,0.012008102
56,0.013248766,0.013630308,0.011821513
57,0.013206642,0.013630308,0.011612103
58,0.013151823,0.013630308,0.011378887
59,0.013081547,0.013630308,0.011121072
60,0.012992734,0.013630308,0.010838077
61,0.012882028,0.013630308,0.010529550
62,0.012745839,0.013630307,0.010195383
63,0.012580410,0.013630306,0.009835715
64,0.012381893,0.013630302,0.009450941
65,0.012146445,0.013630290,0.009041709
66,0.011870331,0.013630258,0.008608913
67,0.011550029,0.013630175,0.008153687
68,0.011182351,0.013629972,0.007677393
69,0.010764551,0.013629497,0.007181598
70,0.010294437,0.013628440,0.006668061
71,0.009770465,0.013626192,0.006138709
72,0.009191829,0.013621616,0.005595613
73,0.008558526,0.013612685,0.005040964
74,0.007871410,0.013595959,0.004477044
75,0.007132212,0.013565845,0.003906204
76,0.006343552,0.013513667,0.003330836
77,0.005508917,0.013426548,0.002753346
78,0.004632620,0.013286219,0.002176130
79,0.003719738,0.013067926,0.001601550
80,0.002776032,0.012739661,0.001031917
81,0.001807849,0.012262020,0.000469461
82,0.000822010,0.011588988,-0.000083678
83,-0.000174310,0.010669907,-0.000625470
84,-0.001173708,0.009452744,-0.001154010
85,-0.002168683,0.007888625,-0.001667526
86,-0.003151764,0.005937339,-0.002164394
87,-0.004115635,0.003573310,-0.002643139
88,-0.005053249,0.000791340,-0.003102444
89,-0.005957938,-0.002388680,-0.003541155
90,-0.006823507,-0.005918859,-0.003958276
91,-0.007644311,-0.009722816,-0.004352974
92,-0.008415330,-0.013697972,-0.004724577
93,-0.009132215,-0.017720609,-0.005072565
94,-0.009791322,-0.021653330,-0.005396573
95,-0.010389741,-0.025354223,-0.005696379
96,-0.010925294,-0.028686779,-0.005971898
97,-0.011396535,-0.031529535,-0.006223177
98,-0.011802725,-0.033784441,-0.006450387
99,-0.012143806,-0.035383128,-0.006653809
100,-0.012420359,-0.036290553,-0.006833831
101,-0.012633559,-0.036505797,-0.006990934
102,-0.012785121,-0.036060142,-0.007125686
103,-0.012877238,-0.035012838,-0.007238732
104,-0.012912528,-0.033445150,-0.007330782
105,-0.012893964,-0.031453418,-0.007402605
106,-0.012824816,-0.029141846,-0.007455019
107,-0.012708588,-0.026615659,-0.007488881
108,-0.012548956,-0.023975158,-0.007505083
109,-0.012349717,-0.021311008,-0.007504538
110,-0.012114728,-0.018700932,-0.007488180
111,-0.011847863,-0.016207815,-0.007456951
112,-0.011552967,-0.013879107,-0.007411798
113,-0.011233813,-0.011747312,-0.007353667
114,-0.010894070,-0.009831297,-0.007283497
115,-0.010537274,-0.008138160,-0.007202215
116,-0.010166799,-0.006665390,-0.007110731
117,-0.009785840,-0.005403107,-0.007009939
118,-0.009397395,-0.004336198,-0.006900707
119,-0.009004255,-0.003446243,-0.006783877
120,-0.008608995,-0.002713144,-0.006660265
121,-0.008213970,-0.002116431,-0.006530654
122,-0.007821315,-0.001636252,-0.006395797
123,-0.007432944,-0.001254056,-0.006256413
124,-0.007050559,-0.000953031,-0.006113188
125,-0.006675650,-0.000718322,-0.005966770
126,-0.006309509,-0.000537093,-0.005817775
127,-0.005953236,-0.000398465,-0.005666782
128,-0.005607750,-0.000293381,-0.005514334
129,-0.005273802,-0.000214417,-0.005360941
130,-0.004951984,-0.000155581,-0.005207077
131,-0.004642744,-0.000112100,-0.005053182
132,-0.004346398,-0.000080221,-0.004899664
133,-0.004063140,-0.000057026,-0.004746897
134,-0.003793055,-0.000040276,-0.004595227
135,-0.003536134,-0.000028266,-0.004444965
136,-0.003292281,-0.000019716,-0.004296398
137,-0.003061324,-0.000013669,-0.004149783
138,-0.002843029,-0.000009422,-0.004005349
139,-0.002637106,-0.000006457,-0.003863302
140,-0.002443219,-0.000004401,-0.003723823
141,-0.002260994,-0.000002983,-0.003587071
142,-0.002090028,-0.000002012,-0.003453184
143,-0.001929892,-0.000001349,-0.003322277
144,-0.001780143,-0.000000901,-0.003194450
145,-0.001640325,-0.000000598,-0.003069783
146,-0.001509974,-0.000000395,-0.002948340
147,-0.001388625,-0.000000260,-0.002830171
148,-0.001275814,-0.000000170,-0.002715309
149,-0.001171082,-0.000000111,-0.002603778
150,-0.001073978,-0.000000072,-0.002495586
