S,ir=5%,ir=1%,ir=10%
50,0.000155134,0.000101522,0.000258865
51,0.000237771,0.000157586,0.000390522
52,0.000357042,0.000239593,0.000577376
53,0.000525804,0.000357168,0.000837425
54,0.000760125,0.000522551,0.001192648
55,0.001079656,0.000750982,0.001669313
56,0.001507949,0.001061058,0.002298152
57,0.002072654,0.001475023,0.003114364
58,0.002805585,0.002018968,0.004157416
59,0.003742619,0.002722909,0.005470620
60,0.004923401,0.003620714,0.007100463
61,0.006390830,0.004749857,0.009095695
62,0.008190345,0.006150990,0.011506184
63,0.010368987,0.007867313,0.014381572
64,0.012974270,0.009943752,0.017769755
65,0.016052892,0.012425962,0.021715263
66,0.019649309,0.015359164,0.026257576
67,0.023804239,0.018786866,0.031429462
68,0.028553139,0.022749493,0.037255398
69,0.033924719,0.027282983,0.043750142
70,0.039939553,0.032417395,0.050917521
71,0.046608839,0.038175594,0.058749489
72,0.053933369,0.044572041,0.067225499
73,0.061902742,0.051611763,0.076312220
74,0.070494874,0.059289531,0.085963611
75,0.079675802,0.067589281,0.096121363
76,0.089399818,0.076483808,0.106715682
77,0.099609914,0.085934747,0.117666401
78,0.110238540,0.095892837,0.128884370
79,0.121208634,0.106298483,0.140273091
80,0.132434907,0.117082567,0.151730527
81,0.143825328,0.128167513,0.163151039
82,0.155282771,0.139468558,0.174427387
83,0.166706768,0.150895186,0.185452735
84,0.177995321,0.162352695,0.196122600
85,0.189046713,0.173743840,0.206336698
86,0.199761283,0.184970512,0.216000642
87,0.210043101,0.195935403,0.225027452
88,0.219801526,0.206543620,0.233338848
89,0.228952593,0.216704207,0.240866302
90,0.237420219,0.226331541,0.247551851
91,0.245137197,0.235346573,0.253348645
92,0.252045973,0.243677901,0.258221254
93,0.258099205,0.251262644,0.262145733
94,0.263260090,0.258047124,0.265109461
95,0.267502486,0.263987341,0.267110785
96,0.270810832,0.269049254,0.268158476
97,0.273179873,0.273208861,0.268271042
98,0.274614234,0.276452107,0.267475907
99,0.275127839,0.278774620,0.265808501
100,0.274743217,0.280181303,0.263311280
101,0.273490712,0.280685794,0.260032701
102,0.271407617,0.280309821,0.256026181
103,0.268537267,0.279082471,0.251349062
104,0.264928098,0.277039396,0.246061595
105,0.260632710,0.274221968,0.240225975
106,0.255706930,0.270676420,0.233905422
107,0.250208915,0.266452972,0.227163338
108,0.244198291,0.261604973,0.220062529
109,0.237735348,0.256188063,0.212664523
110,0.230880293,0.250259375,0.205028957
111,0.223692579,0.243876782,0.197213063
112,0.216230300,0.237098201,0.189271236
113,0.208549666,0.229980956,0.181254680
114,0.200704552,0.222581210,0.173211143
115,0.192746126,0.214953464,0.165184720
116,0.184722544,0.207150118,0.157215729
117,0.176678721,0.199221116,0.149340651
118,0.168656163,0.191213642,0.141592123
119,0.160692864,0.183171886,0.133998984
120,0.152823252,0.175136879,0.126586364
121,0.145078192,0.167146368,0.119375808
122,0.137485028,0.159234757,0.112385434
123,0.130067662,0.151433088,0.105630109
124,0.122846671,0.143769063,0.099121651
125,0.115839444,0.136267110,0.092869036
126,0.109060344,0.128948468,0.086878620
127,0.102520889,0.121831311,0.081154363
128,0.096229938,0.114930887,0.075698054
129,0.090193890,0.108259672,0.070509533
130,0.084416891,0.101827544,0.065586908
131,0.078901030,0.095641962,0.060926765
132,0.073646549,0.089708148,0.056524371
133,0.068652034,0.084029278,0.052373860
134,0.063914610,0.078606668,0.048468412
135,0.059430126,0.073439960,0.044800423
136,0.055193326,0.068527303,0.041361657
137,0.051198020,0.063865527,0.038143382
138,0.047437230,0.059450308,0.035136503
139,0.043903342,0.055276334,0.032331677
140,0.040588232,0.051337445,0.029719411
141,0.037483387,0.047626782,0.027290157
142,0.034580017,0.044136909,0.025034390
143,0.031869150,0.040859939,0.022942679
144,0.029341719,0.037787636,0.021005743
145,0.026988645,0.034911521,0.019214503
146,0.024800896,0.032222956,0.017560124
147,0.022769554,0.029713225,0.016034047
148,0.020885858,0.027373605,0.014628017
149,0.019141251,0.025195426,0.013334103
150,0.017527413,0.023170126,0.012144714
