S,vol=25%,vol=10%,vol=50%
50,0.000155134,0.000000000,0.032520217
51,0.000237771,0.000000000,0.036453710
52,0.000357042,0.000000000,0.040648459
53,0.000525804,0.000000000,0.045099583
54,0.000760125,0.000000000,0.049800294
55,0.001079656,0.000000000,0.054741973
56,0.001507949,0.000000000,0.059914267
57,0.002072654,0.000000000,0.065305207
58,0.002805585,0.000000000,0.070901332
59,0.003742619,0.000000000,0.076687835
60,0.004923401,0.000000000,0.082648708
61,0.006390830,0.000000000,0.088766901
62,0.008190345,0.000000000,0.095024477
63,0.010368987,0.000000001,0.101402775
64,0.012974270,0.000000004,0.107882569
65,0.016052892,0.000000016,0.114444226
66,0.019649309,0.000000054,0.121067856
67,0.023804239,0.000000172,0.127733461
68,0.028553139,0.000000515,0.134421074
69,0.033924719,0.000001455,0.141110889
70,0.039939553,0.000003887,0.147783388
71,0.046608839,0.000009832,0.154419452
72,0.053933369,0.000023598,0.161000464
73,0.061902742,0.000053855,0.167508404
74,0.070494874,0.000117087,0.173925930
75,0.079675802,0.000242947,0.180236456
76,0.089399818,0.000481921,0.186424209
77,0.099609914,0.000915400,0.192474286
78,0.110238540,0.001667607,0.198372695
79,0.121208634,0.002917908,0.204106391
80,0.132434907,0.004910912,0.209663300
81,0.143825328,0.007960784,0.215032340
82,0.155282771,0.012445634,0.220203424
83,0.166706768,0.018788220,0.225167470
84,0.177995321,0.027420695,0.229916391
85,0.189046713,0.038733819,0.234443089
86,0.199761283,0.053014568,0.238741437
87,0.210043101,0.070379718,0.242806260
88,0.219801526,0.090715773,0.246633310
89,0.228952593,0.113636788,0.250219239
90,0.237420219,0.138470409,0.253561564
91,0.245137197,0.164278932,0.256658635
92,0.252045973,0.189916808,0.259509602
93,0.258099205,0.214119812,0.262114368
94,0.263260090,0.235615423,0.264473557
95,0.267502486,0.253240030,0.266588470
96,0.270810832,0.266047166,0.268461044
97,0.273179873,0.273392436,0.270093809
98,0.274614234,0.274984684,0.271489848
99,0.275127839,0.270898373,0.272652753
100,0.274743217,0.261548087,0.273586586
101,0.273490712,0.247631253,0.274295836
102,0.271407617,0.230048908,0.274785383
103,0.268537267,0.209816065,0.275060454
104,0.264928098,0.187973033,0.275126588
105,0.260632710,0.165507151,0.274989602
106,0.255706930,0.143291570,0.274655550
107,0.250208915,0.122044406,0.274130694
108,0.244198291,0.102308554,0.273421473
109,0.237735348,0.084449945,0.272534465
110,0.230880293,0.068670473,0.271476367
111,0.223692579,0.055031008,0.270253960
112,0.216230300,0.043479953,0.268874088
113,0.208549666,0.033883353,0.267343633
114,0.200704552,0.026053456,0.265669489
115,0.192746126,0.019773633,0.263858543
116,0.184722544,0.014818529,0.261917656
117,0.176678721,0.010969115,0.259853646
118,0.168656163,0.008022902,0.257673266
119,0.160692864,0.005799971,0.255383193
120,0.152823252,0.004145636,0.252990015
121,0.145078192,0.002930621,0.250500215
122,0.137485028,0.002049555,0.247920160
123,0.130067662,0.001418454,0.245256093
124,0.122846671,0.000971734,0.242514123
125,0.115839444,0.000659131,0.239700216
126,0.109060344,0.000442795,0.236820190
127,0.102520889,0.000294680,0.233879707
128,0.096229938,0.000194321,0.230884269
129,0.090193890,0.000127004,0.227839215
130,0.084416891,0.000082289,0.224749715
131,0.078901030,0.000052867,0.221620770
132,0.073646549,0.000033686,0.218457208
133,0.068652034,0.000021293,0.215263686
134,0.063914610,0.000013354,0.212044684
135,0.059430126,0.000008311,0.208804513
136,0.055193326,0.000005135,0.205547305
137,0.051198020,0.000003149,0.202277025
138,0.047437230,0.000001918,0.198997465
139,0.043903342,0.000001160,0.195712246
140,0.040588232,0.000000697,0.192424826
141,0.037483387,0.000000416,0.189138495
142,0.034580017,0.000000247,0.185856385
143,0.031869150,0.000000145,0.182581465
144,0.029341719,0.000000085,0.179316552
145,0.026988645,0.000000050,0.176064308
146,0.024800896,0.000000029,0.172827250
147,0.022769554,0.000000017,0.169607748
148,0.020885858,0.000000009,0.166408031
149,0.019141251,0.000000005,0.163230190
150,0.017527413,0.000000003,0.160076187
