realized profit;strategy;x;y;value
2020;dca;0;0;0
2019;dca;0;1;0
2018;dca;0;2;0
2017;dca;0;3;0
2016;dca;0;4;0
2015;dca;0;5;0
2020;dva1;1;0;0
2019;dva1;1;1;0
2018;dva1;1;2;0
2017;dva1;1;3;0
2016;dva1;1;4;0
2015;dva1;1;5;0
2020;dva2;2;0;2281
2019;dva2;2;1;1382
2018;dva2;2;2;2267
2017;dva2;2;3;8030
2016;dva2;2;4;8473
2015;dva2;2;5;2094
2020;lumpsum1;3;0;0
2019;lumpsum1;3;1;0
2018;lumpsum1;3;2;0
2017;lumpsum1;3;3;0
2016;lumpsum1;3;4;0
2015;lumpsum1;3;5;0
2020;lumpsum2;4;0;0
2019;lumpsum2;4;1;0
2018;lumpsum2;4;2;0
2017;lumpsum2;4;3;0
2016;lumpsum2;4;4;0
2015;lumpsum2;4;5;0
