sharpe;strategy;x;y;value
2020;dca;0;0;0,81
2019;dca;0;1;-0,35
2018;dca;0;2;-0,53
2017;dca;0;3;6,73
2016;dca;0;4;5,34
2015;dca;0;5;0,03
2020;dva1;1;0;1,21
2019;dva1;1;1;-0,26
2018;dva1;1;2;-0,39
2017;dva1;1;3;15,84
2016;dva1;1;4;11,6
2015;dva1;1;5;0,13
2020;dva2;2;0;0,79
2019;dva2;2;1;-0,21
2018;dva2;2;2;-0,33
2017;dva2;2;3;2,33
2016;dva2;2;4;1,84
2015;dva2;2;5;0,13
2020;lumpsum1;3;0;1,12
2019;lumpsum1;3;1;-0,1
2018;lumpsum1;3;2;-0,74
2017;lumpsum1;3;3;13,57
2016;lumpsum1;3;4;16,06
2015;lumpsum1;3;5;0,02
2020;lumpsum2;4;0;1,86
2019;lumpsum2;4;1;-0,88
2018;lumpsum2;4;2;-0,93
2017;lumpsum2;4;3;5,73
2016;lumpsum2;4;4;5,16
2015;lumpsum2;4;5;-0,11
