date;crypto;savings
01-01-2017;0;0
02-01-2017;0;0
03-01-2017;50;50
04-01-2017;55.31;50
05-01-2017;48.54;50
06-01-2017;43.22;50
07-01-2017;43.52;50
08-01-2017;43.65;50
09-01-2017;43.25;50
10-01-2017;93.48;100
11-01-2017;80.1;100
12-01-2017;82.89;100
13-01-2017;84.86;100
14-01-2017;84.28;100
15-01-2017;84.63;100
16-01-2017;85.64;100
17-01-2017;143.5;150
18-01-2017;140.13;150
19-01-2017;142.1;150
20-01-2017;141.46;150
21-01-2017;145.69;150
22-01-2017;146.15;150
23-01-2017;145.57;150
24-01-2017;191.09;200
25-01-2017;192.99;200
26-01-2017;196.42;200
27-01-2017;196.89;200
28-01-2017;197.28;200
29-01-2017;196.83;200
30-01-2017;197.02;200
31-01-2017;257.73;250
01-02-2017;262.68;250
02-02-2017;268.73;250
03-02-2017;273.53;250
04-02-2017;276.98;250
05-02-2017;272.85;250
06-02-2017;275.72;250
07-02-2017;331.89;300
08-02-2017;332.42;300
09-02-2017;310.94;300
10-02-2017;309.16;300
11-02-2017;314.09;300
12-02-2017;312.44;300
13-02-2017;309.77;300
14-02-2017;364.12;350
15-02-2017;365.19;350
16-02-2017;372.42;350
17-02-2017;379.22;350
18-02-2017;382.2;350
19-02-2017;379.83;350
20-02-2017;391.47;350
21-02-2017;454.27;400
22-02-2017;455.14;400
23-02-2017;475.21;400
24-02-2017;478.05;400
25-02-2017;465.89;400
26-02-2017;474.59;400
27-02-2017;480.61;400
28-02-2017;530.61;450
01-03-2017;549.73;450
02-03-2017;562.55;450
03-03-2017;573.34;450
04-03-2017;564.42;450
05-03-2017;569.8;450
06-03-2017;572.37;450
07-03-2017;600.2;500
08-03-2017;564.13;500
09-03-2017;583.01;500
10-03-2017;547.8;500
11-03-2017;576.8;500
12-03-2017;599.14;500
13-03-2017;604.31;500
14-03-2017;658.28;550
15-03-2017;663.38;550
16-03-2017;630.57;550
17-03-2017;584.08;550
18-03-2017;516.97;550
19-03-2017;550.37;550
20-03-2017;559.66;550
21-03-2017;644.86;600
22-03-2017;603.77;600
23-03-2017;597.7;600
24-03-2017;539.53;600
25-03-2017;559.82;600
26-03-2017;556.34;600
27-03-2017;601.83;600
28-03-2017;652.62;650
29-03-2017;648.15;650
30-03-2017;639.71;650
31-03-2017;667.98;650
01-04-2017;673.41;650
02-04-2017;686.91;650
03-04-2017;712.86;650
04-04-2017;756.28;700
05-04-2017;750.63;700
06-04-2017;789.27;700
07-04-2017;785.41;700
08-04-2017;784.78;700
09-04-2017;792.73;700
10-04-2017;792.24;700
11-04-2017;854.17;750
12-04-2017;850.88;750
13-04-2017;828.85;750
14-04-2017;827.61;750
15-04-2017;831.14;750
16-04-2017;838.53;750
17-04-2017;846.3;750
18-04-2017;908.89;800
19-04-2017;907.86;800
20-04-2017;921.95;800
21-04-2017;916.68;800
22-04-2017;923.93;800
23-04-2017;905.55;800
24-04-2017;937.76;800
25-04-2017;999.27;850
26-04-2017;1011.58;850
27-04-2017;1040.52;850
28-04-2017;1039.53;850
29-04-2017;1043.72;850
30-04-2017;1064.33;850
01-05-2017;1122.53;850
02-05-2017;1197.19;900
03-05-2017;1227.9;900
04-05-2017;1267.11;900
05-05-2017;1281.76;900
06-05-2017;1301;900
07-05-2017;1315.76;900
08-05-2017;1420.11;900
09-05-2017;1496.49;950
10-05-2017;1523.58;950
11-05-2017;1575.96;950
12-05-2017;1469.96;950
13-05-2017;1538.73;950
14-05-2017;1542.14;950
15-05-2017;1482.06;950
16-05-2017;1528.67;1000
17-05-2017;1620.89;1000
18-05-2017;1664.57;1000
19-05-2017;1751.88;1000
20-05-2017;1837.39;1000
