date;crypto investment;savings
01-01-2020;0;0
02-01-2020;0;0
03-01-2020;0;0
04-01-2020;0;0
05-01-2020;0;0
06-01-2020;0;0
07-01-2020;50;50
08-01-2020;49.49;50
09-01-2020;48.26;50
10-01-2020;50.02;50
11-01-2020;49.23;50
12-01-2020;50.18;50
13-01-2020;49.88;50
14-01-2020;104.07;100
15-01-2020;103.82;100
16-01-2020;102.84;100
17-01-2020;105.26;100
18-01-2020;105.42;100
19-01-2020;102.63;100
20-01-2020;102.06;100
21-01-2020;153.1;150
22-01-2020;151.96;150
23-01-2020;147.16;150
24-01-2020;147.84;150
25-01-2020;146.48;150
26-01-2020;150.49;150
27-01-2020;155.97;150
28-01-2020;213.83;200
29-01-2020;212.87;200
30-01-2020;217.26;200
31-01-2020;213.64;200
01-02-2020;214.61;200
02-02-2020;213.5;200
03-02-2020;212.34;200
04-02-2020;259.77;250
05-02-2020;272.01;250
06-02-2020;275.3;250
07-02-2020;277.17;250
08-02-2020;279.13;250
09-02-2020;286.24;250
10-02-2020;278.89;250
11-02-2020;338.84;300
12-02-2020;342.75;300
13-02-2020;339.04;300
14-02-2020;342.28;300
15-02-2020;328.25;300
16-02-2020;329.75;300
17-02-2020;321.64;300
18-02-2020;386.64;350
19-02-2020;367.25;350
20-02-2020;366.3;350
21-02-2020;369.27;350
22-02-2020;368.38;350
23-02-2020;378.35;350
24-02-2020;367.89;350
25-02-2020;406.13;400
26-02-2020;383.47;400
27-02-2020;381.9;400
28-02-2020;377.03;400
29-02-2020;373.86;400
01-03-2020;372.25;400
02-03-2020;385.61;400
03-03-2020;432.05;450
04-03-2020;430.45;450
05-03-2020;446.35;450
06-03-2020;448.5;450
07-03-2020;438.05;450
08-03-2020;398.63;450
09-03-2020;389.56;450
10-03-2020;438.88;500
11-03-2020;438.97;500
12-03-2020;275.81;500
13-03-2020;308.71;500
14-03-2020;288.55;500
15-03-2020;299.2;500
16-03-2020;278.23;500
17-03-2020;339.95;550
18-03-2020;340.78;550
19-03-2020;402.76;550
20-03-2020;403.25;550
21-03-2020;402.36;550
22-03-2020;379.28;550
23-03-2020;417.41;550
24-03-2020;488.13;600
25-03-2020;484.23;600
26-03-2020;486.79;600
27-03-2020;468.92;600
28-03-2020;452.42;600
29-03-2020;429.22;600
30-03-2020;466.02;600
31-03-2020;516.66;650
01-04-2020;530.15;650
02-04-2020;545.15;650
03-04-2020;540.31;650
04-04-2020;551.08;650
05-04-2020;544.95;650
06-04-2020;583.51;650
07-04-2020;625.86;700
08-04-2020;639.61;700
09-04-2020;636.82;700
10-04-2020;598.75;700
11-04-2020;598.19;700
12-04-2020;607.96;700
