date;crypto investment;savings
01-01-2018;0;0
02-01-2018;0.00333732;0.00333732
03-01-2018;0.00333732;0.00328926
04-01-2018;0.00333732;0.00320529
05-01-2018;0.00333732;0.0028687
06-01-2018;0.00333732;0.00285274
07-01-2018;0.00333732;0.00303442
08-01-2018;0.00333732;0.00329596
09-01-2018;0.00676305;0.00685147
10-01-2018;0.00676305;0.00667855
11-01-2018;0.00676305;0.00745946
12-01-2018;0.00676305;0.00715277
13-01-2018;0.00676305;0.00696369
14-01-2018;0.00676305;0.00726111
15-01-2018;0.00676305;0.00723599
16-01-2018;0.01111447;0.01305426
17-01-2018;0.01111447;0.0134065
18-01-2018;0.01111447;0.01307201
19-01-2018;0.01111447;0.01292279
20-01-2018;0.01111447;0.01162863
21-01-2018;0.01111447;0.01293092
22-01-2018;0.01111447;0.01372194
23-01-2018;0.01571497;0.01840197
24-01-2018;0.01571497;0.01760656
25-01-2018;0.01571497;0.01776294
26-01-2018;0.01571497;0.01790286
27-01-2018;0.01571497;0.01748145
28-01-2018;0.01571497;0.01696885
29-01-2018;0.01571497;0.01770475
30-01-2018;0.02066238;0.02473705
31-01-2018;0.02066238;0.02445921
01-02-2018;0.02066238;0.02726121
02-02-2018;0.02066238;0.02831017
03-02-2018;0.02066238;0.02724822
04-02-2018;0.02066238;0.03020414
05-02-2018;0.02066238;0.03594397
06-02-2018;0.02711066;0.03868971
07-02-2018;0.02711066;0.03936336
08-02-2018;0.02711066;0.03629505
09-02-2018;0.02711066;0.03433681
10-02-2018;0.02711066;0.03479511
11-02-2018;0.02711066;0.0369005
12-02-2018;0.02711066;0.03360753
13-02-2018;0.03292576;0.04070568
14-02-2018;0.03292576;0.03686294
15-02-2018;0.03292576;0.03442713
16-02-2018;0.03292576;0.03420006
17-02-2018;0.03292576;0.0314955
18-02-2018;0.03292576;0.0331697
19-02-2018;0.03292576;0.03117957
20-02-2018;0.0373103;0.03507633
21-02-2018;0.0373103;0.03741675
22-02-2018;0.0373103;0.03998001
23-02-2018;0.0373103;0.03883081
24-02-2018;0.0373103;0.04076196
25-02-2018;0.0373103;0.0413876
26-02-2018;0.0373103;0.03858508
27-02-2018;0.04197204;0.0419557
28-02-2018;0.04197204;0.04327797
01-03-2018;0.04197204;0.04109214
02-03-2018;0.04197204;0.04059027
03-03-2018;0.04197204;0.03916551
04-03-2018;0.04197204;0.03908761
05-03-2018;0.04197204;0.0388826
06-03-2018;0.0466103;0.04638262
07-03-2018;0.0466103;0.05017274
08-03-2018;0.0466103;0.05321974
09-03-2018;0.0466103;0.05354724
10-03-2018;0.0466103;0.05639522
11-03-2018;0.0466103;0.05219953
12-03-2018;0.0466103;0.0543176
13-03-2018;0.05204813;0.0598161
14-03-2018;0.05204813;0.06650697
15-03-2018;0.05204813;0.06625819
16-03-2018;0.05204813;0.06596029
17-03-2018;0.05204813;0.06947181
18-03-2018;0.05204813;0.06688004
19-03-2018;0.05204813;0.06372637
20-03-2018;0.05765762;0.06731385
21-03-2018;0.05765762;0.06719467
22-03-2018;0.05765762;0.06874057
23-03-2018;0.05765762;0.06757046
24-03-2018;0.05765762;0.06921916
25-03-2018;0.05765762;0.0706233
26-03-2018;0.05765762;0.07308695
27-03-2018;0.06404084;0.08298183
28-03-2018;0.06404084;0.08171496
29-03-2018;0.06404084;0.09070991
30-03-2018;0.06404084;0.0943325
31-03-2018;0.06404084;0.09320961
01-04-2018;0.06404084;0.09497051
02-04-2018;0.06404084;0.09175866
03-04-2018;0.07074675;0.09388274
04-04-2018;0.07074675;0.10213253
05-04-2018;0.07074675;0.10276783
06-04-2018;0.07074675;0.10548015
07-04-2018;0.07074675;0.10128649
08-04-2018;0.07074675;0.09966512
09-04-2018;0.07074675;0.10338619
10-04-2018;0.07806229;0.10973319
11-04-2018;0.07806229;0.10762996
12-04-2018;0.07806229;0.09506607
13-04-2018;0.07806229;0.09498528
14-04-2018;0.07806229;0.09391153
15-04-2018;0.07806229;0.09004563
