date;dva1 crypto;dva2 crypto + cash;dva2 crypto;dva1 expenses;dva2 expenses;savings;no withdraw (dva1);full adjustment (dva2)
01-01-2015;0;0;0;0;0;0;0;0
02-01-2015;0;0;0;0;0;0;0;0
03-01-2015;0;0;0;0;0;0;0;0
04-01-2015;0;0;0;0;0;0;0;0
05-01-2015;0;0;0;0;0;0;0;0
06-01-2015;50;50;50;50;50;50;0,17;0,17
07-01-2015;51,42;51,42;51,42;50;50;50;0,17;0,17
08-01-2015;49,5;49,5;49,5;50;50;50;0,17;0,17
09-01-2015;50,74;50,74;50,74;50;50;50;0,17;0,17
10-01-2015;48,01;48,01;48,01;50;50;50;0,17;0,17
11-01-2015;46,41;46,41;46,41;50;50;50;0,17;0,17
12-01-2015;46,79;46,79;46,79;50;50;50;0,17;0,17
13-01-2015;100;100;100;110,54;110,54;100;0,44;0,44
14-01-2015;78,86;78,86;78,86;110,54;110,54;100;0,44;0,44
15-01-2015;92,91;92,91;92,91;110,54;110,54;100;0,44;0,44
16-01-2015;92,13;92,13;92,13;110,54;110,54;100;0,44;0,44
17-01-2015;88,22;88,22;88,22;110,54;110,54;100;0,44;0,44
18-01-2015;93,13;93,13;93,13;110,54;110,54;100;0,44;0,44
19-01-2015;95,13;95,13;95,13;110,54;110,54;100;0,44;0,44
20-01-2015;150;150;150;166,98;166,98;150;0,71;0,71
21-01-2015;161,06;161,06;161,06;166,98;166,98;150;0,71;0,71
22-01-2015;165,68;165,68;165,68;166,98;166,98;150;0,71;0,71
23-01-2015;165,31;165,31;165,31;166,98;166,98;150;0,71;0,71
24-01-2015;175,93;175,93;175,93;166,98;166,98;150;0,71;0,71
25-01-2015;180,1;180,1;180,1;166,98;166,98;150;0,71;0,71
26-01-2015;194,12;194,12;194,12;166,98;166,98;150;0,71;0,71
27-01-2015;200;200;200;179,95;179,95;200;0,76;0,76
28-01-2015;177,56;177,56;177,56;179,95;179,95;200;0,76;0,76
29-01-2015;177,26;177,26;177,26;179,95;179,95;200;0,76;0,76
30-01-2015;171,88;171,88;171,88;179,95;179,95;200;0,76;0,76
31-01-2015;165,07;165,07;165,07;179,95;179,95;200;0,76;0,76
01-02-2015;172,29;172,29;172,29;179,95;179,95;200;0,76;0,76
02-02-2015;180,84;180,84;180,84;179,95;179,95;200;0,76;0,76
03-02-2015;250;250;250;257,44;257,44;250;1,1;1,1
04-02-2015;249,54;249,54;249,54;257,44;257,44;250;1,1;1,1
05-02-2015;238,83;238,83;238,83;257,44;257,44;250;1,1;1,1
06-02-2015;244,5;244,5;244,5;257,44;257,44;250;1,1;1,1
07-02-2015;250,53;250,53;250,53;257,44;257,44;250;1,1;1,1
08-02-2015;245,76;245,76;245,76;257,44;257,44;250;1,1;1,1
09-02-2015;242,13;242,13;242,13;257,44;257,44;250;1,1;1,1
10-02-2015;300;300;300;315,61;315,61;300;1,36;1,36
11-02-2015;299,11;299,11;299,11;315,61;315,61;300;1,36;1,36
12-02-2015;302,63;302,63;302,63;315,61;315,61;300;1,36;1,36
13-02-2015;321,27;321,27;321,27;315,61;315,61;300;1,36;1,36
14-02-2015;351,15;351,15;351,15;315,61;315,61;300;1,36;1,36
15-02-2015;320,45;320,45;320,45;315,61;315,61;300;1,36;1,36
16-02-2015;319,11;319,11;319,11;315,61;315,61;300;1,36;1,36
17-02-2015;350;350;350;333,17;333,17;350;1,44;1,44
18-02-2015;339,53;339,53;339,53;333,17;333,17;350;1,44;1,44
19-02-2015;345,22;345,22;345,22;333,17;333,17;350;1,44;1,44
20-02-2015;350,24;350,24;350,24;333,17;333,17;350;1,44;1,44
21-02-2015;351,33;351,33;351,33;333,17;333,17;350;1,44;1,44
22-02-2015;339,03;339,03;339,03;333,17;333,17;350;1,44;1,44
23-02-2015;343,22;343,22;343,22;333,17;333,17;350;1,44;1,44
24-02-2015;400;400;400;390,18;390,18;400;1,68;1,68
25-02-2015;397,88;397,88;397,88;390,18;390,18;400;1,68;1,68
26-02-2015;396,13;396,13;396,13;390,18;390,18;400;1,68;1,68
27-02-2015;425,29;425,29;425,29;390,18;390,18;400;1,68;1,68
28-02-2015;426,02;426,02;426,02;390,18;390,18;400;1,68;1,68
01-03-2015;435,97;435,97;435,97;390,18;390,18;400;1,68;1,68
02-03-2015;461,88;461,88;461,88;390,18;390,18;400;1,68;1,68
03-03-2015;471,99;471,99;450;390,18;390,18;450;1,68;1,6
04-03-2015;457,57;458,24;436,25;390,18;390,18;450;1,68;1,6
05-03-2015;462,74;463,17;441,18;390,18;390,18;450;1,68;1,6
06-03-2015;456,95;457,65;435,66;390,18;390,18;450;1,68;1,6
07-03-2015;462,87;463,3;441,31;390,18;390,18;450;1,68;1,6
08-03-2015;459,68;460,25;438,26;390,18;390,18;450;1,68;1,6
09-03-2015;485,24;484,62;462,63;390,18;390,18;450;1,68;1,6
10-03-2015;500;521,99;500;401,33;424,11;500;1,71;1,71
11-03-2015;507,92;529,91;507,92;401,33;424,11;500;1,71;1,71
12-03-2015;504,45;526,44;504,45;401,33;424,11;500;1,71;1,71
13-03-2015;488,99;510,98;488,99;401,33;424,11;500;1,71;1,71
14-03-2015;483,08;505,07;483,08;401,33;424,11;500;1,71;1,71
15-03-2015;490,8;512,79;490,8;401,33;424,11;500;1,71;1,71
16-03-2015;498;519,99;498;401,33;424,11;500;1,71;1,71
17-03-2015;550;571,99;550;462,05;484,83;550;1,93;1,93
18-03-2015;493,74;515,73;493,74;462,05;484,83;550;1,93;1,93
19-03-2015;502,65;524,65;502,65;462,05;484,83;550;1,93;1,93
20-03-2015;504,24;526,23;504,24;462,05;484,83;550;1,93;1,93
21-03-2015;500,92;522,91;500,92;462,05;484,83;550;1,93;1,93
22-03-2015;516,2;538,19;516,2;462,05;484,83;550;1,93;1,93
23-03-2015;513,85;535,84;513,85;462,05;484,83;550;1,93;1,93
24-03-2015;600;621,99;600;588,94;611,71;600;2,44;2,44
25-03-2015;601,47;623,46;601,47;588,94;611,71;600;2,44;2,44
26-03-2015;607,18;629,17;607,18;588,94;611,71;600;2,44;2,44
27-03-2015;603,5;625,49;603,5;588,94;611,71;600;2,44;2,44
28-03-2015;617,6;639,59;617,6;588,94;611,71;600;2,44;2,44
29-03-2015;592,96;614,95;592,96;588,94;611,71;600;2,44;2,44
30-03-2015;604,72;626,71;604,72;588,94;611,71;600;2,44;2,44
31-03-2015;650;671,99;650;642,29;665,06;650;2,66;2,66
01-04-2015;658,11;680,1;658,11;642,29;665,06;650;2,66;2,66
02-04-2015;673,37;695,36;673,37;642,29;665,06;650;2,66;2,66
