date;dva (no withdraw);dva (crypto ptf + cash);savings;dva (crypto ptf);no withdraw;full adjustment
01-01-2019;50;50;50;50;0,01300891;0,01300891
02-01-2019;51,3;51,3;50;51,3;0,01300891;0,01300891
03-01-2019;49,91;49,91;50;49,91;0,01300891;0,01300891
04-01-2019;50,18;50,18;50;50,18;0,01300891;0,01300891
05-01-2019;50,02;50,02;50;50,02;0,01300891;0,01300891
06-01-2019;53,03;53,03;50;53,03;0,01300891;0,01300891
07-01-2019;52,36;52,36;50;52,36;0,01300891;0,01300891
08-01-2019;100;100;100;100;0,02480868;0,02480868
09-01-2019;100,11;100,11;100;100,11;0,02480868;0,02480868
10-01-2019;91,27;91,27;100;91,27;0,02480868;0,02480868
11-01-2019;91,48;91,48;100;91,48;0,02480868;0,02480868
12-01-2019;90,83;90,83;100;90,83;0,02480868;0,02480868
13-01-2019;88,14;88,14;100;88,14;0,02480868;0,02480868
14-01-2019;91,94;91,94;100;91,94;0,02480868;0,02480868
15-01-2019;150;150;150;150;0,04131463;0,04131463
16-01-2019;151,01;151,01;150;151,01;0,04131463;0,04131463
17-01-2019;151,98;151,98;150;151,98;0,04131463;0,04131463
18-01-2019;151,12;151,12;150;151,12;0,04131463;0,04131463
19-01-2019;154,04;154,04;150;154,04;0,04131463;0,04131463
20-01-2019;148,77;148,77;150;148,77;0,04131463;0,04131463
21-01-2019;147,74;147,74;150;147,74;0,04131463;0,04131463
22-01-2019;200;200;200;200;0,05548501;0,05548501
23-01-2019;198,92;198,92;200;198,92;0,05548501;0,05548501
24-01-2019;199,79;199,79;200;199,79;0,05548501;0,05548501
25-01-2019;199,73;199,73;200;199,73;0,05548501;0,05548501
26-01-2019;199,88;199,88;200;199,88;0,05548501;0,05548501
27-01-2019;198,86;198,86;200;198,86;0,05548501;0,05548501
28-01-2019;192,56;192,56;200;192,56;0,05548501;0,05548501
29-01-2019;250;250;250;250;0,07250334;0,07250334
30-01-2019;252,76;252,76;250;252,76;0,07250334;0,07250334
31-01-2019;250,7;250,7;250;250,7;0,07250334;0,07250334
01-02-2019;252,89;252,89;250;252,89;0,07250334;0,07250334
02-02-2019;255,29;255,29;250;255,29;0,07250334;0,07250334
03-02-2019;251,15;251,15;250;251,15;0,07250334;0,07250334
04-02-2019;250,8;250,8;250;250,8;0,07250334;0,07250334
05-02-2019;300;300;300;300;0,08654618;0,08654618
06-02-2019;295,45;295,45;300;295,45;0,08654618;0,08654618
07-02-2019;294,21;294,21;300;294,21;0,08654618;0,08654618
08-02-2019;317,35;317,35;300;317,35;0,08654618;0,08654618
09-02-2019;317,73;317,73;300;317,73;0,08654618;0,08654618
10-02-2019;319,37;319,37;300;319,37;0,08654618;0,08654618
11-02-2019;315,76;315,76;300;315,76;0,08654618;0,08654618
12-02-2019;350;350;350;350;0,0957978;0,0957978
13-02-2019;347,94;347,94;350;347,94;0,0957978;0,0957978
14-02-2019;346,49;346,49;350;346,49;0,0957978;0,0957978
15-02-2019;346,87;346,87;350;346,87;0,0957978;0,0957978
16-02-2019;347,73;347,73;350;347,73;0,0957978;0,0957978
17-02-2019;351,95;351,95;350;351,95;0,0957978;0,0957978
18-02-2019;375,12;375,12;350;375,12;0,0957978;0,0957978
19-02-2019;400;400;400;400;0,10134037;0,10134037
20-02-2019;405,34;405,34;400;405,34;0,10134037;0,10134037
21-02-2019;400,71;400,71;400;400,71;0,10134037;0,10134037
22-02-2019;405,92;405,92;400;405,92;0,10134037;0,10134037
23-02-2019;419,81;419,81;400;419,81;0,10134037;0,10134037
24-02-2019;386,15;386,15;400;386,15;0,10134037;0,10134037
25-02-2019;393,47;393,47;400;393,47;0,10134037;0,10134037
26-02-2019;450;450;450;450;0,11675096;0,11675096
27-02-2019;449,61;449,61;450;449,61;0,11675096;0,11675096
28-02-2019;450,05;450,05;450;450,05;0,11675096;0,11675096
01-03-2019;450,61;450,61;450;450,61;0,11675096;0,11675096
02-03-2019;451,17;451,17;450;451,17;0,11675096;0,11675096
03-03-2019;449,16;449,16;450;449,16;0,11675096;0,11675096
04-03-2019;439,17;439,17;450;439,17;0,11675096;0,11675096
05-03-2019;500;500;500;500;0,1283244;0,1283244
06-03-2019;500,97;500,97;500;500,97;0,1283244;0,1283244
07-03-2019;501,94;501,94;500;501,94;0,1283244;0,1283244
08-03-2019;500,61;500,61;500;500,61;0,1283244;0,1283244
09-03-2019;508,59;508,59;500;508,59;0,1283244;0,1283244
10-03-2019;507,09;507,09;500;507,09;0,1283244;0,1283244
11-03-2019;501,14;501,14;500;501,14;0,1283244;0,1283244
12-03-2019;550;550;550;550;0,14069532;0,14069532
13-03-2019;549,66;549,66;550;549,66;0,14069532;0,14069532
14-03-2019;552,14;552,14;550;552,14;0,14069532;0,14069532
15-03-2019;557,28;557,28;550;557,28;0,14069532;0,14069532
16-03-2019;569,64;569,64;550;569,64;0,14069532;0,14069532
17-03-2019;566,33;566,33;550;566,33;0,14069532;0,14069532
18-03-2019;567,35;567,35;550;567,35;0,14069532;0,14069532
19-03-2019;600;600;600;600;0,14737705;0,14737705
