date;lumpsum1 crypto;lumpsum2 crypto;savings1;savings2
01-01-2015;0;0;0;0
02-01-2015;0;0;0;0
03-01-2015;0;0;0;0
04-01-2015;0;0;0;0
05-01-2015;0;0;0;0
06-01-2015;2600;0;2600;0
07-01-2015;2674.02;0;2600;0
08-01-2015;2574.2;0;2600;0
09-01-2015;2638.33;0;2600;0
10-01-2015;2496.5;0;2600;0
11-01-2015;2413.5;0;2600;0
12-01-2015;2432.9;0;2600;0
13-01-2015;2051.93;0;2600;0
14-01-2015;1618.05;0;2600;0
15-01-2015;1906.41;0;2600;0
16-01-2015;1890.54;0;2600;0
17-01-2015;1810.26;0;2600;0
18-01-2015;1910.91;0;2600;0
19-01-2015;1951.99;0;2600;0
20-01-2015;1919.78;0;2600;0
21-01-2015;2061.34;0;2600;0
22-01-2015;2120.47;0;2600;0
23-01-2015;2115.68;0;2600;0
24-01-2015;2251.67;0;2600;0
25-01-2015;2305;0;2600;0
26-01-2015;2484.48;0;2600;0
27-01-2015;2393.65;0;2600;0
28-01-2015;2125.1;0;2600;0
29-01-2015;2121.44;0;2600;0
30-01-2015;2057.05;0;2600;0
31-01-2015;1975.64;0;2600;0
01-02-2015;2062.02;0;2600;0
02-02-2015;2164.29;0;2600;0
03-02-2015;2064.71;0;2600;0
04-02-2015;2060.94;0;2600;0
05-02-2015;1972.43;0;2600;0
06-02-2015;2019.27;0;2600;0
07-02-2015;2069.12;0;2600;0
08-02-2015;2029.68;0;2600;0
09-02-2015;1999.68;0;2600;0
10-02-2015;1997.22;0;2600;0
11-02-2015;1991.28;0;2600;0
12-02-2015;2014.71;0;2600;0
13-02-2015;2138.83;0;2600;0
14-02-2015;2337.74;0;2600;0
15-02-2015;2133.36;0;2600;0
16-02-2015;2124.44;0;2600;0
17-02-2015;2213.17;0;2600;0
18-02-2015;2147;0;2600;0
19-02-2015;2182.95;0;2600;0
20-02-2015;2214.71;0;2600;0
21-02-2015;2221.57;0;2600;0
22-02-2015;2143.83;0;2600;0
23-02-2015;2170.31;0;2600;0
24-02-2015;2168.88;0;2600;0
25-02-2015;2157.39;0;2600;0
26-02-2015;2147.91;0;2600;0
27-02-2015;2306;0;2600;0
28-02-2015;2309.96;0;2600;0
01-03-2015;2363.91;0;2600;0
02-03-2015;2504.44;0;2600;0
03-03-2015;2559.24;0;2600;0
04-03-2015;2481.02;0;2600;0
05-03-2015;2509.05;0;2600;0
06-03-2015;2477.66;0;2600;0
07-03-2015;2509.8;0;2600;0
08-03-2015;2492.48;0;2600;0
09-03-2015;2631.05;0;2600;0
10-03-2015;2650.61;0;2600;0
11-03-2015;2692.58;0;2600;0
12-03-2015;2674.18;0;2600;0
13-03-2015;2592.26;0;2600;0
14-03-2015;2560.9;0;2600;0
15-03-2015;2601.85;0;2600;0
16-03-2015;2640.01;0;2600;0
17-03-2015;2593.79;0;2600;0
18-03-2015;2328.45;0;2600;0
19-03-2015;2370.51;0;2600;0
20-03-2015;2377.96;0;2600;0
21-03-2015;2362.3;0;2600;0
22-03-2015;2434.39;0;2600;0
23-03-2015;2423.31;0;2600;0
24-03-2015;2231.21;0;2600;0
25-03-2015;2236.68;0;2600;0
26-03-2015;2257.89;0;2600;0
27-03-2015;2244.24;0;2600;0
28-03-2015;2296.65;0;2600;0
29-03-2015;2205.02;0;2600;0
30-03-2015;2248.75;0;2600;0
31-03-2015;2218.75;0;2600;0
01-04-2015;2246.44;0;2600;0
02-04-2015;2298.53;0;2600;0
03-04-2015;2310.49;0;2600;0
04-04-2015;2304.81;0;2600;0
05-04-2015;2367.51;0;2600;0
06-04-2015;2321.12;0;2600;0
07-04-2015;2300.12;0;2600;0
