date;crypto investment;savings
01-01-2018;0;0
02-01-2018;2600;2600
03-01-2018;2637,99;2600
04-01-2018;2707,09;2600
05-01-2018;3024,72;2600
06-01-2018;3041,64;2600
07-01-2018;2859,53;2600
08-01-2018;2632,63;2600
09-01-2018;2532,89;2600
10-01-2018;2598,47;2600
11-01-2018;2326,45;2600
12-01-2018;2426,2;2600
13-01-2018;2492,08;2600
14-01-2018;2390;2600
15-01-2018;2398,29;2600
16-01-2018;1994,07;2600
17-01-2018;1941,67;2600
18-01-2018;1991,36;2600
19-01-2018;2014,35;2600
20-01-2018;2238,53;2600
21-01-2018;2013,09;2600
22-01-2018;1897,04;2600
23-01-2018;1886,11;2600
24-01-2018;1971,32;2600
25-01-2018;1953,96;2600
26-01-2018;1938,69;2600
27-01-2018;1985,42;2600
28-01-2018;2045,4;2600
29-01-2018;1960,38;2600
30-01-2018;1753,85;2600
31-01-2018;1773,77;2600
01-02-2018;1591,46;2600
02-02-2018;1532,49;2600
03-02-2018;1592,22;2600
04-02-2018;1436,4;2600
05-02-2018;1207,02;2600
06-02-2018;1345,63;2600
07-02-2018;1322,6;2600
08-02-2018;1434,41;2600
09-02-2018;1516,22;2600
10-02-2018;1496,25;2600
11-02-2018;1410,88;2600
12-02-2018;1549,12;2600
13-02-2018;1492,15;2600
14-02-2018;1647,7;2600
15-02-2018;1764,28;2600
16-02-2018;1776;2600
17-02-2018;1928,5;2600
18-02-2018;1831,16;2600
19-02-2018;1948,04;2600
20-02-2018;1979;2600
21-02-2018;1855,22;2600
22-02-2018;1736,27;2600
23-02-2018;1787,66;2600
24-02-2018;1702,96;2600
25-02-2018;1677,22;2600
26-02-2018;1799,04;2600
27-02-2018;1861,33;2600
28-02-2018;1804,46;2600
01-03-2018;1900,44;2600
02-03-2018;1923,94;2600
03-03-2018;1993,93;2600
04-03-2018;1997,9;2600
05-03-2018;2008,44;2600
06-03-2018;1870,75;2600
07-03-2018;1729,43;2600
08-03-2018;1630,41;2600
09-03-2018;1620,44;2600
10-03-2018;1538,61;2600
11-03-2018;1662,28;2600
12-03-2018;1597,46;2600
13-03-2018;1595,68;2600
14-03-2018;1435,15;2600
15-03-2018;1440,53;2600
16-03-2018;1447,04;2600
17-03-2018;1373,9;2600
18-03-2018;1427,14;2600
19-03-2018;1497,77;2600
20-03-2018;1546,85;2600
21-03-2018;1549,59;2600
22-03-2018;1514,74;2600
23-03-2018;1540,97;2600
24-03-2018;1504,27;2600
25-03-2018;1474,36;2600
26-03-2018;1424,66;2600
27-03-2018;1359,35;2600
28-03-2018;1380,42;2600
29-03-2018;1243,54;2600
30-03-2018;1195,78;2600
31-03-2018;1210,19;2600
01-04-2018;1187,75;2600
02-04-2018;1229,33;2600
03-04-2018;1293,94;2600
04-04-2018;1189,42;2600
05-04-2018;1182,07;2600
06-04-2018;1151,67;2600
07-04-2018;1199,35;2600
08-04-2018;1218,86;2600
09-04-2018;1175;2600
10-04-2018;1186,11;2600
11-04-2018;1209,29;2600
12-04-2018;1369,1;2600
13-04-2018;1370,27;2600
14-04-2018;1385,94;2600
15-04-2018;1445,44;2600
