date;dca;dva (no withdraw);dva (crypto ptf + cash);lump-sum;lump-sum mid-year
01-01-2018;0;0;0;0;0
02-01-2018;50;50;50;2600;0
03-01-2018;51;51;51;2638;0
04-01-2018;52;52;52;2707;0
05-01-2018;58;58;58;3025;0
06-01-2018;58;58;58;3042;0
07-01-2018;55;55;55;2860;0
08-01-2018;51;51;51;2633;0
09-01-2018;99;100;100;2533;0
10-01-2018;101;103;103;2598;0
11-01-2018;91;92;92;2326;0
12-01-2018;95;96;96;2426;0
13-01-2018;97;98;98;2492;0
14-01-2018;93;94;94;2390;0
15-01-2018;93;95;95;2398;0
16-01-2018;128;150;150;1994;0
17-01-2018;124;146;146;1942;0
18-01-2018;128;150;150;1991;0
19-01-2018;129;152;152;2014;0
20-01-2018;143;168;168;2239;0
21-01-2018;129;151;151;2013;0
22-01-2018;121;143;143;1897;0
23-01-2018;171;200;200;1886;0
24-01-2018;179;209;209;1971;0
25-01-2018;177;207;207;1954;0
26-01-2018;176;206;206;1939;0
27-01-2018;180;211;211;1985;0
28-01-2018;185;217;217;2045;0
29-01-2018;178;208;208;1960;0
30-01-2018;209;250;250;1754;0
31-01-2018;211;253;253;1774;0
01-02-2018;189;227;227;1591;0
02-02-2018;182;218;218;1532;0
03-02-2018;190;227;227;1592;0
04-02-2018;171;205;205;1436;0
05-02-2018;144;172;172;1207;0
06-02-2018;210;300;300;1346;0
07-02-2018;207;295;295;1323;0
08-02-2018;224;320;320;1434;0
09-02-2018;237;338;338;1516;0
10-02-2018;234;334;334;1496;0
11-02-2018;220;315;315;1411;0
12-02-2018;242;345;345;1549;0
13-02-2018;283;350;350;1492;0
14-02-2018;313;386;386;1648;0
15-02-2018;335;414;414;1764;0
16-02-2018;337;417;417;1776;0
17-02-2018;366;452;452;1929;0
18-02-2018;347;430;430;1831;0
19-02-2018;370;457;457;1948;0
20-02-2018;425;464;464;1979;0
21-02-2018;399;435;439;1855;0
22-02-2018;373;407;415;1736;0
23-02-2018;384;419;426;1788;0
24-02-2018;366;399;408;1703;0
25-02-2018;361;393;403;1677;0
26-02-2018;387;422;428;1799;0
27-02-2018;450;450;514;1861;0
28-02-2018;436;436;500;1804;0
01-03-2018;460;459;524;1900;0
02-03-2018;465;465;529;1924;0
03-03-2018;482;482;546;1994;0
04-03-2018;483;483;547;1998;0
05-03-2018;486;486;550;2008;0
06-03-2018;502;500;564;1871;0
07-03-2018;464;462;526;1729;0
08-03-2018;438;436;500;1630;0
09-03-2018;435;433;497;1620;0
10-03-2018;413;411;475;1539;0
11-03-2018;446;444;508;1662;0
12-03-2018;429;427;491;1597;0
13-03-2018;479;550;614;1596;0
14-03-2018;430;495;559;1435;0
15-03-2018;432;497;561;1441;0
16-03-2018;434;499;563;1447;0
17-03-2018;412;474;538;1374;0
18-03-2018;428;492;556;1427;0
19-03-2018;449;516;580;1498;0
20-03-2018;514;600;664;1547;0
21-03-2018;515;601;665;1550;0
22-03-2018;503;588;652;1515;0
23-03-2018;512;598;662;1541;0
24-03-2018;500;583;648;1504;0
25-03-2018;490;572;636;1474;0
26-03-2018;473;553;617;1425;0
27-03-2018;502;650;714;1359;0
28-03-2018;509;660;724;1380;0
29-03-2018;459;595;659;1244;0
30-03-2018;441;572;636;1196;0
31-03-2018;447;579;643;1210;0
01-04-2018;438;568;632;1188;0
02-04-2018;454;588;652;1229;0
03-04-2018;527;700;764;1294;0
04-04-2018;485;643;708;1189;0
05-04-2018;482;639;704;1182;0
06-04-2018;469;623;687;1152;0
07-04-2018;489;649;713;1199;0
08-04-2018;497;659;724;1219;0
09-04-2018;479;636;700;1175;0
