S,call delta,gamma,vega,call theta,call rho
50,0.000192761,0.000082837,0.000258865,-0.000020260,0.000046158
51,0.000293251,0.000120115,0.000390522,-0.000030668,0.000071547
52,0.000437460,0.000170821,0.000577376,-0.000045503,0.000108702
53,0.000640544,0.000238498,0.000837425,-0.000066237,0.000162040
54,0.000921459,0.000327201,0.001192648,-0.000094687,0.000237221
55,0.001303464,0.000441471,0.001669313,-0.000133041,0.000341365
56,0.001814572,0.000586263,0.002298152,-0.000183888,0.000483258
57,0.002487920,0.000766849,0.003114364,-0.000250220,0.000673554
58,0.003362019,0.000988684,0.004157416,-0.000335437,0.000924950
59,0.004480867,0.001257253,0.005470620,-0.000443321,0.001252325
60,0.005893881,0.001577881,0.007100463,-0.000577995,0.001672830
61,0.007655644,0.001955538,0.009095695,-0.000743865,0.002205921
62,0.009825443,0.002394627,0.011506184,-0.000945537,0.002873317
63,0.012466597,0.002898780,0.014381572,-0.001187718,0.003698888
64,0.015645590,0.003470655,0.017769755,-0.001475104,0.004708456
65,0.019431001,0.004111766,0.021715263,-0.001812252,0.005929518
66,0.023892288,0.004822328,0.026257576,-0.002203444,0.007390886
67,0.029098427,0.005601152,0.031429462,-0.002652552,0.009122251
68,0.035116473,0.006445571,0.037255398,-0.003162901,0.011153694
69,0.042010062,0.007351421,0.043750142,-0.003737140,0.013515125
70,0.049837927,0.008313065,0.050917521,-0.004377129,0.016235710
71,0.058652458,0.009323466,0.058749489,-0.005083842,0.019343253
72,0.068498351,0.010374305,0.067225499,-0.005857286,0.022863597
73,0.079411411,0.011456141,0.076312220,-0.006696455,0.026820032
74,0.091417515,0.012558599,0.085963611,-0.007599301,0.031232735
75,0.104531793,0.013670594,0.096121363,-0.008562738,0.036118267
76,0.118758031,0.014780565,0.106715682,-0.009582671,0.041489134
77,0.134088321,0.015876728,0.117666401,-0.010654051,0.047353427
78,0.150502961,0.016947320,0.128884370,-0.011770959,0.053714546
79,0.167970601,0.017980848,0.140273091,-0.012926706,0.060571026
80,0.186448629,0.018966316,0.151730527,-0.014113951,0.067916453
81,0.205883773,0.019893436,0.163151039,-0.015324837,0.075739485
82,0.226212908,0.020752812,0.174427387,-0.016551134,0.084023965
83,0.247364022,0.021536099,0.185452735,-0.017784386,0.092749126
84,0.269257338,0.022236122,0.196122600,-0.019016062,0.101889877
85,0.291806527,0.022846970,0.206336698,-0.020237701,0.111417164
86,0.314920007,0.023364050,0.216000642,-0.021441052,0.121298392
87,0.338502273,0.023784114,0.225027452,-0.022618203,0.131497897
88,0.362455246,0.024105253,0.233338848,-0.023761700,0.141977457
89,0.386679587,0.024326858,0.240866302,-0.024864641,0.152696820
90,0.411075983,0.024449566,0.247551851,-0.025920771,0.163614258
91,0.435546340,0.024475174,0.253348645,-0.026924543,0.174687106
92,0.459994908,0.024406546,0.258221254,-0.027871171,0.185872297
93,0.484329282,0.024247495,0.262145733,-0.028756660,0.197126878
94,0.508461298,0.024002667,0.265109461,-0.029577826,0.208408494
95,0.532307800,0.023677410,0.267110785,-0.030332291,0.219675831
96,0.555791278,0.023277646,0.268158476,-0.031018472,0.230889025
97,0.578840374,0.022809739,0.268271042,-0.031635552,0.242010018
98,0.601390268,0.022280375,0.267475907,-0.032183439,0.253002871
99,0.623382933,0.021696439,0.265808501,-0.032662720,0.263834015
100,0.644767280,0.021064902,0.263311280,-0.033074606,0.274472465
101,0.665499191,0.020392722,0.260032701,-0.033420868,0.284889970
102,0.685541462,0.019686750,0.256026181,-0.033703773,0.295061128
103,0.704863651,0.018953648,0.251349062,-0.033926015,0.304963444
104,0.723441854,0.018199822,0.246061595,-0.034090649,0.314577350
105,0.741258421,0.017431363,0.240225975,-0.034201022,0.323886187
106,0.758301616,0.016653999,0.233905422,-0.034260708,0.332876148
107,0.774565233,0.015873061,0.227163338,-0.034273445,0.341536199
108,0.790048186,0.015093452,0.220062529,-0.034243075,0.349857961
109,0.804754074,0.014319638,0.212664523,-0.034173492,0.357835582
110,0.818690736,0.013555634,0.205028957,-0.034068591,0.365465587
111,0.831869804,0.012805004,0.197213063,-0.033932221,0.372746709
112,0.844306247,0.012070870,0.189271236,-0.033768152,0.379679720
113,0.856017942,0.011355920,0.181254680,-0.033580033,0.386267251
114,0.867025244,0.010662428,0.173211143,-0.033371372,0.392513606
115,0.877350581,0.009992270,0.165184720,-0.033145506,0.398424582
116,0.887018069,0.009346952,0.157215729,-0.032905586,0.404007287
117,0.896053153,0.008727630,0.149340651,-0.032654563,0.409269966
118,0.904482275,0.008135141,0.141592123,-0.032395177,0.414221828
119,0.912332563,0.007570029,0.133998984,-0.032129952,0.418872888
120,0.919631556,0.007032576,0.126586364,-0.031861193,0.423233812
121,0.926406951,0.006522823,0.119375808,-0.031590988,0.427315775
122,0.932686382,0.006040604,0.112385434,-0.031321212,0.431130329
123,0.938497222,0.005585570,0.105630109,-0.031053530,0.434689279
124,0.943866415,0.005157214,0.099121651,-0.030789405,0.438004577
125,0.948820330,0.004754895,0.092869036,-0.030530110,0.441088221
126,0.953384634,0.004377859,0.086878620,-0.030276736,0.443952165
127,0.957584196,0.004025264,0.081154363,-0.030030202,0.446608241
128,0.961443005,0.003696194,0.075698054,-0.029791269,0.449068095
129,0.964984103,0.003389678,0.070509533,-0.029560550,0.451343122
130,0.968229542,0.003104706,0.065586908,-0.029338524,0.453444426
131,0.971200351,0.002840243,0.060926765,-0.029125547,0.455382768
132,0.973916515,0.002595242,0.056524371,-0.028921863,0.457168544
133,0.976396972,0.002368652,0.052373860,-0.028727621,0.458811752
134,0.978659609,0.002159430,0.048468412,-0.028542876,0.460321975
135,0.980721279,0.001966548,0.044800423,-0.028367611,0.461708368
136,0.982597816,0.001788999,0.041361657,-0.028201738,0.462979648
137,0.984304061,0.001625803,0.038143382,-0.028045113,0.464144092
138,0.985853891,0.001476014,0.035136503,-0.027897543,0.465209538
139,0.987260252,0.001338716,0.032331677,-0.027758794,0.466183386
140,0.988535196,0.001213037,0.029719411,-0.027628596,0.467072607
141,0.989689920,0.001098140,0.027290157,-0.027506655,0.467883752
142,0.990734805,0.000993231,0.025034390,-0.027392655,0.468622965
143,0.991679460,0.000897557,0.022942679,-0.027286265,0.469295992
144,0.992532760,0.000810407,0.021005743,-0.027187144,0.469908198
145,0.993302891,0.000731111,0.019214503,-0.027094943,0.470464585
146,0.993997389,0.000659040,0.017560124,-0.027009313,0.470969802
147,0.994623183,0.000593606,0.016034047,-0.026929903,0.471428169
148,0.995186630,0.000534259,0.014628017,-0.026856368,0.471843687
149,0.995693559,0.000480487,0.013334103,-0.026788366,0.472220059
150,0.996149303,0.000431812,0.012144714,-0.026725567,0.472560707
