S,call delta,gamma,vega,call theta,call rho
50,0.007190786,0.001596387,0.009977417,-0.000387197,0.003321868
51,0.008933131,0.001893975,0.012315572,-0.000479328,0.004202000
52,0.010990215,0.002225988,0.015047676,-0.000587409,0.005261675
53,0.013396752,0.002592921,0.018208788,-0.000712978,0.006525413
54,0.016187708,0.002994789,0.021832010,-0.000857520,0.008018909
55,0.019397816,0.003431100,0.025947693,-0.001022439,0.009768782
56,0.023061061,0.003900852,0.030582682,-0.001209027,0.011802274
57,0.027210169,0.004402535,0.035759590,-0.001418437,0.014146938
58,0.031876111,0.004934145,0.041496158,-0.001651653,0.016830298
59,0.037087616,0.005493213,0.047804682,-0.001909468,0.019879494
60,0.042870727,0.006076840,0.054691559,-0.002192463,0.023320932
61,0.049248392,0.006681745,0.062156930,-0.002500990,0.027179923
62,0.056240107,0.007304313,0.070194445,-0.002835157,0.031480347
63,0.063861612,0.007940656,0.078791156,-0.003194825,0.036244317
64,0.072124645,0.008586673,0.087927530,-0.003579599,0.041491882
65,0.081036766,0.009238114,0.097577580,-0.003988831,0.047240743
66,0.090601236,0.009890644,0.107709114,-0.004421627,0.053506015
67,0.100816965,0.010539905,0.118284089,-0.004876853,0.060300015
68,0.111678517,0.011181579,0.129259059,-0.005353147,0.067632098
69,0.123176185,0.011811443,0.140585705,-0.005848942,0.075508526
70,0.135296107,0.012425424,0.152211440,-0.006362479,0.083932383
71,0.148020443,0.013019643,0.164080054,-0.006891831,0.092903535
72,0.161327591,0.013590464,0.176132418,-0.007434927,0.102418622
73,0.175192448,0.014134524,0.188307195,-0.007989576,0.112471096
74,0.189586695,0.014648763,0.200541570,-0.008553496,0.123051297
75,0.204479120,0.015130452,0.212771979,-0.009124336,0.134146555
76,0.219835949,0.015577203,0.224934813,-0.009699704,0.145741333
77,0.235621200,0.015986987,0.236967110,-0.010277194,0.157817391
78,0.251797039,0.016358132,0.248807194,-0.010854410,0.170353976
79,0.268324145,0.016689331,0.260395284,-0.011428990,0.183328030
80,0.285162063,0.016979627,0.271674037,-0.011998623,0.196714417
81,0.302269559,0.017228414,0.282589052,-0.012561079,0.210486159
82,0.319604958,0.017435413,0.293089296,-0.013114218,0.224614681
83,0.337126467,0.017600666,0.303127475,-0.013656010,0.239070064
84,0.354792484,0.017724509,0.312660342,-0.014184550,0.253821291
85,0.372561883,0.017807554,0.321648941,-0.014698067,0.268836502
86,0.390394278,0.017850664,0.330058780,-0.015194934,0.284083236
87,0.408250262,0.017854932,0.337859956,-0.015673679,0.299528665
88,0.426091625,0.017821654,0.345027212,-0.016132984,0.315139830
89,0.443881543,0.017752301,0.351539946,-0.016571695,0.330883850
90,0.461584743,0.017648502,0.357382163,-0.016988816,0.346728128
91,0.479167648,0.017512010,0.362542394,-0.017383514,0.362640543
92,0.496598485,0.017344686,0.367013557,-0.017755117,0.378589620
93,0.513847389,0.017148470,0.370792798,-0.018103105,0.394544692
94,0.530886462,0.016925364,0.373881291,-0.018427113,0.410476039
95,0.547689833,0.016677408,0.376284015,-0.018726919,0.426355018
96,0.564233681,0.016406663,0.378009513,-0.019002438,0.442154168
97,0.580496251,0.016115193,0.379069627,-0.019253717,0.457847304
98,0.596457843,0.015805049,0.379479229,-0.019480927,0.473409598
99,0.612100799,0.015478255,0.379255937,-0.019684349,0.488817638
100,0.627409464,0.015136793,0.378419832,-0.019864371,0.504049475
101,0.642370141,0.014782597,0.376993171,-0.020021474,0.519084660
102,0.656971037,0.014417536,0.375000105,-0.020156226,0.533904265
103,0.671202193,0.014043412,0.372466396,-0.020269272,0.548490888
104,0.685055416,0.013661951,0.369419154,-0.020361322,0.562828656
105,0.698524198,0.013274796,0.365886566,-0.020433146,0.576903210
106,0.711603630,0.012883505,0.361897654,-0.020485559,0.590701686
107,0.724290319,0.012489546,0.357482035,-0.020519421,0.604212681
108,0.736582294,0.012094297,0.352669698,-0.020535623,0.617426224
109,0.748478912,0.011699042,0.347490795,-0.020535078,0.630333726
110,0.759980774,0.011304974,0.341975449,-0.020518720,0.642927936
111,0.771089623,0.010913191,0.336153580,-0.020487491,0.655202887
112,0.781808256,0.010524705,0.330054738,-0.020442338,0.667153840
113,0.792140438,0.010140433,0.323707962,-0.020384207,0.678777224
114,0.802090805,0.009761208,0.317141651,-0.020314037,0.690070575
115,0.811664787,0.009387779,0.310383447,-0.020232755,0.701032473
116,0.820868518,0.009020813,0.303460138,-0.020141272,0.711662477
117,0.829708763,0.008660898,0.296397573,-0.020040479,0.721961063
118,0.838192837,0.008308549,0.289220589,-0.019931247,0.731929555
119,0.846328532,0.007964210,0.281952955,-0.019814417,0.741570067
120,0.854124054,0.007628259,0.274617324,-0.019690805,0.750885435
121,0.861587951,0.007301009,0.267235199,-0.019561194,0.759879159
122,0.868729059,0.006982717,0.259826909,-0.019426337,0.768555340
123,0.875556439,0.006673583,0.252411594,-0.019286954,0.776918623
124,0.882079328,0.006373756,0.245007197,-0.019143728,0.784974141
125,0.888307089,0.006083340,0.237630471,-0.018997310,0.792727461
126,0.894249165,0.005802393,0.230296984,-0.018848315,0.800184533
127,0.899915039,0.005530935,0.223021136,-0.018697322,0.807351637
128,0.905314194,0.005268950,0.215816182,-0.018544874,0.814235341
129,0.910456080,0.005016387,0.208694259,-0.018391481,0.820842454
130,0.915350084,0.004773170,0.201666412,-0.018237617,0.827179986
131,0.920005499,0.004539191,0.194742635,-0.018083722,0.833255108
132,0.924431502,0.004314323,0.187931902,-0.017930204,0.839075115
133,0.928637132,0.004098416,0.181242213,-0.017777437,0.844647395
134,0.932631266,0.003891304,0.174680631,-0.017625767,0.849979392
135,0.936422610,0.003692803,0.168253326,-0.017475505,0.855078583
136,0.940019677,0.003502717,0.161965623,-0.017326938,0.859952451
137,0.943430780,0.003320838,0.155822043,-0.017180323,0.864608454
138,0.946664018,0.003146951,0.149826349,-0.017035889,0.869054012
139,0.949727271,0.002980831,0.143981592,-0.016893842,0.873296479
140,0.952628192,0.002822248,0.138290154,-0.016754363,0.877343132
141,0.955374202,0.002670968,0.132753796,-0.016617611,0.881201149
142,0.957972484,0.002526755,0.127373696,-0.016483724,0.884877599
143,0.960429987,0.002389369,0.122150495,-0.016352817,0.888379425
144,0.962753418,0.002258571,0.117084338,-0.016224990,0.891713440
145,0.964949246,0.002134124,0.112174912,-0.016100323,0.894886308
146,0.967023704,0.002015791,0.107421487,-0.015978880,0.897904546
147,0.968982787,0.001903336,0.102822951,-0.015860711,0.900774509
148,0.970832258,0.001796527,0.098377845,-0.015745849,0.903502389
149,0.972577648,0.001695138,0.094084401,-0.015634318,0.906094209
150,0.974224265,0.001598943,0.089940567,-0.015526127,0.908555822
