S,call delta,gamma,vega,call theta,call rho
50,0.043353610,0.005203235,0.032520217,-0.004713839,0.009454052
51,0.048757855,0.005606107,0.036453710,-0.005290064,0.010818792
52,0.054567193,0.006013086,0.040648459,-0.005905676,0.012314866
53,0.060784723,0.006422155,0.045099583,-0.006560138,0.013947138
54,0.067411533,0.006831316,0.049800294,-0.007252642,0.015719980
55,0.074446731,0.007238608,0.054741973,-0.007982112,0.017637241
56,0.081887490,0.007642126,0.059914267,-0.008747221,0.019702220
57,0.089729113,0.008040038,0.065305207,-0.009546402,0.021917644
58,0.097965114,0.008430598,0.070901332,-0.010377872,0.024285657
59,0.106587309,0.008812161,0.076687835,-0.011239643,0.026807808
60,0.115585924,0.009183190,0.082648708,-0.012129550,0.029485051
61,0.124949703,0.009542263,0.088766901,-0.013045267,0.032317744
62,0.134666031,0.009888083,0.095024477,-0.013984330,0.035305659
63,0.144721059,0.010219478,0.101402775,-0.014944161,0.038447993
64,0.155099830,0.010535407,0.107882569,-0.015922089,0.041743385
65,0.165786412,0.010834956,0.114444226,-0.016915372,0.045189932
66,0.176764021,0.011117342,0.121067856,-0.017921219,0.048785216
67,0.188015155,0.011381908,0.127733461,-0.018936812,0.052526329
68,0.199521717,0.011628121,0.134421074,-0.019959322,0.056409896
69,0.211265139,0.011855567,0.141110889,-0.020985933,0.060432113
70,0.223226496,0.012063950,0.147783388,-0.022013855,0.064588771
71,0.235386621,0.012253081,0.154419452,-0.023040344,0.068875294
72,0.247726211,0.012422875,0.161000464,-0.024062715,0.073286768
73,0.260225929,0.012573346,0.167508404,-0.025078356,0.077817979
74,0.272866496,0.012704597,0.173925930,-0.026084742,0.082463442
75,0.285628778,0.012816815,0.180236456,-0.027079444,0.087217439
76,0.298493868,0.012910264,0.186424209,-0.028060140,0.092074049
77,0.311443160,0.012985278,0.192474286,-0.029024620,0.097027184
78,0.324458411,0.013042255,0.198372695,-0.029970797,0.102070618
79,0.337521807,0.013081647,0.204106391,-0.030896712,0.107198017
80,0.350616010,0.013103956,0.209663300,-0.031800534,0.112402972
81,0.363724207,0.013109730,0.215032340,-0.032680568,0.117679024
82,0.376830151,0.013099549,0.220203424,-0.033535255,0.123019692
83,0.389918192,0.013074029,0.225167470,-0.034363174,0.128418498
84,0.402973309,0.013033809,0.229916391,-0.035163040,0.133868993
85,0.415981130,0.012979548,0.234443089,-0.035933705,0.139364775
86,0.428927950,0.012911922,0.238741437,-0.036674156,0.144899512
87,0.441800747,0.012831616,0.242806260,-0.037383514,0.150466963
88,0.454587187,0.012739324,0.246633310,-0.038061029,0.156060992
89,0.467275631,0.012635740,0.250219239,-0.038706076,0.161675586
90,0.479855135,0.012521559,0.253561564,-0.039318156,0.167304866
91,0.492315446,0.012397471,0.256658635,-0.039896884,0.172943105
92,0.504647002,0.012264159,0.259509602,-0.040441993,0.178584736
93,0.516840914,0.012122297,0.262114368,-0.040953321,0.184224362
94,0.528888966,0.011972547,0.264473557,-0.041430810,0.189856764
95,0.540783594,0.011815555,0.266588470,-0.041874500,0.195476910
96,0.552517874,0.011651955,0.268461044,-0.042284526,0.201079960
97,0.564085506,0.011482360,0.270093809,-0.042661105,0.206661272
98,0.575480795,0.011307366,0.271489848,-0.043004538,0.212216402
99,0.586698630,0.011127548,0.272652753,-0.043315202,0.217741111
100,0.597734469,0.010943463,0.273586586,-0.043593542,0.223231364
101,0.608584313,0.010755645,0.274295836,-0.043840069,0.228683333
102,0.619244685,0.010564605,0.274785383,-0.044055351,0.234093392
103,0.629712613,0.010370834,0.275060454,-0.044240011,0.239458124
104,0.639985600,0.010174800,0.275126588,-0.044394719,0.244774313
105,0.650061607,0.009976947,0.274989602,-0.044520190,0.250038945
106,0.659939029,0.009777698,0.274655550,-0.044617177,0.255249202
107,0.669616672,0.009577455,0.274130694,-0.044686464,0.260402463
108,0.679093733,0.009376594,0.273421473,-0.044728867,0.265496300
109,0.688369773,0.009175472,0.272534465,-0.044745227,0.270528468
110,0.697444702,0.008974425,0.271476367,-0.044736404,0.275496908
111,0.706318753,0.008773767,0.270253960,-0.044703275,0.280399737
112,0.714992464,0.008573791,0.268874088,-0.044646731,0.285235248
113,0.723466654,0.008374771,0.267343633,-0.044567673,0.290001897
114,0.731742410,0.008176962,0.265669489,-0.044467007,0.294698306
115,0.739821060,0.007980599,0.263858543,-0.044345643,0.299323251
116,0.747704162,0.007785899,0.261917656,-0.044204492,0.303875661
117,0.755393481,0.007593064,0.259853646,-0.044044461,0.308354609
118,0.762890974,0.007402277,0.257673266,-0.043866456,0.312759307
119,0.770198774,0.007213705,0.255383193,-0.043671372,0.317089100
120,0.777319173,0.007027500,0.252990015,-0.043460097,0.321343461
121,0.784254610,0.006843801,0.250500215,-0.043233508,0.325521985
122,0.791007651,0.006662729,0.247920160,-0.042992471,0.329624382
123,0.797580981,0.006484397,0.245256093,-0.042737834,0.333650472
124,0.803977390,0.006308900,0.242514123,-0.042470433,0.337600181
125,0.810199756,0.006136326,0.239700216,-0.042191085,0.341473532
