S;T=0.5;T=0.1;T=1
50;0.000111589;2.25912E-18;0.007190786
51;0.000172322;1.97395E-17;0.008933131
52;0.000260853;1.55718E-16;0.010990215
53;0.000387456;1.11467E-15;0.013396752
54;0.000565236;7.27483E-15;0.016187708
55;0.000810595;4.3481E-14;0.019397816
56;0.001143677;2.38995E-13;0.023061061
57;0.001588792;1.21281E-12;0.027210169
58;0.002174768;5.70307E-12;0.031876111
59;0.002935218;2.49371E-11;0.037087616
60;0.003908699;1.01724E-10;0.042870727
61;0.005138716;3.88308E-10;0.049248392
62;0.006673585;1.39114E-09;0.056240107
63;0.008566116;4.69032E-09;0.063861612
64;0.010873115;1.4921E-08;0.072124645
65;0.013654708;4.48984E-08;0.081036766
66;0.016973503;1.28089E-07;0.090601236
67;0.020893585;3.47222E-07;0.100816965
68;0.025479389;8.96247E-07;0.111678517
69;0.030794475;2.20721E-06;0.123176185
70;0.036900229;5.19613E-06;0.135296107
71;0.043854546;1.17145E-05;0.148020443
72;0.051710522;2.53355E-05;0.161327591
73;0.060515201;5.26514E-05;0.175192448
74;0.070308412;0.000105305;0.189586695
75;0.08112174;0.000203003;0.20447912
76;0.09297764;0.000377744;0.219835949
77;0.105888751;0.000679411;0.2356212
78;0.119857391;0.001182729;0.251797039
79;0.134875278;0.0019953;0.268324145
80;0.150923459;0.003266135;0.285162063
81;0.167972451;0.005193691;0.302269559
82;0.18598259;0.008032096;0.319604958
83;0.204904566;0.012094013;0.337126467
84;0.224680132;0.01774857;0.354792484
85;0.245242953;0.025413003;0.372561883
86;0.266519587;0.035537232;0.390394278
87;0.288430553;0.048581349;0.408250262
88;0.310891467;0.064986998;0.426091625
89;0.333814218;0.085144606;0.443881543
90;0.357108154;0.109359263;0.461584743
91;0.380681252;0.137818649;0.479167648
92;0.40444126;0.170566452;0.496598485
93;0.428296769;0.207484442;0.513847389
94;0.452158225;0.248285536;0.530886462
95;0.475938844;0.292519038;0.547689833
96;0.499555431;0.339587968;0.564233681
97;0.522929099;0.38877706;0.580496251
98;0.545985867;0.439288939;0.596457843
99;0.568657158;0.490285205;0.612100799
100;0.590880178;0.540928839;0.627409464
101;0.612598191;0.590424413;0.642370141
102;0.63376069;0.638053103;0.656971037
103;0.654323474;0.683200219;0.671202193
104;0.674248637;0.725373933;0.685055416
105;0.693504473;0.764214785;0.698524198
106;0.712065317;0.799496432;0.71160363
107;0.729911322;0.831118784;0.724290319
108;0.747028188;0.859095118;0.736582294
109;0.763406845;0.883535005;0.748478912
110;0.779043104;0.904624898;0.759980774
111;0.793937293;0.922608062;0.771089623
112;0.808093863;0.937765274;0.781808256
113;0.821520998;0.950397329;0.792140438
114;0.834230215;0.960810084;0.802090805
115;0.84623597;0.969302384;0.811664787
116;0.857555275;0.976156948;0.820868518
117;0.868207326;0.981634064;0.829708763
118;0.878213145;0.985967782;0.838192837
119;0.887595244;0.989364197;0.846328532
120;0.89637731;0.992001403;0.854124054
121;0.904583914;0.994030667;0.861587951
122;0.912240238;0.995578444;0.868729059
123;0.919371833;0.996748902;0.875556439
124;0.926004394;0.997626669;0.882079328
125;0.932163567;0.998279608;0.888307089
126;0.937874773;0.998761478;0.894249165
127;0.943163054;0.99911437;0.899915039
128;0.948052947;0.999370872;0.905314194
129;0.952568369;0.999555956;0.91045608
130;0.956732525;0.999688558;0.915350084
131;0.960567837;0.999782903;0.920005499
132;0.964095882;0.999849576;0.924431502
133;0.96733735;0.999896384;0.928637132
134;0.970312009;0.999929036;0.932631266
135;0.973038689;0.999951671;0.93642261
136;0.97553527;0.999967266;0.940019677
137;0.977818684;0.999977947;0.94343078
138;0.979904919;0.999985221;0.946664018
139;0.981809036;0.999990146;0.949727271
140;0.983545187;0.999993463;0.952628192
141;0.985126639;0.999995684;0.955374202
142;0.986565804;0.999997164;0.957972484
143;0.987874268;0.999998145;0.960429987
144;0.989062825;0.999998793;0.962753418
145;0.990141513;0.999999217;0.964949246
146;0.991119647;0.999999495;0.967023704
147;0.99200586;0.999999675;0.968982787
148;0.992808135;0.999999792;0.970832258
149;0.993533848;0.999999868;0.972577648
150;0.994189797;0.999999916;0.974224265
