S,ir=5%,ir=1%,ir=10%
50,-0.000011359,-0.000007047,-0.000020260
51,-0.000017439,-0.000010942,-0.000030668
52,-0.000026233,-0.000016643,-0.000045503
53,-0.000038703,-0.000024819,-0.000066237
54,-0.000056056,-0.000036325,-0.000094687
55,-0.000079775,-0.000052224,-0.000133041
56,-0.000111643,-0.000073817,-0.000183888
57,-0.000153768,-0.000102659,-0.000250220
58,-0.000208586,-0.000140576,-0.000335437
59,-0.000278863,-0.000189674,-0.000443321
60,-0.000367676,-0.000252329,-0.000577995
61,-0.000478382,-0.000331175,-0.000743865
62,-0.000614571,-0.000429077,-0.000945537
63,-0.000780000,-0.000549080,-0.001187718
64,-0.000978517,-0.000694364,-0.001475104
65,-0.001213964,-0.000868166,-0.001812252
66,-0.001490079,-0.001073705,-0.002203444
67,-0.001810381,-0.001314091,-0.002652552
68,-0.002178059,-0.001592230,-0.003162901
69,-0.002595859,-0.001910731,-0.003737140
70,-0.003065973,-0.002271798,-0.004377129
71,-0.003589945,-0.002677151,-0.005083842
72,-0.004168581,-0.003127928,-0.005857286
73,-0.004801883,-0.003624621,-0.006696455
74,-0.005489000,-0.004167013,-0.007599301
75,-0.006228198,-0.004754135,-0.008562738
76,-0.007016857,-0.005384245,-0.009582671
77,-0.007851492,-0.006054822,-0.010654051
78,-0.008727790,-0.006762580,-0.011770959
79,-0.009640672,-0.007503510,-0.012926706
80,-0.010584377,-0.008272928,-0.014113951
81,-0.011552561,-0.009065549,-0.015324837
82,-0.012538400,-0.009875575,-0.016551134
83,-0.013534720,-0.010696787,-0.017784386
84,-0.014534117,-0.011522657,-0.019016062
85,-0.015529092,-0.012346462,-0.020237701
86,-0.016512174,-0.013161392,-0.021441052
87,-0.017476044,-0.013960674,-0.022618203
88,-0.018413659,-0.014737679,-0.023761700
89,-0.019318348,-0.015486029,-0.024864641
90,-0.020183916,-0.016199693,-0.025920771
91,-0.021004721,-0.016873079,-0.026924543
92,-0.021775740,-0.017501103,-0.027871171
93,-0.022492624,-0.018079258,-0.028756660
94,-0.023151732,-0.018603659,-0.029577826
95,-0.023750151,-0.019071078,-0.030332291
96,-0.024285704,-0.019478968,-0.031018472
97,-0.024756945,-0.019825471,-0.031635552
98,-0.025163134,-0.020109410,-0.032183439
99,-0.025504215,-0.020330276,-0.032662720
100,-0.025780769,-0.020488205,-0.033074606
101,-0.025993969,-0.020583935,-0.033420868
102,-0.026145530,-0.020618770,-0.033703773
103,-0.026237648,-0.020594528,-0.033926015
104,-0.026272938,-0.020513490,-0.034090649
105,-0.026254374,-0.020378341,-0.034201022
106,-0.026185226,-0.020192110,-0.034260708
107,-0.026068998,-0.019958116,-0.034273445
108,-0.025909366,-0.019679904,-0.034243075
109,-0.025710126,-0.019361192,-0.034173492
110,-0.025475138,-0.019005813,-0.034068591
111,-0.025208273,-0.018617664,-0.033932221
112,-0.024913377,-0.018200658,-0.033768152
113,-0.024594223,-0.017758681,-0.033580033
114,-0.024254480,-0.017295551,-0.033371372
115,-0.023897684,-0.016814984,-0.033145506
116,-0.023527209,-0.016320562,-0.032905586
117,-0.023146250,-0.015815709,-0.032654563
118,-0.022757805,-0.015303669,-0.032395177
119,-0.022364665,-0.014787489,-0.032129952
120,-0.021969405,-0.014270006,-0.031861193
121,-0.021574380,-0.013753840,-0.031590988
122,-0.021181725,-0.013241387,-0.031321212
123,-0.020793354,-0.012734818,-0.031053530
124,-0.020410969,-0.012236078,-0.030789405
125,-0.020036060,-0.011746894,-0.030530110
126,-0.019669919,-0.011268775,-0.030276736
127,-0.019313646,-0.010803022,-0.030030202
128,-0.018968160,-0.010350738,-0.029791269
129,-0.018634211,-0.009912837,-0.029560550
130,-0.018312394,-0.009490056,-0.029338524
131,-0.018003154,-0.009082966,-0.029125547
132,-0.017706808,-0.008691984,-0.028921863
133,-0.017423549,-0.008317387,-0.028727621
134,-0.017153465,-0.007959324,-0.028542876
135,-0.016896544,-0.007617825,-0.028367611
136,-0.016652690,-0.007292821,-0.028201738
137,-0.016421734,-0.006984148,-0.028045113
138,-0.016203439,-0.006691561,-0.027897543
139,-0.015997516,-0.006414747,-0.027758794
140,-0.015803629,-0.006153333,-0.027628596
141,-0.015621404,-0.005906895,-0.027506655
142,-0.015450437,-0.005674967,-0.027392655
143,-0.015290302,-0.005457051,-0.027286265
144,-0.015140553,-0.005252623,-0.027187144
145,-0.015000735,-0.005061141,-0.027094943
146,-0.014870383,-0.004882047,-0.027009313
147,-0.014749034,-0.004714779,-0.026929903
148,-0.014636224,-0.004558770,-0.026856368
149,-0.014531492,-0.004413458,-0.026788366
150,-0.014434388,-0.004278282,-0.026725567
