S,T=0.5,T=0.1,T=1
50,-0.000011359,0.000000000,-0.000387197
51,-0.000017439,0.000000000,-0.000479328
52,-0.000026233,0.000000000,-0.000587409
53,-0.000038703,0.000000000,-0.000712978
54,-0.000056056,0.000000000,-0.000857520
55,-0.000079775,0.000000000,-0.001022439
56,-0.000111643,0.000000000,-0.001209027
57,-0.000153768,0.000000000,-0.001418437
58,-0.000208586,0.000000000,-0.001651653
59,-0.000278863,0.000000000,-0.001909468
60,-0.000367676,0.000000000,-0.002192463
61,-0.000478382,0.000000000,-0.002500990
62,-0.000614571,-0.000000001,-0.002835157
63,-0.000780000,-0.000000002,-0.003194825
64,-0.000978517,-0.000000006,-0.003579599
65,-0.001213964,-0.000000018,-0.003988831
66,-0.001490079,-0.000000050,-0.004421627
67,-0.001810381,-0.000000133,-0.004876853
68,-0.002178059,-0.000000336,-0.005353147
69,-0.002595859,-0.000000811,-0.005848942
70,-0.003065973,-0.000001868,-0.006362479
71,-0.003589945,-0.000004116,-0.006891831
72,-0.004168581,-0.000008692,-0.007434927
73,-0.004801883,-0.000017623,-0.007989576
74,-0.005489000,-0.000034349,-0.008553496
75,-0.006228198,-0.000064463,-0.009124336
76,-0.007016857,-0.000116640,-0.009699704
77,-0.007851492,-0.000203760,-0.010277194
78,-0.008727790,-0.000344089,-0.010854410
79,-0.009640672,-0.000562382,-0.011428990
80,-0.010584377,-0.000890647,-0.011998623
81,-0.011552561,-0.001368288,-0.012561079
82,-0.012538400,-0.002041320,-0.013114218
83,-0.013534720,-0.002960401,-0.013656010
84,-0.014534117,-0.004177564,-0.014184550
85,-0.015529092,-0.005741683,-0.014698067
86,-0.016512174,-0.007692969,-0.015194934
87,-0.017476044,-0.010056998,-0.015673679
88,-0.018413659,-0.012838968,-0.016132984
89,-0.019318348,-0.016018988,-0.016571695
90,-0.020183916,-0.019549167,-0.016988816
91,-0.021004721,-0.023353124,-0.017383514
92,-0.021775740,-0.027328280,-0.017755117
93,-0.022492624,-0.031350917,-0.018103105
94,-0.023151732,-0.035283638,-0.018427113
95,-0.023750151,-0.038984531,-0.018726919
96,-0.024285704,-0.042317087,-0.019002438
97,-0.024756945,-0.045159843,-0.019253717
98,-0.025163134,-0.047414749,-0.019480927
99,-0.025504215,-0.049013436,-0.019684349
100,-0.025780769,-0.049920861,-0.019864371
101,-0.025993969,-0.050136105,-0.020021474
102,-0.026145530,-0.049690450,-0.020156226
103,-0.026237648,-0.048643146,-0.020269272
104,-0.026272938,-0.047075457,-0.020361322
105,-0.026254374,-0.045083726,-0.020433146
106,-0.026185226,-0.042772154,-0.020485559
107,-0.026068998,-0.040245967,-0.020519421
108,-0.025909366,-0.037605466,-0.020535623
109,-0.025710126,-0.034941316,-0.020535078
110,-0.025475138,-0.032331240,-0.020518720
111,-0.025208273,-0.029838123,-0.020487491
112,-0.024913377,-0.027509415,-0.020442338
113,-0.024594223,-0.025377620,-0.020384207
114,-0.024254480,-0.023461605,-0.020314037
115,-0.023897684,-0.021768468,-0.020232755
116,-0.023527209,-0.020295698,-0.020141272
117,-0.023146250,-0.019033415,-0.020040479
118,-0.022757805,-0.017966506,-0.019931247
119,-0.022364665,-0.017076551,-0.019814417
120,-0.021969405,-0.016343452,-0.019690805
121,-0.021574380,-0.015746739,-0.019561194
122,-0.021181725,-0.015266560,-0.019426337
123,-0.020793354,-0.014884364,-0.019286954
124,-0.020410969,-0.014583339,-0.019143728
125,-0.020036060,-0.014348630,-0.018997310
126,-0.019669919,-0.014167401,-0.018848315
127,-0.019313646,-0.014028773,-0.018697322
128,-0.018968160,-0.013923689,-0.018544874
129,-0.018634211,-0.013844725,-0.018391481
130,-0.018312394,-0.013785889,-0.018237617
131,-0.018003154,-0.013742408,-0.018083722
132,-0.017706808,-0.013710529,-0.017930204
133,-0.017423549,-0.013687334,-0.017777437
134,-0.017153465,-0.013670584,-0.017625767
135,-0.016896544,-0.013658574,-0.017475505
136,-0.016652690,-0.013650024,-0.017326938
137,-0.016421734,-0.013643977,-0.017180323
138,-0.016203439,-0.013639730,-0.017035889
139,-0.015997516,-0.013636765,-0.016893842
140,-0.015803629,-0.013634709,-0.016754363
141,-0.015621404,-0.013633291,-0.016617611
142,-0.015450437,-0.013632319,-0.016483724
143,-0.015290302,-0.013631657,-0.016352817
144,-0.015140553,-0.013631209,-0.016224990
145,-0.015000735,-0.013630906,-0.016100323
146,-0.014870383,-0.013630703,-0.015978880
147,-0.014749034,-0.013630568,-0.015860711
148,-0.014636224,-0.013630478,-0.015745849
149,-0.014531492,-0.013630419,-0.015634318
150,-0.014434388,-0.013630380,-0.015526127
