S,vol=25%,vol=10%,vol=50%
50,-0.000011359,0.000000000,-0.004713839
51,-0.000017439,0.000000000,-0.005290064
52,-0.000026233,0.000000000,-0.005905676
53,-0.000038703,0.000000000,-0.006560138
54,-0.000056056,0.000000000,-0.007252642
55,-0.000079775,0.000000000,-0.007982112
56,-0.000111643,0.000000000,-0.008747221
57,-0.000153768,0.000000000,-0.009546402
58,-0.000208586,0.000000000,-0.010377872
59,-0.000278863,0.000000000,-0.011239643
60,-0.000367676,0.000000000,-0.012129550
61,-0.000478382,0.000000000,-0.013045267
62,-0.000614571,0.000000000,-0.013984330
63,-0.000780000,0.000000000,-0.014944161
64,-0.000978517,0.000000000,-0.015922089
65,-0.001213964,0.000000000,-0.016915372
66,-0.001490079,-0.000000002,-0.017921219
67,-0.001810381,-0.000000005,-0.018936812
68,-0.002178059,-0.000000016,-0.019959322
69,-0.002595859,-0.000000045,-0.020985933
70,-0.003065973,-0.000000122,-0.022013855
71,-0.003589945,-0.000000310,-0.023040344
72,-0.004168581,-0.000000747,-0.024062715
73,-0.004801883,-0.000001715,-0.025078356
74,-0.005489000,-0.000003752,-0.026084742
75,-0.006228198,-0.000007836,-0.027079444
76,-0.007016857,-0.000015653,-0.028060140
77,-0.007851492,-0.000029956,-0.029024620
78,-0.008727790,-0.000055010,-0.029970797
79,-0.009640672,-0.000097086,-0.030896712
80,-0.010584377,-0.000164917,-0.031800534
81,-0.011552561,-0.000270018,-0.032680568
82,-0.012538400,-0.000426715,-0.033535255
83,-0.013534720,-0.000651751,-0.034363174
84,-0.014534117,-0.000963355,-0.035163040
85,-0.015529092,-0.001379745,-0.035933705
86,-0.016512174,-0.001917135,-0.036674156
87,-0.017476044,-0.002587444,-0.037383514
88,-0.018413659,-0.003396004,-0.038061029
89,-0.019318348,-0.004339631,-0.038706076
90,-0.020183916,-0.005405426,-0.039318156
91,-0.021004721,-0.006570592,-0.039896884
92,-0.021775740,-0.007803405,-0.040441993
93,-0.022492624,-0.009065307,-0.040953321
94,-0.023151732,-0.010313893,-0.041430810
95,-0.023750151,-0.011506422,-0.041874500
96,-0.024285704,-0.012603392,-0.042284526
97,-0.024756945,-0.013571724,-0.042661105
98,-0.025163134,-0.014387167,-0.043004538
99,-0.025504215,-0.015035683,-0.043315202
100,-0.025780769,-0.015513721,-0.043593542
101,-0.025993969,-0.015827453,-0.043840069
102,-0.026145530,-0.015991188,-0.044055351
103,-0.026237648,-0.016025244,-0.044240011
104,-0.026272938,-0.015953588,-0.044394719
105,-0.026254374,-0.015801538,-0.044520190
106,-0.026185226,-0.015593761,-0.044617177
107,-0.026068998,-0.015352710,-0.044686464
108,-0.025909366,-0.015097567,-0.044728867
109,-0.025710126,-0.014843695,-0.044745227
110,-0.025475138,-0.014602524,-0.044736404
111,-0.025208273,-0.014381778,-0.044703275
112,-0.024913377,-0.014185945,-0.044646731
113,-0.024594223,-0.014016865,-0.044567673
114,-0.024254480,-0.013874367,-0.044467007
115,-0.023897684,-0.013756868,-0.044345643
116,-0.023527209,-0.013661908,-0.044204492
117,-0.023146250,-0.013586578,-0.044044461
118,-0.022757805,-0.013527849,-0.043866456
119,-0.022364665,-0.013482806,-0.043671372
120,-0.021969405,-0.013448790,-0.043460097
121,-0.021574380,-0.013423476,-0.043233508
122,-0.021181725,-0.013404899,-0.042992471
123,-0.020793354,-0.013391448,-0.042737834
124,-0.020410969,-0.013381832,-0.042470433
125,-0.020036060,-0.013375042,-0.042191085
126,-0.019669919,-0.013370303,-0.041900592
127,-0.019313646,-0.013367034,-0.041599733
128,-0.018968160,-0.013364803,-0.041289271
129,-0.018634211,-0.013363296,-0.040969947
130,-0.018312394,-0.013362289,-0.040642481
131,-0.018003154,-0.013361623,-0.040307572
132,-0.017706808,-0.013361186,-0.039965898
133,-0.017423549,-0.013360903,-0.039618112
134,-0.017153465,-0.013360720,-0.039264849
135,-0.016896544,-0.013360604,-0.038906717
136,-0.016652690,-0.013360530,-0.038544306
137,-0.016421734,-0.013360484,-0.038178179
138,-0.016203439,-0.013360455,-0.037808881
139,-0.015997516,-0.013360437,-0.037436931
140,-0.015803629,-0.013360426,-0.037062829
141,-0.015621404,-0.013360420,-0.036687052
142,-0.015450437,-0.013360416,-0.036310055
143,-0.015290302,-0.013360413,-0.035932273
144,-0.015140553,-0.013360412,-0.035554120
145,-0.015000735,-0.013360411,-0.035175988
146,-0.014870383,-0.013360410,-0.034798251
147,-0.014749034,-0.013360410,-0.034421263
148,-0.014636224,-0.013360410,-0.034045359
149,-0.014531492,-0.013360410,-0.033670855
150,-0.014434388,-0.013360410,-0.033298048
