S,ir=5%,ir=1%,ir=10%
50,0.000049643,0.000032487,0.000082837
51,0.000073132,0.000048469,0.000120115
52,0.000105634,0.000070885,0.000170821
53,0.000149748,0.000101721,0.000238498
54,0.000208539,0.000143361,0.000327201
55,0.000285529,0.000198607,0.000441471
56,0.000384681,0.000270678,0.000586263
57,0.000510349,0.000363194,0.000766849
58,0.000667202,0.000480135,0.000988684
59,0.000860125,0.000625776,0.001257253
60,0.001094089,0.000804603,0.001577881
61,0.001374003,0.001021200,0.001955538
62,0.001704546,0.001280123,0.002394627
63,0.002089995,0.001585752,0.002898780
64,0.002534037,0.001942139,0.003470655
65,0.003039601,0.002352845,0.004111766
66,0.003608689,0.002820783,0.004822328
67,0.004242235,0.003348072,0.005601152
68,0.004939989,0.003935899,0.006445571
69,0.005700436,0.004584412,0.007351421
70,0.006520743,0.005292636,0.008313065
71,0.007396761,0.006058416,0.009323466
72,0.008323051,0.006878401,0.010374305
73,0.009292962,0.007748060,0.011456141
74,0.010298740,0.008661728,0.012558599
75,0.011331670,0.009612698,0.013670594
76,0.012382246,0.010593325,0.014780565
77,0.013440366,0.011595176,0.015876728
78,0.014495534,0.012609183,0.016947320
79,0.015537079,0.013625827,0.017980848
80,0.016554363,0.014635321,0.018966316
81,0.017537001,0.015627802,0.019893436
82,0.018475047,0.016593523,0.020752812
83,0.019359183,0.017523029,0.021536099
84,0.020180875,0.018407335,0.022236122
85,0.020932508,0.019238072,0.022846970
86,0.021607494,0.020007627,0.023364050
87,0.022200354,0.020709251,0.023784114
88,0.022706769,0.021337151,0.024105253
89,0.023123605,0.021886550,0.024326858
90,0.023448911,0.022353732,0.024449566
91,0.023681893,0.022736053,0.024475174
92,0.023822871,0.023031938,0.024406546
93,0.023873207,0.023240850,0.024247495
94,0.023835228,0.023363252,0.024002667
95,0.023712132,0.023400540,0.023677410
96,0.023507885,0.023354970,0.023277646
97,0.023227112,0.023229577,0.022809739
98,0.022874988,0.023028081,0.022280375
99,0.022457124,0.022754790,0.021696439
100,0.021979457,0.022414504,0.021064902
101,0.021448149,0.022012414,0.020392722
102,0.020869482,0.021554004,0.019686750
103,0.020249770,0.021044960,0.018953648
104,0.019595274,0.020491080,0.018199822
105,0.018912124,0.019898193,0.017431363
106,0.018206261,0.019272084,0.016653999
107,0.017483372,0.018618428,0.015873061
108,0.016748854,0.017942728,0.015093452
109,0.016007767,0.017250269,0.014319638
110,0.015264813,0.016546074,0.013555634
111,0.014524313,0.015834869,0.012805004
112,0.013790198,0.015121059,0.012070870
113,0.013065998,0.014408706,0.011355920
114,0.012354851,0.013701521,0.010662428
115,0.011659501,0.013002856,0.009992270
116,0.010982315,0.012315703,0.009346952
117,0.010325296,0.011642698,0.008727630
118,0.009690098,0.010986133,0.008135141
119,0.009078052,0.010347963,0.007570029
120,0.008490181,0.009729827,0.007032576
121,0.007927229,0.009133057,0.006522823
122,0.007389682,0.008558708,0.006040604
123,0.006877793,0.008007566,0.005585570
124,0.006391606,0.007480180,0.005157214
125,0.005930980,0.006976876,0.004754895
126,0.005495608,0.006497781,0.004377859
127,0.005085046,0.006042845,0.004025264
128,0.004698727,0.005611860,0.003696194
129,0.004335984,0.005204479,0.003389678
130,0.003996066,0.004820239,0.003104706
131,0.003678155,0.004458573,0.002840243
132,0.003381384,0.004118831,0.002595242
133,0.003104846,0.003800295,0.002368652
134,0.002847610,0.003502191,0.002159430
135,0.002608730,0.003223702,0.001966548
136,0.002387255,0.002963984,0.001788999
137,0.002182238,0.002722171,0.001625803
138,0.001992742,0.002497387,0.001476014
139,0.001817850,0.002288757,0.001338716
140,0.001656663,0.002095406,0.001213037
141,0.001508310,0.001916474,0.001098140
142,0.001371951,0.001751117,0.000993231
143,0.001246776,0.001598511,0.000897557
144,0.001132011,0.001457856,0.000810407
145,0.001026916,0.001328381,0.000731111
146,0.000930790,0.001209343,0.000659040
147,0.000842966,0.001100031,0.000593606
148,0.000762814,0.000999766,0.000534259
149,0.000689744,0.000907902,0.000480487
150,0.000623197,0.000823827,0.000431812
