S,vol=25%,vol=10%,vol=50%
50,0.000049643,0.000000000,0.005203235
51,0.000073132,0.000000000,0.005606107
52,0.000105634,0.000000000,0.006013086
53,0.000149748,0.000000000,0.006422155
54,0.000208539,0.000000000,0.006831316
55,0.000285529,0.000000000,0.007238608
56,0.000384681,0.000000000,0.007642126
57,0.000510349,0.000000000,0.008040038
58,0.000667202,0.000000000,0.008430598
59,0.000860125,0.000000000,0.008812161
60,0.001094089,0.000000000,0.009183190
61,0.001374003,0.000000000,0.009542263
62,0.001704546,0.000000000,0.009888083
63,0.002089995,0.000000001,0.010219478
64,0.002534037,0.000000002,0.010535407
65,0.003039601,0.000000008,0.010834956
66,0.003608689,0.000000025,0.011117342
67,0.004242235,0.000000077,0.011381908
68,0.004939989,0.000000223,0.011628121
69,0.005700436,0.000000611,0.011855567
70,0.006520743,0.000001587,0.012063950
71,0.007396761,0.000003901,0.012253081
72,0.008323051,0.000009104,0.012422875
73,0.009292962,0.000020212,0.012573346
74,0.010298740,0.000042764,0.012704597
75,0.011331670,0.000086381,0.012816815
76,0.012382246,0.000166870,0.012910264
77,0.013440366,0.000308787,0.012985278
78,0.014495534,0.000548194,0.013042255
79,0.015537079,0.000935077,0.013081647
80,0.016554363,0.001534660,0.013103956
81,0.017537001,0.002426698,0.013109730
82,0.018475047,0.003701854,0.013099549
83,0.019359183,0.005454557,0.013074029
84,0.020180875,0.007772306,0.013033809
85,0.020932508,0.010722164,0.012979548
86,0.021607494,0.014336011,0.012911922
87,0.022200354,0.018596834,0.012831616
88,0.022706769,0.023428660,0.012739324
89,0.023123605,0.028692536,0.012635740
90,0.023448911,0.034190224,0.012521559
91,0.023681893,0.039676110,0.012397471
92,0.023822871,0.044876372,0.012264159
93,0.023873207,0.049513195,0.012122297
94,0.023835228,0.053330788,0.011972547
95,0.023712132,0.056119674,0.011815555
96,0.023507885,0.057735930,0.011651955
97,0.023227112,0.058112963,0.011482360
98,0.022874988,0.057264615,0.011307366
99,0.022457124,0.055279741,0.011127548
100,0.021979457,0.052309617,0.010943463
101,0.021448149,0.048550388,0.010755645
102,0.020869482,0.044223166,0.010564605
103,0.020249770,0.039554353,0.010370834
104,0.019595274,0.034758327,0.010174800
105,0.018912124,0.030023973,0.009976947
106,0.018206261,0.025505797,0.009777698
107,0.017483372,0.021319662,0.009577455
108,0.016748854,0.017542619,0.009376594
109,0.016007767,0.014215966,0.009175472
110,0.015264813,0.011350491,0.008974425
111,0.014524313,0.008932880,0.008773767
112,0.013790198,0.006932390,0.008573791
113,0.013065998,0.005307127,0.008374771
114,0.012354851,0.004009458,0.008176962
115,0.011659501,0.002990341,0.007980599
116,0.010982315,0.002202516,0.007785899
117,0.010325296,0.001602617,0.007593064
118,0.009690098,0.001152385,0.007402277
119,0.009078052,0.000819147,0.007213705
120,0.008490181,0.000575783,0.007027500
121,0.007927229,0.000400331,0.006843801
122,0.007389682,0.000275404,0.006662729
123,0.006877793,0.000187515,0.006484397
124,0.006391606,0.000126396,0.006308900
125,0.005930980,0.000084369,0.006136326
126,0.005495608,0.000055782,0.005966747
127,0.005085046,0.000036540,0.005800228
128,0.004698727,0.000023721,0.005636823
129,0.004335984,0.000015264,0.005476575
130,0.003996066,0.000009738,0.005319520
131,0.003678155,0.000006161,0.005165684
132,0.003381384,0.000003867,0.005015087
133,0.003104846,0.000002407,0.004867741
134,0.002847610,0.000001487,0.004723651
135,0.002608730,0.000000912,0.004582815
136,0.002387255,0.000000555,0.004445227
137,0.002182238,0.000000336,0.004310875
138,0.001992742,0.000000201,0.004179741
139,0.001817850,0.000000120,0.004051804
140,0.001656663,0.000000071,0.003927037
141,0.001508310,0.000000042,0.003805412
142,0.001371951,0.000000024,0.003686895
143,0.001246776,0.000000014,0.003571450
144,0.001132011,0.000000008,0.003459038
145,0.001026916,0.000000005,0.003349618
146,0.000930790,0.000000003,0.003243146
147,0.000842966,0.000000002,0.003139576
148,0.000762814,0.000000001,0.003038861
149,0.000689744,0.000000000,0.002940952
150,0.000623197,0.000000000,0.002845799
