S,put delta,gamma,vega,put theta,put rho
50,-0.999928914,0.000032487,0.000101522,0.002719015,-0.497489178
51,-0.999888900,0.000048469,0.000157586,0.002715119,-0.497479068
52,-0.999829835,0.000070885,0.000239593,0.002709419,-0.497463850
53,-0.999744327,0.000101721,0.000357168,0.002701243,-0.497441391
54,-0.999622796,0.000143361,0.000522551,0.002689737,-0.497408864
55,-0.999453074,0.000198607,0.000750982,0.002673837,-0.497362592
56,-0.999219978,0.000270678,0.001061058,0.002652245,-0.497297878
57,-0.998904907,0.000363194,0.001475023,0.002623403,-0.497208832
58,-0.998485452,0.000480135,0.002018968,0.002585485,-0.497088190
59,-0.997935072,0.000625776,0.002722909,0.002536388,-0.496927143
60,-0.997222838,0.000804603,0.003620714,0.002473733,-0.496715179
61,-0.996313276,0.001021200,0.004749857,0.002394886,-0.496439946
62,-0.995166328,0.001280123,0.006150990,0.002296985,-0.496087152
63,-0.993737457,0.001585752,0.007867313,0.002176981,-0.495640502
64,-0.991977899,0.001942139,0.009943752,0.002031697,-0.495081694
65,-0.989835066,0.002352845,0.012425962,0.001857896,-0.494390459
66,-0.987253123,0.002820783,0.015359164,0.001652357,-0.493544678
67,-0.984173706,0.003348072,0.018786866,0.001411971,-0.492520552
68,-0.980536788,0.003935899,0.022749493,0.001133831,-0.491292847
69,-0.976281667,0.004584412,0.027282983,0.000815331,-0.489835198
70,-0.971348048,0.005292636,0.032417395,0.000454263,-0.488120470
71,-0.965677197,0.006058416,0.038175594,0.000048911,-0.486121176
72,-0.959213134,0.006878401,0.044572041,-0.000401866,-0.483809932
73,-0.951903824,0.007748060,0.051611763,-0.000898559,-0.481159945
74,-0.943702333,0.008661728,0.059289531,-0.001440951,-0.478145516
75,-0.934567923,0.009612698,0.067589281,-0.002028074,-0.474742552
76,-0.924467042,0.010593325,0.076483808,-0.002658184,-0.470929061
77,-0.913374191,0.011595176,0.085934747,-0.003328760,-0.466685628
78,-0.901272633,0.012609183,0.095892837,-0.004036518,-0.461995852
79,-0.888154943,0.013625827,0.106298483,-0.004777448,-0.456846735
80,-0.874023362,0.014635321,0.117082567,-0.005546866,-0.451229011
81,-0.858889973,0.015627802,0.128167513,-0.006339488,-0.445137408
82,-0.842776681,0.016593523,0.139468558,-0.007149513,-0.438570839
83,-0.825715004,0.017523029,0.150895186,-0.007970725,-0.431532510
84,-0.807745696,0.018407335,0.162352695,-0.008796596,-0.424029955
85,-0.788918199,0.019238072,0.173743840,-0.009620400,-0.416074992
86,-0.769289956,0.020007627,0.184970512,-0.010435330,-0.407683597
87,-0.748925599,0.020709251,0.195935403,-0.011234613,-0.398875720
88,-0.727896039,0.021337151,0.206543620,-0.012011618,-0.389675026
89,-0.706277476,0.021886550,0.216704207,-0.012759967,-0.380108583
90,-0.684150357,0.022353732,0.226331541,-0.013473632,-0.370206502
91,-0.661598310,0.022736053,0.235346573,-0.014147017,-0.360001542
92,-0.638707074,0.023031938,0.243677901,-0.014775042,-0.349528678
93,-0.615563436,0.023240850,0.251262644,-0.015353197,-0.338824659
94,-0.592254220,0.023363252,0.258047124,-0.015877597,-0.327927549
95,-0.568865312,0.023400540,0.263987341,-0.016345016,-0.316876275
96,-0.545480768,0.023354970,0.269049254,-0.016752907,-0.305710174
97,-0.522181988,0.023229577,0.273208861,-0.017099409,-0.294468565
98,-0.499046988,0.023028081,0.276452107,-0.017383348,-0.283190336
99,-0.476149763,0.022754790,0.278774620,-0.017604215,-0.271913567
100,-0.453559745,0.022414504,0.280181303,-0.017762143,-0.260675174
101,-0.431341360,0.022012414,0.280685794,-0.017857873,-0.249510604
102,-0.409553692,0.021554004,0.280309821,-0.017892708,-0.238453553
103,-0.388250231,0.021044960,0.279082471,-0.017868467,-0.227535742
104,-0.367478718,0.020491080,0.277039396,-0.017787429,-0.216786715
105,-0.347281074,0.019898193,0.274221968,-0.017652279,-0.206233693
106,-0.327693406,0.019272084,0.270676420,-0.017466048,-0.195901459
107,-0.308746087,0.018618428,0.266452972,-0.017232054,-0.185812283
108,-0.290463896,0.017942728,0.261604973,-0.016953843,-0.175985888
109,-0.272866214,0.017250269,0.256188063,-0.016635131,-0.166439434
110,-0.255967266,0.016546074,0.250259375,-0.016279751,-0.157187553
111,-0.239776398,0.015834869,0.243876782,-0.015891602,-0.148242395
112,-0.224298392,0.015121059,0.237098201,-0.015474596,-0.139613704
113,-0.209533791,0.014408706,0.229980956,-0.015032619,-0.131308913
114,-0.195479254,0.013701521,0.222581210,-0.014569490,-0.123333257
115,-0.182127905,0.013002856,0.214953464,-0.014088923,-0.115689902
116,-0.169469700,0.012315703,0.207150118,-0.013594501,-0.108380075
117,-0.157491780,0.011642698,0.199221116,-0.013089648,-0.101403216
118,-0.146178821,0.010986133,0.191213642,-0.012577608,-0.094757127
119,-0.135513379,0.010347963,0.183171886,-0.012061427,-0.088438118
120,-0.125476213,0.009729827,0.175136879,-0.011543944,-0.082441169
121,-0.116046600,0.009133057,0.167146368,-0.011027778,-0.076760076
122,-0.107202622,0.008558708,0.159234757,-0.010515325,-0.071387599
123,-0.098921445,0.008007566,0.151433088,-0.010008756,-0.066315608
124,-0.091179569,0.007480180,0.143769063,-0.009510017,-0.061535218
125,-0.083953056,0.006976876,0.136267110,-0.009020833,-0.057036924
126,-0.077217745,0.006497781,0.128948468,-0.008542713,-0.052810716
127,-0.070949438,0.006042845,0.121831311,-0.008076960,-0.048846202
128,-0.065124070,0.005611860,0.114930887,-0.007624676,-0.045132709
129,-0.059717849,0.005204479,0.108259672,-0.007186775,-0.041659382
130,-0.054707397,0.004820239,0.101827544,-0.006763995,-0.038415274
131,-0.050069846,0.004458573,0.095641962,-0.006356905,-0.035389423
132,-0.045782942,0.004118831,0.089708148,-0.005965923,-0.032570925
133,-0.041825114,0.003800295,0.084029278,-0.005591326,-0.029948997
134,-0.038175541,0.003502191,0.078606668,-0.005233262,-0.027513031
135,-0.034814194,0.003223702,0.073439960,-0.004891764,-0.025252641
136,-0.031721880,0.002963984,0.068527303,-0.004566759,-0.023157706
137,-0.028880258,0.002722171,0.063865527,-0.004258086,-0.021218400
138,-0.026271862,0.002497387,0.059450308,-0.003965499,-0.019425221
139,-0.023880099,0.002288757,0.055276334,-0.003688686,-0.017769013
140,-0.021689255,0.002095406,0.051337445,-0.003427272,-0.016240980
141,-0.019684481,0.001916474,0.047626782,-0.003180833,-0.014832700
142,-0.017851782,0.001751117,0.044136909,-0.002948905,-0.013536135
143,-0.016177997,0.001598511,0.040859939,-0.002730990,-0.012343626
144,-0.014650777,0.001457856,0.037787636,-0.002526562,-0.011247904
145,-0.013258558,0.001328381,0.034911521,-0.002335079,-0.010242080
146,-0.011990535,0.001209343,0.032222956,-0.002155985,-0.009319643
147,-0.010836629,0.001100031,0.029713225,-0.001988717,-0.008474453
148,-0.009787457,0.000999766,0.027373605,-0.001832709,-0.007700730
149,-0.008834297,0.000907902,0.025195426,-0.001687396,-0.006993047
150,-0.007969056,0.000823827,0.023170126,-0.001552221,-0.006346315
