S,put delta,gamma,vega,put theta,put rho
50,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
51,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
52,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
53,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
54,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
55,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
56,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
57,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
58,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
59,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
60,-1.000000000,0.000000000,0.000000000,0.013630308,-0.099501248
61,-1.000000000,0.000000001,0.000000000,0.013630308,-0.099501248
62,-0.999999999,0.000000002,0.000000002,0.013630307,-0.099501248
63,-0.999999995,0.000000006,0.000000006,0.013630306,-0.099501248
64,-0.999999985,0.000000017,0.000000017,0.013630302,-0.099501247
65,-0.999999955,0.000000048,0.000000051,0.013630290,-0.099501245
66,-0.999999872,0.000000131,0.000000143,0.013630258,-0.099501240
67,-0.999999653,0.000000338,0.000000379,0.013630175,-0.099501225
68,-0.999999104,0.000000829,0.000000958,0.013629972,-0.099501188
69,-0.999997793,0.000001939,0.000002308,0.013629497,-0.099501098
70,-0.999994804,0.000004335,0.000005310,0.013628440,-0.099500890
71,-0.999988285,0.000009276,0.000011690,0.013626192,-0.099500430
72,-0.999974664,0.000019031,0.000024664,0.013621616,-0.099499455
73,-0.999947349,0.000037491,0.000049948,0.013612685,-0.099497473
74,-0.999894695,0.000071030,0.000097241,0.013595959,-0.099493601
75,-0.999796997,0.000129606,0.000182258,0.013565845,-0.099486317
76,-0.999622256,0.000228073,0.000329337,0.013513667,-0.099473116
77,-0.999320589,0.000387580,0.000574491,0.013426548,-0.099450025
78,-0.998817271,0.000636844,0.000968640,0.013286219,-0.099410998
79,-0.998004700,0.001012996,0.001580527,0.013067926,-0.099347179
80,-0.996733865,0.001561644,0.002498630,0.012739661,-0.099246102
81,-0.994806309,0.002335772,0.003831250,0.012262020,-0.099090870
82,-0.991967904,0.003393179,0.005703935,0.011588988,-0.098859452
83,-0.987905987,0.004792314,0.008253562,0.010669907,-0.098524227
84,-0.982251430,0.006586596,0.011618756,0.009452744,-0.098051922
85,-0.974586997,0.008817634,0.015926851,0.007888625,-0.097404092
86,-0.964462768,0.011507987,0.021278268,0.005937339,-0.096538246
87,-0.951418651,0.014654407,0.027729801,0.003573310,-0.095409667
88,-0.935013002,0.018222540,0.035278838,0.000791340,-0.093973876
89,-0.914855394,0.022144066,0.043850787,-0.002388680,-0.092189600
90,-0.890640737,0.026316980,0.053291884,-0.005918859,-0.090022041
91,-0.862181351,0.030609378,0.063369065,-0.009722816,-0.087446108
92,-0.829433548,0.034866640,0.073777810,-0.013697972,-0.084449329
93,-0.792515558,0.038921406,0.084157809,-0.017720609,-0.081034077
94,-0.751714464,0.042605374,0.094115272,-0.021653330,-0.077218868
95,-0.707480962,0.045761660,0.103249746,-0.025354223,-0.073038538
96,-0.660412032,0.048256377,0.111182693,-0.028686779,-0.068543248
97,-0.611222940,0.049988218,0.117584785,-0.031529535,-0.063796356
98,-0.560711061,0.050895092,0.122199116,-0.033784441,-0.058871372
