S,put delta,gamma,vega,put theta,put rho
50,-0.956646390,0.005203235,0.032520217,0.008646570,-0.478200904
51,-0.951242145,0.005606107,0.036453710,0.008070346,-0.476836164
52,-0.945432807,0.006013086,0.040648459,0.007454734,-0.475340090
53,-0.939215277,0.006422155,0.045099583,0.006800271,-0.473707818
54,-0.932588467,0.006831316,0.049800294,0.006107767,-0.471934976
55,-0.925553269,0.007238608,0.054741973,0.005378297,-0.470017715
56,-0.918112510,0.007642126,0.059914267,0.004613189,-0.467952736
57,-0.910270887,0.008040038,0.065305207,0.003814008,-0.465737312
58,-0.902034886,0.008430598,0.070901332,0.002982538,-0.463369299
59,-0.893412691,0.008812161,0.076687835,0.002120766,-0.460847148
60,-0.884414076,0.009183190,0.082648708,0.001230859,-0.458169905
61,-0.875050297,0.009542263,0.088766901,0.000315143,-0.455337212
62,-0.865333969,0.009888083,0.095024477,-0.000623920,-0.452349297
63,-0.855278941,0.010219478,0.101402775,-0.001583751,-0.449206963
64,-0.844900170,0.010535407,0.107882569,-0.002561679,-0.445911571
65,-0.834213588,0.010834956,0.114444226,-0.003554962,-0.442465024
66,-0.823235979,0.011117342,0.121067856,-0.004560809,-0.438869740
67,-0.811984845,0.011381908,0.127733461,-0.005576402,-0.435128627
68,-0.800478283,0.011628121,0.134421074,-0.006598913,-0.431245060
69,-0.788734861,0.011855567,0.141110889,-0.007625523,-0.427222843
70,-0.776773504,0.012063950,0.147783388,-0.008653445,-0.423066185
71,-0.764613379,0.012253081,0.154419452,-0.009679934,-0.418779662
72,-0.752273789,0.012422875,0.161000464,-0.010702305,-0.414368188
73,-0.739774071,0.012573346,0.167508404,-0.011717946,-0.409836977
74,-0.727133504,0.012704597,0.173925930,-0.012724333,-0.405191514
75,-0.714371222,0.012816815,0.180236456,-0.013719035,-0.400437517
76,-0.701506132,0.012910264,0.186424209,-0.014699730,-0.395580907
77,-0.688556840,0.012985278,0.192474286,-0.015664210,-0.390627772
78,-0.675541589,0.013042255,0.198372695,-0.016610387,-0.385584338
79,-0.662478193,0.013081647,0.204106391,-0.017536302,-0.380456939
80,-0.649383990,0.013103956,0.209663300,-0.018440124,-0.375251984
81,-0.636275793,0.013109730,0.215032340,-0.019320158,-0.369975932
