S,vol=25%,vol=10%,vol=50%
50,-0.999888411,-1.000000000,-0.956646390
51,-0.999827678,-1.000000000,-0.951242145
52,-0.999739147,-1.000000000,-0.945432807
53,-0.999612544,-1.000000000,-0.939215277
54,-0.999434764,-1.000000000,-0.932588467
55,-0.999189405,-1.000000000,-0.925553269
56,-0.998856323,-1.000000000,-0.918112510
57,-0.998411208,-1.000000000,-0.910270887
58,-0.997825232,-1.000000000,-0.902034886
59,-0.997064782,-1.000000000,-0.893412691
60,-0.996091301,-1.000000000,-0.884414076
61,-0.994861284,-1.000000000,-0.875050297
62,-0.993326415,-1.000000000,-0.865333969
63,-0.991433884,-1.000000000,-0.855278941
64,-0.989126885,-0.999999998,-0.844900170
65,-0.986345292,-0.999999994,-0.834213588
66,-0.983026497,-0.999999980,-0.823235979
67,-0.979106415,-0.999999934,-0.811984845
68,-0.974520611,-0.999999796,-0.800478283
69,-0.969205525,-0.999999409,-0.788734861
70,-0.963099771,-0.999998382,-0.776773504
71,-0.956145454,-0.999995798,-0.764613379
72,-0.948289478,-0.999989633,-0.752273789
73,-0.939484799,-0.999975649,-0.739774071
74,-0.929691588,-0.999945439,-0.727133504
75,-0.918878260,-0.999883168,-0.714371222
76,-0.907022360,-0.999760483,-0.701506132
77,-0.894111249,-0.999529080,-0.688556840
78,-0.880142609,-0.999110568,-0.675541589
79,-0.865124722,-0.998383705,-0.662478193
80,-0.849076541,-0.997169679,-0.649383990
81,-0.832027549,-0.995217025,-0.636275793
82,-0.814017410,-0.992188624,-0.623169849
83,-0.795095434,-0.987654062,-0.610081808
84,-0.775319868,-0.981090936,-0.597026691
85,-0.754757047,-0.971898355,-0.584018870
86,-0.733480413,-0.959424730,-0.571072050
87,-0.711569447,-0.943010011,-0.558199253
88,-0.689108533,-0.922040017,-0.545412813
89,-0.666185782,-0.896008004,-0.532724369
90,-0.642891846,-0.864576472,-0.520144865
91,-0.619318748,-0.827631169,-0.507684554
92,-0.595558740,-0.785319413,-0.495352998
93,-0.571703231,-0.738066485,-0.483159086
94,-0.547841775,-0.686566621,-0.471111034
95,-0.524061156,-0.631748549,-0.459216406
96,-0.500444569,-0.574719020,-0.447482126
97,-0.477070901,-0.516690668,-0.435914494
98,-0.454014133,-0.458902397,-0.424519205
99,-0.431342842,-0.402540980,-0.413301370
100,-0.409119822,-0.348671832,-0.402265531
101,-0.387401809,-0.298185057,-0.391415687
102,-0.366239310,-0.251760443,-0.380755315
103,-0.345676526,-0.209852450,-0.370287387
104,-0.325751363,-0.172693852,-0.360014400
105,-0.306495527,-0.140314851,-0.349938393
106,-0.287934683,-0.112573411,-0.340060971
107,-0.270088678,-0.089192140,-0.330383328
108,-0.252971812,-0.069797323,-0.320906267
109,-0.236593155,-0.053956432,-0.311630227
110,-0.220956896,-0.041211397,-0.302555298
111,-0.206062707,-0.031105968,-0.293681247
112,-0.191906137,-0.023206473,-0.285007536
113,-0.178479002,-0.017116050,-0.276533346
114,-0.165769785,-0.012483007,-0.268257590
115,-0.153764030,-0.009004304,-0.260178940
116,-0.142444725,-0.006425272,-0.252295838
117,-0.131792674,-0.004536688,-0.244606519
118,-0.121786855,-0.003170211,-0.237109026
119,-0.112404756,-0.002192982,-0.229801226
120,-0.103622690,-0.001502017,-0.222680827
121,-0.095416086,-0.001018830,-0.215745390
122,-0.087759762,-0.000684557,-0.208992349
123,-0.080628167,-0.000455712,-0.202419019
124,-0.073995606,-0.000300633,-0.196022610
125,-0.067836433,-0.000196578,-0.189800244
126,-0.062125227,-0.000127432,-0.183748961
127,-0.056836946,-0.000081913,-0.177865730
128,-0.051947053,-0.000052220,-0.172147466
129,-0.047431631,-0.000033024,-0.166591032
130,-0.043267475,-0.000020720,-0.161193251
131,-0.039432163,-0.000012901,-0.155950919
132,-0.035904118,-0.000007972,-0.150860803
133,-0.032662650,-0.000004891,-0.145919660
134,-0.029687991,-0.000002979,-0.141124235
135,-0.026961311,-0.000001802,-0.136471274
136,-0.024464730,-0.000001082,-0.131957523
137,-0.022181316,-0.000000646,-0.127579741
138,-0.020095081,-0.000000383,-0.123334700
139,-0.018190964,-0.000000226,-0.119219193
140,-0.016454813,-0.000000132,-0.115230036
141,-0.014873361,-0.000000077,-0.111364072
142,-0.013434196,-0.000000044,-0.107618175
143,-0.012125732,-0.000000026,-0.103989257
144,-0.010937175,-0.000000015,-0.100474264
145,-0.009858487,-0.000000008,-0.097070183
146,-0.008880353,-0.000000005,-0.093774045
147,-0.007994140,-0.000000003,-0.090582924
148,-0.007191865,-0.000000001,-0.087493941
149,-0.006466152,-0.000000001,-0.084504266
150,-0.005810203,0.000000000,-0.081611118
