S,T=0.5,T=0.1,T=1
50,-0.487628200,-0.099501248,-0.947907557
51,-0.487612855,-0.099501248,-0.947027425
52,-0.487590045,-0.099501248,-0.945967749
53,-0.487556794,-0.099501248,-0.944704012
54,-0.487509213,-0.099501248,-0.943210515
55,-0.487442321,-0.099501248,-0.941460643
56,-0.487349849,-0.099501248,-0.939427151
57,-0.487224052,-0.099501248,-0.937082486
58,-0.487055519,-0.099501248,-0.934399126
59,-0.486833006,-0.099501248,-0.931349930
60,-0.486543298,-0.099501248,-0.927908493
61,-0.486171102,-0.099501248,-0.924049501
62,-0.485698992,-0.099501248,-0.919749078
63,-0.485107415,-0.099501248,-0.914985107
64,-0.484374758,-0.099501247,-0.909737542
65,-0.483477484,-0.099501245,-0.903988681
66,-0.482390341,-0.099501240,-0.897723410
67,-0.481086650,-0.099501225,-0.890929409
68,-0.479538650,-0.099501188,-0.883597326
69,-0.477717916,-0.099501098,-0.875720899
70,-0.475595825,-0.099500890,-0.867297041
71,-0.473144063,-0.099500430,-0.858325889
72,-0.470335166,-0.099499455,-0.848810803
73,-0.467143066,-0.099497473,-0.838758328
74,-0.463543641,-0.099493601,-0.828178128
75,-0.459515246,-0.099486317,-0.817082870
76,-0.455039206,-0.099473116,-0.805488091
77,-0.450100265,-0.099450025,-0.793412033
78,-0.444686978,-0.099410998,-0.780875448
79,-0.438792023,-0.099347179,-0.767901394
80,-0.432412447,-0.099246102,-0.754515008
81,-0.425549818,-0.099090870,-0.740743266
82,-0.418210296,-0.098859452,-0.726614744
83,-0.410404612,-0.098524227,-0.712159361
84,-0.402147971,-0.098051922,-0.697408133
85,-0.393459866,-0.097404092,-0.682392922
86,-0.384363824,-0.096538246,-0.667146189
87,-0.374887084,-0.095409667,-0.651700759
88,-0.365060223,-0.093973876,-0.636089594
89,-0.354916732,-0.092189600,-0.620345575
90,-0.344492560,-0.090022041,-0.604501296
91,-0.333825636,-0.087446108,-0.588588882
92,-0.322955374,-0.084449329,-0.572639805
93,-0.311922180,-0.081034077,-0.556684733
94,-0.300766965,-0.077218868,-0.540753385
95,-0.289530674,-0.073038538,-0.524874406
96,-0.278253838,-0.068543248,-0.509075257
97,-0.266976161,-0.063796356,-0.493382120
98,-0.255736133,-0.058871372,-0.477819826
99,-0.244570696,-0.053848235,-0.462411787
100,-0.233514943,-0.048809257,-0.447179950
101,-0.222601863,-0.043835078,-0.432144764
102,-0.211862136,-0.039000949,-0.417325160
103,-0.201323967,-0.034373599,-0.402738536
104,-0.191012968,-0.030008885,-0.388400768
105,-0.180952079,-0.025950305,-0.374326214
106,-0.171161528,-0.022228394,-0.360527739
107,-0.161658831,-0.018860919,-0.347016743
108,-0.152458821,-0.015853764,-0.333803200
109,-0.143573709,-0.013202324,-0.320895698
110,-0.135013167,-0.010893251,-0.308301488
111,-0.126784436,-0.008906358,-0.296026537
112,-0.118892454,-0.007216553,-0.284075584
113,-0.111339992,-0.005795644,-0.272452200
114,-0.104127808,-0.004613969,-0.261158850
115,-0.097254803,-0.003641748,-0.250196952
116,-0.090718186,-0.002850171,-0.239566948
117,-0.084513640,-0.002212192,-0.229268362
118,-0.078635487,-0.001703066,-0.219299870
119,-0.073076848,-0.001300661,-0.209659357
120,-0.067829809,-0.000985572,-0.200343989
121,-0.062885564,-0.000741091,-0.191350265
122,-0.058234571,-0.000553071,-0.182674084
123,-0.053866683,-0.000409718,-0.174310802
124,-0.049771279,-0.000301335,-0.166255283
125,-0.045937386,-0.000220060,-0.158501963
126,-0.042353786,-0.000159598,-0.151044892
127,-0.039009118,-0.000114966,-0.143877788
128,-0.035891973,-0.000082269,-0.136994084
129,-0.032990966,-0.000058491,-0.130386971
130,-0.030294816,-0.000041323,-0.124049438
131,-0.027792407,-0.000029013,-0.117974316
132,-0.025472841,-0.000020248,-0.112154309
133,-0.023325484,-0.000014047,-0.106582030
134,-0.021340006,-0.000009689,-0.101250033
135,-0.019506414,-0.000006645,-0.096150841
136,-0.017815072,-0.000004533,-0.091276974
137,-0.016256727,-0.000003075,-0.086620970
138,-0.014822520,-0.000002075,-0.082175413
139,-0.013503992,-0.000001393,-0.077932945
140,-0.012293094,-0.000000931,-0.073886292
141,-0.011182185,-0.000000619,-0.070028275
142,-0.010164033,-0.000000409,-0.066351826
143,-0.009231804,-0.000000269,-0.062849999
144,-0.008379063,-0.000000177,-0.059515985
145,-0.007599755,-0.000000115,-0.056343116
146,-0.006888202,-0.000000075,-0.053324879
147,-0.006239088,-0.000000048,-0.050454916
148,-0.005647443,-0.000000031,-0.047727036
149,-0.005108632,-0.000000020,-0.045135215
150,-0.004618337,-0.000000013,-0.042673603
