S,ir=5%,ir=1%,ir=10%
50,0.013349051,0.002719015,0.026040820
51,0.013342971,0.002715119,0.026030412
52,0.013334176,0.002709419,0.026015578
53,0.013321706,0.002701243,0.025994843
54,0.013304353,0.002689737,0.025966393
55,0.013280635,0.002673837,0.025928039
56,0.013248766,0.002652245,0.025877193
57,0.013206642,0.002623403,0.025810860
58,0.013151823,0.002585485,0.025725643
59,0.013081547,0.002536388,0.025617760
60,0.012992734,0.002473733,0.025483085
61,0.012882028,0.002394886,0.025317215
62,0.012745839,0.002296985,0.025115543
63,0.012580410,0.002176981,0.024873362
64,0.012381893,0.002031697,0.024585976
65,0.012146445,0.001857896,0.024248828
66,0.011870331,0.001652357,0.023857636
67,0.011550029,0.001411971,0.023408528
68,0.011182351,0.001133831,0.022898179
69,0.010764551,0.000815331,0.022323940
70,0.010294437,0.000454263,0.021683951
71,0.009770465,0.000048911,0.020977238
72,0.009191829,-0.000401866,0.020203794
73,0.008558526,-0.000898559,0.019364625
74,0.007871410,-0.001440951,0.018461779
75,0.007132212,-0.002028074,0.017498342
76,0.006343552,-0.002658184,0.016478410
77,0.005508917,-0.003328760,0.015407029
78,0.004632620,-0.004036518,0.014290121
79,0.003719738,-0.004777448,0.013134374
80,0.002776032,-0.005546866,0.011947129
81,0.001807849,-0.006339488,0.010736243
82,0.000822010,-0.007149513,0.009509946
83,-0.000174310,-0.007970725,0.008276694
84,-0.001173708,-0.008796596,0.007045018
85,-0.002168683,-0.009620400,0.005823380
86,-0.003151764,-0.010435330,0.004620028
87,-0.004115635,-0.011234613,0.003442877
88,-0.005053249,-0.012011618,0.002299381
89,-0.005957938,-0.012759967,0.001196439
90,-0.006823507,-0.013473632,0.000140309
91,-0.007644311,-0.014147017,-0.000863463
92,-0.008415330,-0.014775042,-0.001810091
93,-0.009132215,-0.015353197,-0.002695580
94,-0.009791322,-0.015877597,-0.003516746
95,-0.010389741,-0.016345016,-0.004271211
96,-0.010925294,-0.016752907,-0.004957392
97,-0.011396535,-0.017099409,-0.005574472
98,-0.011802725,-0.017383348,-0.006122358
99,-0.012143806,-0.017604215,-0.006601640
100,-0.012420359,-0.017762143,-0.007013526
101,-0.012633559,-0.017857873,-0.007359788
102,-0.012785121,-0.017892708,-0.007642693
103,-0.012877238,-0.017868467,-0.007864935
104,-0.012912528,-0.017787429,-0.008029569
105,-0.012893964,-0.017652279,-0.008139942
106,-0.012824816,-0.017466048,-0.008199628
107,-0.012708588,-0.017232054,-0.008212365
108,-0.012548956,-0.016953843,-0.008181995
109,-0.012349717,-0.016635131,-0.008112412
110,-0.012114728,-0.016279751,-0.008007511
111,-0.011847863,-0.015891602,-0.007871141
112,-0.011552967,-0.015474596,-0.007707071
113,-0.011233813,-0.015032619,-0.007518953
114,-0.010894070,-0.014569490,-0.007310292
115,-0.010537274,-0.014088923,-0.007084426
116,-0.010166799,-0.013594501,-0.006844506
117,-0.009785840,-0.013089648,-0.006593483
118,-0.009397395,-0.012577608,-0.006334097
119,-0.009004255,-0.012061427,-0.006068872
120,-0.008608995,-0.011543944,-0.005800113
121,-0.008213970,-0.011027778,-0.005529908
122,-0.007821315,-0.010515325,-0.005260132
123,-0.007432944,-0.010008756,-0.004992449
124,-0.007050559,-0.009510017,-0.004728325
125,-0.006675650,-0.009020833,-0.004469030
126,-0.006309509,-0.008542713,-0.004215656
127,-0.005953236,-0.008076960,-0.003969122
128,-0.005607750,-0.007624676,-0.003730189
129,-0.005273802,-0.007186775,-0.003499470
130,-0.004951984,-0.006763995,-0.003277444
131,-0.004642744,-0.006356905,-0.003064466
132,-0.004346398,-0.005965923,-0.002860783
133,-0.004063140,-0.005591326,-0.002666541
134,-0.003793055,-0.005233262,-0.002481796
135,-0.003536134,-0.004891764,-0.002306531
136,-0.003292281,-0.004566759,-0.002140658
137,-0.003061324,-0.004258086,-0.001984033
138,-0.002843029,-0.003965499,-0.001836463
139,-0.002637106,-0.003688686,-0.001697713
140,-0.002443219,-0.003427272,-0.001567515
141,-0.002260994,-0.003180833,-0.001445575
142,-0.002090028,-0.002948905,-0.001331575
143,-0.001929892,-0.002730990,-0.001225185
144,-0.001780143,-0.002526562,-0.001126064
145,-0.001640325,-0.002335079,-0.001033863
146,-0.001509974,-0.002155985,-0.000948233
147,-0.001388625,-0.001988717,-0.000868823
148,-0.001275814,-0.001832709,-0.000795287
149,-0.001171082,-0.001687396,-0.000727286
150,-0.001073978,-0.001552221,-0.000664487
