S,T=0.5,T=0.1,T=1
50,0.000155134,0.000000000,0.009977417
51,0.000237771,0.000000000,0.012315572
52,0.000357042,0.000000000,0.015047676
53,0.000525804,0.000000000,0.018208788
54,0.000760125,0.000000000,0.021832010
55,0.001079656,0.000000000,0.025947693
56,0.001507949,0.000000000,0.030582682
57,0.002072654,0.000000000,0.035759590
58,0.002805585,0.000000000,0.041496158
59,0.003742619,0.000000000,0.047804682
60,0.004923401,0.000000000,0.054691559
61,0.006390830,0.000000000,0.062156930
62,0.008190345,0.000000002,0.070194445
63,0.010368987,0.000000006,0.078791156
64,0.012974270,0.000000017,0.087927530
65,0.016052892,0.000000051,0.097577580
66,0.019649309,0.000000143,0.107709114
67,0.023804239,0.000000379,0.118284089
68,0.028553139,0.000000958,0.129259059
69,0.033924719,0.000002308,0.140585705
70,0.039939553,0.000005310,0.152211440
71,0.046608839,0.000011690,0.164080054
72,0.053933369,0.000024664,0.176132418
73,0.061902742,0.000049948,0.188307195
74,0.070494874,0.000097241,0.200541570
75,0.079675802,0.000182258,0.212771979
76,0.089399818,0.000329337,0.224934813
77,0.099609914,0.000574491,0.236967110
78,0.110238540,0.000968640,0.248807194
79,0.121208634,0.001580527,0.260395284
80,0.132434907,0.002498630,0.271674037
81,0.143825328,0.003831250,0.282589052
82,0.155282771,0.005703935,0.293089296
83,0.166706768,0.008253562,0.303127475
84,0.177995321,0.011618756,0.312660342
85,0.189046713,0.015926851,0.321648941
86,0.199761283,0.021278268,0.330058780
87,0.210043101,0.027729801,0.337859956
88,0.219801526,0.035278838,0.345027212
89,0.228952593,0.043850787,0.351539946
90,0.237420219,0.053291884,0.357382163
91,0.245137197,0.063369065,0.362542394
92,0.252045973,0.073777810,0.367013557
93,0.258099205,0.084157809,0.370792798
94,0.263260090,0.094115272,0.373881291
95,0.267502486,0.103249746,0.376284015
96,0.270810832,0.111182693,0.378009513
97,0.273179873,0.117584785,0.379069627
98,0.274614234,0.122199116,0.379479229
99,0.275127839,0.124858027,0.379255937
100,0.274743217,0.125492118,0.378419832
101,0.273490712,0.124130958,0.376993171
102,0.271407617,0.120895996,0.375000105
103,0.268537267,0.115986927,0.372466396
104,0.264928098,0.109663391,0.369419154
105,0.260632710,0.102224103,0.365886566
106,0.255706930,0.093985548,0.361897654
107,0.250208915,0.085262091,0.357482035
108,0.244198291,0.076348966,0.352669698
109,0.237735348,0.067509074,0.347490795
110,0.230880293,0.058964022,0.341975449
111,0.223692579,0.050889363,0.336153580
112,0.216230300,0.043413614,0.330054738
113,0.208549666,0.036620408,0.323707962
114,0.200704552,0.030552974,0.317141651
115,0.192746126,0.025220126,0.310383447
116,0.184722544,0.020603009,0.303460138
117,0.176678721,0.016661950,0.296397573
118,0.168656163,0.013342925,0.289220589
119,0.160692864,0.010583294,0.281952955
120,0.152823252,0.008316608,0.274617324
121,0.145078192,0.006476415,0.267235199
122,0.137485028,0.004999083,0.259826909
123,0.130067662,0.003825730,0.252411594
124,0.122846671,0.002903384,0.245007197
125,0.115839444,0.002185526,0.237630471
126,0.109060344,0.001632152,0.230296984
127,0.102520889,0.001209505,0.223021136
128,0.096229938,0.000889579,0.215816182
129,0.090193890,0.000649493,0.208694259
130,0.084416891,0.000470826,0.201666412
131,0.078901030,0.000338938,0.194742635
132,0.073646549,0.000242344,0.187931902
133,0.068652034,0.000172136,0.181242213
134,0.063914610,0.000121481,0.174680631
135,0.059430126,0.000085195,0.168253326
136,0.055193326,0.000059383,0.161965623
137,0.051198020,0.000041145,0.155822043
138,0.047437230,0.000028342,0.149826349
139,0.043903342,0.000019413,0.143981592
140,0.040588232,0.000013223,0.138290154
141,0.037483387,0.000008959,0.132753796
142,0.034580017,0.000006037,0.127373696
143,0.031869150,0.000004048,0.122150495
144,0.029341719,0.000002701,0.117084338
145,0.026988645,0.000001793,0.112174912
146,0.024800896,0.000001185,0.107421487
147,0.022769554,0.000000779,0.102822951
148,0.020885858,0.000000510,0.098377845
149,0.019141251,0.000000332,0.094084401
150,0.017527413,0.000000216,0.089940567
