date;xmr
01-01-2015;0,46576
02-01-2015;0,459137
03-01-2015;0,461172
04-01-2015;0,417234
05-01-2015;0,421412
06-01-2015;0,461609
07-01-2015;0,463607
08-01-2015;0,429175
09-01-2015;0,431801
10-01-2015;0,419216
11-01-2015;0,378748
12-01-2015;0,364316
13-01-2015;0,309479
14-01-2015;0,223522
15-01-2015;0,261714
16-01-2015;0,278449
17-01-2015;0,248057
18-01-2015;0,258656
19-01-2015;0,254181
20-01-2015;0,236223
21-01-2015;0,261268
22-01-2015;0,273442
23-01-2015;0,283141
24-01-2015;0,298369
25-01-2015;0,310227
26-01-2015;0,317078
27-01-2015;0,320371
28-01-2015;0,290979
29-01-2015;0,309911
30-01-2015;0,294018
31-01-2015;0,284363
01-02-2015;0,299954
02-02-2015;0,301242
03-02-2015;0,288734
04-02-2015;0,289486
05-02-2015;0,272273
06-02-2015;0,270772
07-02-2015;0,275702
08-02-2015;0,265034
09-02-2015;0,251738
10-02-2015;0,244719
11-02-2015;0,231497
12-02-2015;0,246741
13-02-2015;0,255641
14-02-2015;0,280322
15-02-2015;0,25138
16-02-2015;0,251039
17-02-2015;0,253231
18-02-2015;0,248507
19-02-2015;0,282791
20-02-2015;0,305673
21-02-2015;0,302557
22-02-2015;0,313139
23-02-2015;0,337887
24-02-2015;0,340267
25-02-2015;0,365243
26-02-2015;0,357721
27-02-2015;0,381008
28-02-2015;0,427227
01-03-2015;0,426028
02-03-2015;0,428434
03-03-2015;0,415078
04-03-2015;0,413151
05-03-2015;0,469626
06-03-2015;0,486039
07-03-2015;0,457321
08-03-2015;0,484062
09-03-2015;0,63489
10-03-2015;0,791843
11-03-2015;0,715782
12-03-2015;0,684608
13-03-2015;0,644822
14-03-2015;0,676167
15-03-2015;0,69425
16-03-2015;0,805943
17-03-2015;0,752221
18-03-2015;0,638029
19-03-2015;0,677382
20-03-2015;0,633158
21-03-2015;0,743222
22-03-2015;0,777347
23-03-2015;0,766353
24-03-2015;0,711852
25-03-2015;0,767497
26-03-2015;0,746328
27-03-2015;0,777714
28-03-2015;0,795417
29-03-2015;0,712153
30-03-2015;0,853188
31-03-2015;0,907059
01-04-2015;1,00685
02-04-2015;0,96926
03-04-2015;0,952245
04-04-2015;0,85929
05-04-2015;0,883731
06-04-2015;0,789463
07-04-2015;0,833302
08-04-2015;0,755192
09-04-2015;0,758207
10-04-2015;0,800381
11-04-2015;0,827207
12-04-2015;0,800135
13-04-2015;0,691741
14-04-2015;0,656934
15-04-2015;0,673307
16-04-2015;0,678599
17-04-2015;0,658304
18-04-2015;0,694249
19-04-2015;0,662209
20-04-2015;0,678942
21-04-2015;0,632725
22-04-2015;0,576331
23-04-2015;0,603233
24-04-2015;0,569937
25-04-2015;0,56474
26-04-2015;0,556385
27-04-2015;0,566088
28-04-2015;0,47931
29-04-2015;0,491526
30-04-2015;0,501179
01-05-2015;0,499998
02-05-2015;0,497577
03-05-2015;0,499079
04-05-2015;0,467889
05-05-2015;0,471166
06-05-2015;0,458257
07-05-2015;0,473934
08-05-2015;0,490568
09-05-2015;0,513693
10-05-2015;0,565103
11-05-2015;0,511342
12-05-2015;0,477612
13-05-2015;0,483207
14-05-2015;0,495548
15-05-2015;0,544965
16-05-2015;0,595673
17-05-2015;0,557216
18-05-2015;0,535773
19-05-2015;0,51466
20-05-2015;0,492917
21-05-2015;0,462956
22-05-2015;0,460764
23-05-2015;0,470987
24-05-2015;0,479603
25-05-2015;0,463606
26-05-2015;0,446883
27-05-2015;0,421971
28-05-2015;0,443637
29-05-2015;0,439872
30-05-2015;0,445107
31-05-2015;0,450889
01-06-2015;0,451619
02-06-2015;0,455539
03-06-2015;0,453476
04-06-2015;0,476494
05-06-2015;0,498892
06-06-2015;0,526428
07-06-2015;0,517933
08-06-2015;0,542956
09-06-2015;0,495991
10-06-2015;0,479738
11-06-2015;0,462852
12-06-2015;0,470966
13-06-2015;0,489472
14-06-2015;0,49497
15-06-2015;0,508224
16-06-2015;0,506086
17-06-2015;0,50334
18-06-2015;0,50388
19-06-2015;0,511796
20-06-2015;0,53798
21-06-2015;0,523274
22-06-2015;0,540599
23-06-2015;0,526921
24-06-2015;0,506506
25-06-2015;0,503678
26-06-2015;0,484247
27-06-2015;0,491951
28-06-2015;0,470636
29-06-2015;0,493447
30-06-2015;0,500266
01-07-2015;0,498848
02-07-2015;0,492605
03-07-2015;0,491196
04-07-2015;0,507361
05-07-2015;0,521969
06-07-2015;0,505507
07-07-2015;0,512376
08-07-2015;0,51399
09-07-2015;0,497226
10-07-2015;0,520876
11-07-2015;0,539175
12-07-2015;0,628094
13-07-2015;0,572132
14-07-2015;0,570033
15-07-2015;0,541855
16-07-2015;0,536325
17-07-2015;0,535182
18-07-2015;0,523595
19-07-2015;0,537989
20-07-2015;0,547709
21-07-2015;0,587578
22-07-2015;0,57342
23-07-2015;0,570335
24-07-2015;0,576016
25-07-2015;0,566003
26-07-2015;0,584723
27-07-2015;0,59605
28-07-2015;0,615015
29-07-2015;0,589967
30-07-2015;0,583228
31-07-2015;0,574956
01-08-2015;0,588741
02-08-2015;0,624904
03-08-2015;0,595818
04-08-2015;0,618406
05-08-2015;0,618616
06-08-2015;0,729102
07-08-2015;0,742292
08-08-2015;0,676046
09-08-2015;0,674739
10-08-2015;0,656576
11-08-2015;0,603582
12-08-2015;0,622923
13-08-2015;0,575855
14-08-2015;0,609906
15-08-2015;0,613236
16-08-2015;0,620167
17-08-2015;0,610122
18-08-2015;0,493284
19-08-2015;0,534101
20-08-2015;0,597797
21-08-2015;0,568307
22-08-2015;0,553084
23-08-2015;0,544585
24-08-2015;0,434871
25-08-2015;0,490286
26-08-2015;0,496679
27-08-2015;0,465475
28-08-2015;0,481627
29-08-2015;0,47655
30-08-2015;0,459009
31-08-2015;0,467238
01-09-2015;0,458517
02-09-2015;0,468083
03-09-2015;0,45929
04-09-2015;0,467874
05-09-2015;0,481594
06-09-2015;0,505111
07-09-2015;0,499452
08-09-2015;0,517402
09-09-2015;0,506011
10-09-2015;0,497247
11-09-2015;0,495325
12-09-2015;0,465473
13-09-2015;0,462865
14-09-2015;0,482289
15-09-2015;0,502379
16-09-2015;0,509974
17-09-2015;0,494782
18-09-2015;0,50044
19-09-2015;0,496418
20-09-2015;0,485971
21-09-2015;0,480452
22-09-2015;0,471829
23-09-2015;0,464606
24-09-2015;0,468678
25-09-2015;0,451515
26-09-2015;0,445105
27-09-2015;0,43771
28-09-2015;0,448998
29-09-2015;0,435817
30-09-2015;0,399882
01-10-2015;0,404696
02-10-2015;0,409897
03-10-2015;0,409928
04-10-2015;0,400312
05-10-2015;0,416151
06-10-2015;0,411378
07-10-2015;0,393186
08-10-2015;0,387872
09-10-2015;0,397329
10-10-2015;0,387789
11-10-2015;0,380724
12-10-2015;0,395317
13-10-2015;0,388015
14-10-2015;0,384266
15-10-2015;0,390841
16-10-2015;0,411511
17-10-2015;0,426942
18-10-2015;0,409797
19-10-2015;0,403212
20-10-2015;0,399646
21-10-2015;0,394597
22-10-2015;0,403236
23-10-2015;0,393922
24-10-2015;0,395808
25-10-2015;0,407067
26-10-2015;0,38796
27-10-2015;0,409574
28-10-2015;0,448829
29-10-2015;0,447103
30-10-2015;0,456442
31-10-2015;0,404538
01-11-2015;0,423505
02-11-2015;0,442886
03-11-2015;0,442707
04-11-2015;0,505869
05-11-2015;0,43253
06-11-2015;0,439195
07-11-2015;0,452638
08-11-2015;0,497654
09-11-2015;0,472776
10-11-2015;0,460954
11-11-2015;0,450299
12-11-2015;0,443275
13-11-2015;0,452619
14-11-2015;0,424853
15-11-2015;0,43081
16-11-2015;0,435954
17-11-2015;0,428999
18-11-2015;0,415567
19-11-2015;0,407052
20-11-2015;0,389316
21-11-2015;0,391906
22-11-2015;0,395824
23-11-2015;0,391113
24-11-2015;0,390148
25-11-2015;0,387684
26-11-2015;0,404663
27-11-2015;0,386268
28-11-2015;0,39204
29-11-2015;0,401147
30-11-2015;0,395225
01-12-2015;0,376028
02-12-2015;0,368688
03-12-2015;0,366891
04-12-2015;0,370805
05-12-2015;0,451304
06-12-2015;0,439947
07-12-2015;0,421295
08-12-2015;0,42936
09-12-2015;0,452073
10-12-2015;0,431434
11-12-2015;0,458294
12-12-2015;0,455326
13-12-2015;0,465171
14-12-2015;0,534761
15-12-2015;0,556358
16-12-2015;0,518993
17-12-2015;0,501231
18-12-2015;0,499438
19-12-2015;0,471013
20-12-2015;0,507456
21-12-2015;0,488745
22-12-2015;0,480099
23-12-2015;0,482244
24-12-2015;0,490058
25-12-2015;0,484163
26-12-2015;0,446716
27-12-2015;0,451554
28-12-2015;0,446928
29-12-2015;0,45616
30-12-2015;0,441028
31-12-2015;0,470402
