date;dca;dva (no withdraw);dva (full);lump-sum;lump-sum mid-year
01-01-2019;50;0;0;2600;0
02-01-2019;54;0;0;2809;0
03-01-2019;51;0;0;2678;0
04-01-2019;52;0;0;2722;0
05-01-2019;52;0;0;2684;0
06-01-2019;57;0;0;2950;0
07-01-2019;55;0;0;2840;0
08-01-2019;105;100;100;2857;0
09-01-2019;104;99;99;2834;0
10-01-2019;90;86;86;2446;0
11-01-2019;90;86;86;2462;0
12-01-2019;89;85;85;2419;0
13-01-2019;85;81;81;2317;0
14-01-2019;91;86;86;2468;0
15-01-2019;139;150;150;2416;0
16-01-2019;143;154;154;2482;0
17-01-2019;141;152;152;2454;0
18-01-2019;139;151;151;2426;0
19-01-2019;143;154;154;2485;0
20-01-2019;136;147;147;2371;0
21-01-2019;138;149;149;2396;0
22-01-2019;192;200;200;2468;0
23-01-2019;187;195;195;2413;0
24-01-2019;191;199;199;2461;0
25-01-2019;196;204;204;2521;0
26-01-2019;191;199;199;2458;0
27-01-2019;194;203;203;2504;0
28-01-2019;182;190;190;2343;0
29-01-2019;233;250;250;2350;0
30-01-2019;235;253;253;2379;0
31-01-2019;232;250;250;2347;0
01-02-2019;233;250;250;2350;0
02-02-2019;231;248;248;2332;0
03-02-2019;228;245;245;2306;0
04-02-2019;228;245;245;2301;0
05-02-2019;281;300;300;2330;0
06-02-2019;279;299;299;2319;0
07-02-2019;280;299;299;2323;0
08-02-2019;311;333;333;2587;0
09-02-2019;314;336;336;2610;0
10-02-2019;323;345;345;2678;0
11-02-2019;312;334;334;2595;0
12-02-2019;368;350;350;2637;0
13-02-2019;370;352;352;2652;0
14-02-2019;351;334;334;2519;0
15-02-2019;355;338;338;2550;0
16-02-2019;352;335;335;2522;0
17-02-2019;360;343;343;2584;0
18-02-2019;387;369;369;2779;0
19-02-2019;442;400;400;2813;0
20-02-2019;440;398;398;2801;0
21-02-2019;426;386;386;2711;0
22-02-2019;445;402;402;2830;0
23-02-2019;455;411;411;2893;0
24-02-2019;414;375;375;2635;0
25-02-2019;423;383;383;2692;0
26-02-2019;467;450;450;2656;0
27-02-2019;473;455;455;2687;0
28-02-2019;465;447;447;2641;0
01-03-2019;469;451;451;2664;0
02-03-2019;473;455;455;2687;0
03-03-2019;474;456;456;2694;0
04-03-2019;459;442;442;2607;0
