drawdown;strategy;x;y;value
2015;dca;0;5;-969
2015;dva1;1;5;-736
2015;dva2;2;5;-935
2015;lumpsum1;3;5;-3605
2015;lumpsum2;4;5;-1905
2016;dca;0;4;-16272
2016;dva1;1;4;-11624
2016;dva2;2;4;-1980
2016;lumpsum1;3;4;-49236
2016;lumpsum2;4;4;-14174
2017;dca;0;3;-11539
2017;dva1;1;3;-5986
2017;dva2;2;3;-1339
2017;lumpsum1;3;3;-22359
2017;lumpsum2;4;3;-7913
2018;dca;0;2;-912
2018;dva1;1;2;-1118
2018;dva2;2;2;-845
2018;lumpsum1;3;2;-2851
2018;lumpsum2;4;2;-2038
2019;dca;0;1;-805
2019;dva1;1;1;-697
2019;dva2;2;1;-509
2019;lumpsum1;3;1;-3916
2019;lumpsum2;4;1;-1887
2020;dca;0;0;-643
2020;dva1;1;0;-494
2020;dva2;2;0;-449
2020;lumpsum1;3;0;-2751
2020;lumpsum2;4;0;-951
