sharpe;strategy;x;y;value
2015;dca;0;5;0,03
2015;dva1;1;5;0,13
2015;dva2;2;5;0,13
2015;lumpsum1;3;5;0,02
2015;lumpsum2;4;5;-0,11
2016;dca;0;4;5,34
2016;dva1;1;4;11,6
2016;dva2;2;4;1,84
2016;lumpsum1;3;4;16,06
2016;lumpsum2;4;4;5,16
2017;dca;0;3;6,73
2017;dva1;1;3;15,84
2017;dva2;2;3;2,33
2017;lumpsum1;3;3;13,57
2017;lumpsum2;4;3;5,73
2018;dca;0;2;-0,53
2018;dva1;1;2;-0,39
2018;dva2;2;2;-0,33
2018;lumpsum1;3;2;-0,74
2018;lumpsum2;4;2;-0,93
2019;dca;0;1;-0,35
2019;dva1;1;1;-0,26
2019;dva2;2;1;-0,21
2019;lumpsum1;3;1;-0,1
2019;lumpsum2;4;1;-0,88
2020;dca;0;0;0,81
2020;dva1;1;0;1,21
2020;dva2;2;0;0,79
2020;lumpsum1;3;0;1,12
2020;lumpsum2;4;0;1,86
